project name,New Protocol,New Protocol Impl Explicit,New Protocol Impl Implicit,Protocol use(all),protocol implicit impl(all),protocol explicit impl(all)
django,7,0,0,10,3,0
django-rest-framework,8,4,4,8,4,4
grpc,0,0,0,0,0,0
matplotlib,0,0,0,0,0,0
mypy,0,0,0,0,0,0
numpy,4,0,0,27,2,0
pandas,0,0,0,0,0,0
pygithub,0,0,0,0,0,0
pyspark,0,0,0,0,0,0
returns,0,0,0,1,0,0
chainer,0,0,0,12,0,0
elasticsearch,0,0,0,0,0,0
hydra,0,0,0,2,4,0
pandas,0,0,0,0,0,0
playwright-python,0,0,0,2,2,0
prefect,0,0,0,0,0,0
pydantic,0,0,0,1,0,0
pyproj,0,0,0,0,0,0
pytest,0,0,0,1,0,0
python-dependency-injector,0,0,0,0,0,0
rasa,0,0,0,0,0,0
sanic,0,0,0,5,0,0
scipy,2,0,0,3,0,0
uvicorn,0,0,0,4,0,0
uvloop,0,0,0,0,0,0
werkzeug,0,0,0,1,0,0
