file,Layer,Module,typed/untyped,notAnyRate
rest_framework/__init__.py,L0,M0,typed,1.0
rest_framework/authtoken/__init__.py,L0,M1,typed,1.0
rest_framework/authtoken/models.py,L0,M1,typed,0.8
rest_framework/settings.py,L1,M0,typed,0.9649122807017544
rest_framework/status.py,L2,M0,typed,1.0
rest_framework/compat.py,L2,M0,typed,0.65
rest_framework/response.py,L2,M0,typed,0.6923076923076923
rest_framework/utils/__init__.py,L2,M0,untyped,null
rest_framework/utils/json.py,L2,M0,typed,0.2142857142857143
rest_framework/utils/serializer_helpers.py,L2,M0,typed,0.90625
rest_framework/exceptions.py,L2,M0,typed,0.7391304347826086
rest_framework/mixins.py,L2,M0,typed,0.6285714285714287
rest_framework/request.py,L2,M0,typed,0.9423076923076923
rest_framework/parsers.py,L2,M0,typed,1.0
rest_framework/utils/html.py,L2,M0,typed,0.5
rest_framework/utils/urls.py,L2,M0,typed,0.5714285714285714
rest_framework/reverse.py,L2,M0,typed,0.8888888888888888
rest_framework/utils/representation.py,L2,M0,typed,0.2222222222222222
rest_framework/validators.py,L2,M0,typed,0.9493670886075949
rest_framework/utils/model_meta.py,L2,M0,typed,1.0
rest_framework/relations.py,L2,M0,typed,0.8888888888888888
rest_framework/urlpatterns.py,L2,M0,typed,1.0
rest_framework/authtoken/admin.py,L2,M0,untyped,null
rest_framework/schemas/generators.py,L2,M0,typed,0.9019607843137255
rest_framework/utils/formatting.py,L2,M0,typed,0.7647058823529412
rest_framework/schemas/inspectors.py,L2,M0,typed,0.46153846153846156
rest_framework/schemas/views.py,L2,M0,typed,1.0
rest_framework/schemas/__init__.py,L2,M0,typed,1.0
rest_framework/generics.py,L2,M0,typed,0.576086956521739
rest_framework/schemas/utils.py,L2,M0,typed,1.0
rest_framework/schemas/coreapi.py,L2,M0,typed,0.9459459459459459
rest_framework/views.py,L2,M0,typed,0.7864077669902912
rest_framework/schemas/openapi.py,L2,M0,typed,0.961038961038961
rest_framework/templatetags/__init__.py,L2,M0,untyped,null
rest_framework/utils/mediatypes.py,L2,M0,typed,0.1428571428571429
rest_framework/utils/field_mapping.py,L2,M0,typed,1.0
rest_framework/templatetags/rest_framework.py,L2,M0,typed,0.2941176470588235
rest_framework/versioning.py,L2,M0,typed,0.88
rest_framework/utils/humanize_datetime.py,L2,M0,untyped,null
rest_framework/fields.py,L2,M0,typed,0.9522900763358778
rest_framework/throttling.py,L2,M0,typed,1.0
rest_framework/serializers.py,L2,M0,typed,0.8306010928961749
rest_framework/utils/encoders.py,L2,M0,untyped,null
rest_framework/utils/breadcrumbs.py,L2,M0,typed,0.5
rest_framework/pagination.py,L2,M0,typed,0.9692307692307692
rest_framework/viewsets.py,L2,M0,typed,0.75
rest_framework/decorators.py,L2,M0,typed,0.9803921568627451
rest_framework/renderers.py,L2,M0,typed,0.8240740740740741
rest_framework/authtoken/views.py,L3,M0,typed,0.6666666666666667
rest_framework/authtoken/serializers.py,L3,M0,typed,1.0
rest_framework/checks.py,L3,M1,typed,0.33333333333333337
rest_framework/apps.py,L3,M1,untyped,null
rest_framework/metadata.py,L3,M2,typed,1.0
rest_framework/management/commands/generateschema.py,L3,M3,typed,0.6666666666666667
rest_framework/permissions.py,L3,M4,typed,0.9787234042553191
rest_framework/authtoken/management/commands/drf_create_token.py,L3,M5,typed,0.6666666666666667
rest_framework/authentication.py,L3,M6,typed,1.0
rest_framework/test.py,L3,M7,typed,0.7424242424242424
rest_framework/negotiation.py,L3,M8,typed,1.0
rest_framework/routers.py,L3,M9,typed,0.8703703703703703
rest_framework/documentation.py,L3,M10,typed,0.9696969696969697
rest_framework/filters.py,L3,M11,typed,1.0
rest_framework/urls.py,Isolated,/,typed,1.0
rest_framework/authtoken/management/commands/__init__.py,Isolated,/,untyped,null
rest_framework/management/__init__.py,Isolated,/,untyped,null
rest_framework/authtoken/migrations/0001_initial.py,Isolated,/,untyped,null
rest_framework/authtoken/apps.py,Isolated,/,untyped,null
rest_framework/authtoken/migrations/0003_tokenproxy.py,Isolated,/,untyped,null
rest_framework/authtoken/migrations/__init__.py,Isolated,/,untyped,null
rest_framework/authtoken/migrations/0002_auto_20160226_1747.py,Isolated,/,untyped,null
rest_framework/management/commands/__init__.py,Isolated,/,untyped,null
rest_framework/authtoken/management/__init__.py,Isolated,/,untyped,null
