NodeID,Nodename,degree_centrality,in_degree_centrality,out_degree_centrality
0,django/db/backends/sqlite3/__init__.py,0.6861,0.6766,0.0749
1,django/contrib/admin/templatetags/base.py,0.3413,0.3413,0.0523
2,django/contrib/gis/db/backends/postgis/features.py,0.283,0.2782,0.0499
3,django/contrib/postgres/constraints.py,0.2782,0.2771,0.0488
4,django/conf/locale/mn/formats.py,0.2295,0.2295,0.0452
5,django/contrib/gis/geos/__init__.py,0.195,0.1843,0.044
6,django/db/models/deletion.py,0.1831,0.1677,0.0428
7,django/contrib/gis/geos/point.py,0.1677,0.157,0.0428
8,django/contrib/postgres/serializers.py,0.1356,0.1213,0.0428
9,django/conf/locale/uk/__init__.py,0.1165,0.1058,0.0404
10,django/conf/locale/tr/__init__.py,0.107,0.1034,0.0404
11,django/contrib/postgres/fields/citext.py,0.1058,0.0927,0.0392
12,django/urls/exceptions.py,0.1034,0.0916,0.0392
13,django/core/checks/__init__.py,0.1023,0.0785,0.0369
14,django/conf/locale/ko/formats.py,0.1023,0.0773,0.0357
15,django/conf/locale/__init__.py,0.0939,0.0773,0.0357
16,django/contrib/auth/handlers/modwsgi.py,0.0916,0.0761,0.0345
17,django/contrib/sessions/backends/file.py,0.0856,0.0666,0.0345
18,django/contrib/gis/gdal/raster/base.py,0.0844,0.0666,0.0345
19,django/template/loaders/app_directories.py,0.0773,0.0583,0.0345
20,django/conf/locale/km/__init__.py,0.0773,0.0571,0.0333
21,django/contrib/admin/decorators.py,0.0749,0.0559,0.0333
22,django/db/models/functions/datetime.py,0.0713,0.0535,0.0321
23,django/contrib/gis/geos/libgeos.py,0.0713,0.0511,0.0321
24,django/core/checks/registry.py,0.0666,0.0511,0.0321
25,django/conf/locale/sk/formats.py,0.0642,0.0488,0.0297
26,django/contrib/gis/db/backends/mysql/operations.py,0.0642,0.0488,0.0297
27,django/utils/timezone.py,0.0606,0.0452,0.0285
28,django/conf/locale/ar/__init__.py,0.0606,0.0452,0.0285
29,django/conf/locale/lt/__init__.py,0.0606,0.0428,0.0285
30,django/db/migrations/executor.py,0.0606,0.0428,0.0285
31,django/utils/ipv6.py,0.0583,0.0416,0.0273
32,django/contrib/syndication/apps.py,0.0583,0.0404,0.0273
33,django/contrib/admin/migrations/__init__.py,0.0583,0.0404,0.0273
34,django/conf/locale/bn/__init__.py,0.0571,0.0404,0.0262
35,django/contrib/flatpages/middleware.py,0.0559,0.0392,0.0262
36,django/template/response.py,0.0559,0.0392,0.0262
37,django/forms/utils.py,0.0547,0.038,0.0262
38,django/db/backends/mysql/__init__.py,0.0547,0.038,0.025
39,django/utils/html.py,0.0547,0.038,0.025
40,django/db/backends/oracle/features.py,0.0535,0.0357,0.025
41,django/db/models/fields/proxy.py,0.0535,0.0357,0.025
42,django/contrib/messages/api.py,0.0535,0.0357,0.025
43,django/db/models/fields/related.py,0.0499,0.0345,0.025
44,django/db/backends/mysql/validation.py,0.0499,0.0345,0.025
45,django/db/backends/signals.py,0.0488,0.0345,0.025
46,django/conf/locale/hi/formats.py,0.0476,0.0333,0.025
47,django/contrib/gis/geos/linestring.py,0.0476,0.0321,0.025
48,django/http/__init__.py,0.0476,0.0309,0.0238
49,django/contrib/messages/storage/fallback.py,0.0476,0.0285,0.0238
50,django/conf/locale/bs/formats.py,0.0464,0.0273,0.0238
51,django/db/models/utils.py,0.0452,0.0262,0.0238
52,django/core/management/commands/runserver.py,0.0452,0.0262,0.0238
