file,Layer,Module,typed/untyped,notAnyRate
matplotlib/patheffects.py,L0,M0,untyped,null
matplotlib/cbook/deprecation.py,L0,M0,untyped,null
matplotlib/cbook/__init__.py,L0,M0,untyped,null
matplotlib/cm.py,L0,M1,untyped,null
matplotlib/container.py,L0,M2,untyped,null
matplotlib/tri/triangulation.py,L0,M3,untyped,null
matplotlib/mlab.py,L0,M4,untyped,null
matplotlib/font_manager.py,L0,M5,untyped,null
matplotlib/ticker.py,L0,M6,untyped,null
matplotlib/tests/test_ticker.py,L0,M6,untyped,null
matplotlib/backends/backend_mixed.py,L0,M7,untyped,null
matplotlib/backends/qt_editor/_formsubplottool.py,L0,M8,untyped,null
matplotlib/tests/test_transforms.py,L1,M0,untyped,null
matplotlib/collections.py,L2,M0,untyped,null
matplotlib/style/__init__.py,L2,M0,untyped,null
matplotlib/style/core.py,L2,M0,untyped,null
matplotlib/rcsetup.py,L2,M0,untyped,null
matplotlib/_version.py,L2,M0,untyped,null
matplotlib/__init__.py,L2,M0,typed,1.0
matplotlib/contour.py,L2,M1,untyped,null
matplotlib/colors.py,L3,M0,untyped,null
matplotlib/_color_data.py,L3,M0,untyped,null
matplotlib/dviread.py,L3,M1,untyped,null
matplotlib/mathtext.py,L3,M1,untyped,null
matplotlib/_mathtext_data.py,L3,M2,untyped,null
matplotlib/streamplot.py,L3,M2,untyped,null
matplotlib/afm.py,L3,M2,untyped,null
matplotlib/tight_layout.py,L4,M0,untyped,null
matplotlib/axes/_subplots.py,L4,M0,untyped,null
matplotlib/_layoutbox.py,L4,M0,untyped,null
matplotlib/figure.py,L4,M0,untyped,null
matplotlib/gridspec.py,L4,M0,untyped,null
matplotlib/bezier.py,L4,M0,untyped,null
matplotlib/path.py,L4,M0,untyped,null
matplotlib/transforms.py,L4,M0,untyped,null
matplotlib/docstring.py,L4,M0,untyped,null
matplotlib/artist.py,L4,M0,typed,1.0
matplotlib/units.py,L4,M0,untyped,null
matplotlib/axis.py,L4,M0,untyped,null
matplotlib/backend_managers.py,L4,M0,untyped,null
matplotlib/backend_tools.py,L4,M0,untyped,null
matplotlib/backends/backend_macosx.py,L4,M0,untyped,null
