file,Layer,Module,typed/untyped,notAnyRate
mypy/nodes.py,L0,M0,typed,1.0
mypy/test/data.py,L0,M1,typed,0.9545454545454546
mypy/options.py,L0,M2,typed,1.0
mypy/test/visitors.py,L1,M0,typed,1.0
mypy/modulefinder.py,L1,M1,typed,1.0
mypy/plugins/attrs.py,L1,M2,typed,1.0
mypy/types.py,L2,M0,typed,1.0
mypy/report.py,L3,M0,typed,0.9862068965517241
mypy/stats.py,L3,M0,typed,1.0
mypy/test/typefixture.py,L3,M1,typed,1.0
mypy/moduleinspect.py,L3,M1,typed,1.0
mypy/type_visitor.py,L4,M0,typed,1.0
mypy/typeanal.py,L4,M0,typed,1.0
mypy/semanal.py,L4,M0,typed,1.0
mypy/checkexpr.py,L4,M0,typed,1.0
mypy/errorcodes.py,L4,M0,typed,1.0
mypy/scope.py,L4,M0,typed,1.0
mypy/errors.py,L4,M0,typed,1.0
mypy/plugin.py,L4,M0,typed,0.9761904761904762
mypy/binder.py,L4,M0,typed,1.0
mypy/messages.py,L4,M0,typed,0.9963235294117647
mypy/checker.py,L4,M0,typed,1.0
mypy/__init__.py,L4,M0,untyped,null
mypy/metastore.py,L4,M0,typed,0.9782608695652174
mypy/fscache.py,L4,M0,typed,1.0
mypy/indirection.py,L4,M0,typed,1.0
mypy/build.py,L4,M0,typed,0.9936908517350158
mypy/dmypy_server.py,L5,M0,typed,0.9905660377358491
mypy/stubgen.py,L5,M1,typed,1.0
mypy/stubdoc.py,L6,M0,typed,0.9743589743589743
mypy/stubtest.py,L6,M0,typed,0.9347826086956522
mypy/dmypy/client.py,L6,M1,typed,1.0
mypy/suggestions.py,L6,M1,typed,1.0
mypy/treetransform.py,L6,M2,typed,1.0
mypy/test/testtransform.py,L6,M2,typed,1.0
mypy/test/testfinegrained.py,L6,M3,typed,1.0
mypy/server/update.py,L6,M3,typed,1.0
mypy/fastparse.py,L6,M4,typed,0.9930555555555556
mypy/checkstrformat.py,L6,M4,typed,1.0
mypy/semanal_namedtuple.py,L6,M5,typed,1.0
mypy/semanal_classprop.py,L6,M5,typed,1.0
mypy/traverser.py,L6,M5,typed,1.0
mypy/server/aststrip.py,L6,M5,typed,1.0
mypy/renaming.py,L6,M5,typed,1.0
mypy/plugins/dataclasses.py,L6,M5,typed,1.0
mypy/semanal_enum.py,L6,M5,typed,1.0
mypy/plugins/common.py,L6,M5,typed,1.0
mypy/semanal_infer.py,L6,M5,typed,1.0
mypy/join.py,L6,M6,typed,1.0
mypy/erasetype.py,L6,M6,typed,1.0
mypy/plugins/enums.py,L6,M6,typed,1.0
mypy/sametypes.py,L6,M6,typed,1.0
mypy/meet.py,L6,M6,typed,1.0
mypy/plugins/default.py,L6,M6,typed,1.0
mypy/ipc.py,L6,M6,typed,1.0
mypy/argmap.py,L6,M6,typed,1.0
mypy/constraints.py,L6,M6,typed,1.0
mypy/stubgenc.py,L6,M6,typed,0.9821428571428571
mypy/strconv.py,L6,M7,typed,1.0
mypy/server/astmerge.py,L6,M8,typed,1.0
mypy/subtypes.py,L6,M8,typed,0.9951690821256038
mypy/exprtotype.py,L6,M8,typed,1.0
mypy/typeops.py,L6,M8,typed,1.0
mypy/server/astdiff.py,L6,M8,typed,1.0
mypy/fixup.py,L6,M8,typed,0.9166666666666666
mypy/checkmember.py,L6,M8,typed,1.0
mypy/applytype.py,L6,M8,typed,1.0
mypy/test/teststubgen.py,L6,M9,typed,1.0
mypy/test/testcmdline.py,L6,M10,typed,1.0
mypy/test/testpythoneval.py,L6,M10,typed,1.0
mypy/test/testipc.py,L6,M10,typed,1.0
mypy/test/testpep561.py,L6,M10,typed,1.0
mypy/test/testdaemon.py,L6,M10,typed,1.0
mypy/main.py,L6,M11,typed,0.9764705882352941
mypy/test/testsemanal.py,L6,M11,typed,1.0
mypy/test/testdeps.py,L6,M11,typed,1.0
mypy/test/testdiff.py,L6,M11,typed,1.0
mypy/find_sources.py,L6,M11,typed,1.0
mypy/config_parser.py,L6,M11,typed,1.0
mypy/test/testargs.py,L6,M11,typed,1.0
mypy/parse.py,L6,M11,typed,1.0
mypy/test/testerrorstream.py,L6,M11,typed,1.0
mypy/test/testmerge.py,L6,M12,typed,1.0
mypy/semanal_main.py,L6,M13,typed,1.0
mypy/reachability.py,L6,M14,typed,1.0
mypy/semanal_typeddict.py,L6,M14,typed,1.0
mypy/semanal_newtype.py,L6,M14,typed,1.0
mypy/test/testtypegen.py,L6,M15,typed,1.0
mypy/test/testreports.py,L6,M16,typed,1.0
mypy/server/deps.py,L6,M17,typed,1.0
mypy/test/helpers.py,L6,M18,typed,1.0
mypy/test/testcheck.py,L6,M19,typed,1.0
mypy/test/test_find_sources.py,L6,M20,typed,1.0
mypy/fastparse2.py,L6,M21,typed,0.9943502824858758
mypy/stubutil.py,L6,M22,typed,1.0
mypy/test/testsubtypes.py,L6,M23,typed,1.0
mypy/test/testsolve.py,L6,M23,typed,1.0
mypy/test/testinfer.py,L6,M23,typed,1.0
mypy/test/testtypes.py,L6,M23,typed,1.0
mypy/test/teststubtest.py,Isolated,/,typed,0.9375
mypy/server/mergecheck.py,Isolated,/,typed,1.0
mypy/message_registry.py,Isolated,/,untyped,null
mypy/test/testparse.py,Isolated,/,typed,1.0
mypy/test/collect.py,Isolated,/,untyped,null
mypy/semanal_pass1.py,Isolated,/,typed,1.0
mypy/test/testformatter.py,Isolated,/,typed,1.0
mypy/server/subexpr.py,Isolated,/,typed,1.0
mypy/test/testgraph.py,Isolated,/,typed,1.0
mypy/gclogger.py,Isolated,/,typed,1.0
mypy/util.py,Isolated,/,typed,1.0
mypy/expandtype.py,Isolated,/,typed,1.0
mypy/semanal_shared.py,Isolated,/,typed,1.0
mypy/test/testmoduleinfo.py,Isolated,/,typed,1.0
mypy/test/__init__.py,Isolated,/,untyped,null
mypy/server/objgraph.py,Isolated,/,typed,1.0
mypy/dmypy_util.py,Isolated,/,typed,0.5
mypy/mixedtraverser.py,Isolated,/,typed,1.0
mypy/version.py,Isolated,/,untyped,null
mypy/server/__init__.py,Isolated,/,untyped,null
mypy/test/testsamples.py,Isolated,/,typed,1.0
mypy/fswatcher.py,Isolated,/,typed,1.0
mypy/test/config.py,Isolated,/,untyped,null
mypy/typetraverser.py,Isolated,/,typed,1.0
mypy/typevars.py,Isolated,/,typed,1.0
mypy/infer.py,Isolated,/,typed,1.0
mypy/visitor.py,Isolated,/,typed,1.0
mypy/server/trigger.py,Isolated,/,typed,1.0
mypy/split_namespace.py,Isolated,/,typed,0.8
mypy/maptype.py,Isolated,/,typed,1.0
mypy/moduleinfo.py,Isolated,/,typed,1.0
mypy/test/testmodulefinder.py,Isolated,/,typed,1.0
mypy/sharedparse.py,Isolated,/,typed,1.0
mypy/__main__.py,Isolated,/,typed,1.0
mypy/defaults.py,Isolated,/,untyped,null
mypy/solve.py,Isolated,/,typed,1.0
mypy/memprofile.py,Isolated,/,typed,1.0
mypy/test/update.py,Isolated,/,untyped,null
