NodeID,Nodename,degree_centrality
0,numpy/matlib.py,0.2494
1,numpy/distutils/cpuinfo.py,0.1416
2,numpy/linalg/lapack_lite/clapack_scrub.py,0.1034
3,numpy/core/fromnumeric.py,0.0787
4,numpy/lib/tests/test__version.py,0.0719
5,numpy/f2py/tests/test_crackfortran.py,0.0607
6,numpy/polynomial/__init__.py,0.0562
7,numpy/distutils/tests/test_fcompiler_gnu.py,0.0517
8,numpy/core/_type_aliases.py,0.0494
9,numpy/lib/tests/test_twodim_base.py,0.0472
10,numpy/core/tests/test_numeric.py,0.0472
11,numpy/typing/tests/data/fail/constants.py,0.0472
12,numpy/compat/tests/__init__.py,0.0449
13,numpy/conftest.py,0.0427
14,numpy/core/_internal.py,0.036
15,numpy/core/code_generators/generate_umath.py,0.0337
16,numpy/core/numeric.py,0.0292
17,numpy/core/tests/test_scalarmath.py,0.0292
18,numpy/distutils/pathccompiler.py,0.0292
19,numpy/core/code_generators/generate_numpy_api.py,0.0292
20,numpy/polynomial/laguerre.py,0.027
21,numpy/f2py/crackfortran.py,0.027
22,numpy/linalg/lapack_lite/fortran.py,0.027
23,numpy/polynomial/tests/test_laguerre.py,0.027
24,numpy/distutils/__init__.py,0.027
25,numpy/lib/arraysetops.py,0.027
26,numpy/lib/tests/test_histograms.py,0.027
27,numpy/typing/tests/data/reveal/scalars.py,0.0247
28,numpy/random/tests/test_extending.py,0.0247
29,numpy/lib/tests/test_regression.py,0.0247
30,numpy/setup.py,0.0225
31,numpy/core/tests/test_cython.py,0.0225
32,numpy/core/shape_base.py,0.0225
33,numpy/distutils/fcompiler/pg.py,0.0225
34,numpy/core/tests/test_multiarray.py,0.0202
35,numpy/f2py/tests/test_array_from_pyobj.py,0.0202
36,numpy/typing/tests/data/reveal/ndarray_misc.py,0.0202
37,numpy/distutils/fcompiler/sun.py,0.0202
38,numpy/testing/tests/test_decorators.py,0.0202
39,numpy/core/tests/test_extint128.py,0.018
40,numpy/polynomial/chebyshev.py,0.018
41,numpy/f2py/f2py_testing.py,0.018
42,numpy/core/tests/test_einsum.py,0.018
43,numpy/core/tests/test_casting_unittests.py,0.018
44,numpy/lib/tests/test_index_tricks.py,0.018
45,numpy/polynomial/tests/test_hermite.py,0.018
46,numpy/core/umath.py,0.0157
47,numpy/linalg/linalg.py,0.0157
48,numpy/typing/tests/data/fail/dtype.py,0.0157
49,numpy/typing/tests/data/pass/scalars.py,0.0157
50,numpy/distutils/tests/test_fcompiler_intel.py,0.0157
51,numpy/f2py/tests/test_return_real.py,0.0157
52,numpy/distutils/tests/test_shell_utils.py,0.0157
53,numpy/f2py/tests/test_quoted_character.py,0.0157
54,numpy/dual.py,0.0157
55,numpy/core/tests/test_unicode.py,0.0157
56,numpy/distutils/tests/test_ccompiler_opt_conf.py,0.0135
57,numpy/core/tests/test_item_selection.py,0.0135
58,numpy/matrixlib/tests/test_multiarray.py,0.0135
59,numpy/polynomial/tests/test_legendre.py,0.0135
60,numpy/core/umath_tests.py,0.0135
61,numpy/core/tests/test_umath.py,0.0135
62,numpy/typing/tests/data/fail/bitwise_ops.py,0.0135
63,numpy/distutils/fcompiler/vast.py,0.0135
64,numpy/f2py/tests/test_assumed_shape.py,0.0135
65,numpy/lib/utils.py,0.0135
66,numpy/core/tests/test_nditer.py,0.0135
67,numpy/typing/tests/data/reveal/ufunc_config.py,0.0135
68,numpy/core/tests/test_abc.py,0.0112
69,numpy/lib/type_check.py,0.0112
70,numpy/distutils/fcompiler/nag.py,0.0112
71,numpy/f2py/tests/util.py,0.0112
72,numpy/matrixlib/setup.py,0.0112
73,numpy/core/tests/test_cpu_features.py,0.0112
74,numpy/polynomial/legendre.py,0.0112
75,numpy/lib/tests/test_shape_base.py,0.0112
76,numpy/distutils/fcompiler/intel.py,0.0112
77,numpy/f2py/func2subr.py,0.0112
78,numpy/ma/tests/test_extras.py,0.0112
79,numpy/distutils/tests/test_misc_util.py,0.0112
80,numpy/distutils/tests/test_exec_command.py,0.0112
81,numpy/distutils/command/config_compiler.py,0.0112
82,numpy/tests/__init__.py,0.0112
83,numpy/core/_string_helpers.py,0.0112
84,numpy/core/tests/test_simd_module.py,0.0112
85,numpy/typing/tests/data/reveal/nbit_base_example.py,0.009
86,numpy/linalg/setup.py,0.009
87,numpy/fft/_pocketfft.py,0.009
88,numpy/distutils/fcompiler/pathf95.py,0.009
89,numpy/linalg/tests/__init__.py,0.009
90,numpy/lib/shape_base.py,0.009
91,numpy/distutils/fcompiler/compaq.py,0.009
92,numpy/core/code_generators/genapi.py,0.009
93,numpy/distutils/fcompiler/nv.py,0.009
94,numpy/f2py/tests/test_mixed.py,0.009
95,numpy/typing/tests/data/reveal/flatiter.py,0.009
96,numpy/lib/polynomial.py,0.009
97,numpy/lib/ufunclike.py,0.009
98,numpy/typing/tests/data/pass/mod.py,0.009
99,numpy/f2py/rules.py,0.009
100,numpy/distutils/command/develop.py,0.009
101,numpy/lib/_iotools.py,0.009
102,numpy/distutils/command/build_ext.py,0.009
103,numpy/polynomial/setup.py,0.009
104,numpy/lib/tests/test_type_check.py,0.009
105,numpy/compat/__init__.py,0.0067
106,numpy/core/machar.py,0.0067
107,numpy/distutils/fcompiler/lahey.py,0.0067
108,numpy/core/memmap.py,0.0067
109,numpy/typing/tests/data/reveal/fromnumeric.py,0.0067
110,numpy/polynomial/tests/test_chebyshev.py,0.0067
111,numpy/lib/tests/test_arraysetops.py,0.0067
112,numpy/lib/tests/test_function_base.py,0.0067
113,numpy/f2py/auxfuncs.py,0.0067
114,numpy/distutils/npy_pkg_config.py,0.0067
115,numpy/distutils/command/install_data.py,0.0067
116,numpy/distutils/command/config.py,0.0067
117,numpy/f2py/cb_rules.py,0.0067
118,numpy/ctypeslib.py,0.0067
119,numpy/__init__.py,0.0067
120,numpy/distutils/tests/test_fcompiler.py,0.0067
121,numpy/typing/tests/data/pass/ufuncs.py,0.0067
122,numpy/core/tests/test_regression.py,0.0067
123,numpy/distutils/_shell_utils.py,0.0067
124,numpy/ma/tests/test_old_ma.py,0.0067
125,numpy/distutils/exec_command.py,0.0067
126,numpy/core/tests/test_indexerrors.py,0.0067
127,numpy/f2py/common_rules.py,0.0067
128,numpy/ma/mrecords.py,0.0067
129,numpy/f2py/__main__.py,0.0067
