file,Layer,Module,typed/untyped,notAnyRate
numpy/f2py/tests/util.py,L0,M0,untyped,null
numpy/typing/_scalars.py,L0,M1,untyped,null
numpy/typing/_dtype_like.py,L0,M1,typed,1.0
numpy/typing/_shape.py,L0,M1,untyped,null
numpy/typing/_array_like.py,L0,M1,typed,1.0
numpy/typing/_add_docstring.py,L0,M1,untyped,null
numpy/typing/__init__.py,L0,M1,typed,1.0
numpy/lib/_iotools.py,L0,M2,untyped,null
numpy/core/code_generators/__init__.py,L0,M3,untyped,null
numpy/core/code_generators/genapi.py,L0,M3,untyped,null
numpy/core/code_generators/numpy_api.py,L0,M3,untyped,null
numpy/distutils/npy_pkg_config.py,L0,M4,untyped,null
numpy/lib/_datasource.py,L0,M5,untyped,null
numpy/distutils/ccompiler_opt.py,L0,M6,untyped,null
numpy/core/code_generators/generate_umath.py,L0,M7,untyped,null
numpy/core/code_generators/ufunc_docstrings.py,L0,M7,untyped,null
numpy/lib/_version.py,L0,M8,untyped,null
numpy/distutils/intelccompiler.py,L0,M9,untyped,null
numpy/f2py/tests/__init__.py,L0,M10,untyped,null
numpy/typing/tests/data/fail/constants.py,L0,M11,untyped,null
numpy/f2py/__version__.py,L0,M12,untyped,null
numpy/ma/timer_comparison.py,L1,M0,untyped,null
numpy/lib/function_base.py,L1,M0,untyped,null
numpy/lib/index_tricks.py,L1,M0,untyped,null
numpy/lib/tests/test_type_check.py,L1,M0,untyped,null
numpy/ma/core.py,L1,M0,untyped,null
numpy/core/_exceptions.py,L1,M0,untyped,null
numpy/core/overrides.py,L1,M0,untyped,null
numpy/core/multiarray.py,L1,M0,untyped,null
numpy/core/umath.py,L1,M0,untyped,null
numpy/core/_ufunc_config.py,L1,M0,typed,0.9583333333333334
numpy/compat/_inspect.py,L1,M0,untyped,null
numpy/core/_methods.py,L1,M0,untyped,null
numpy/compat/py3k.py,L1,M0,untyped,null
numpy/compat/__init__.py,L1,M0,untyped,null
numpy/lib/tests/test_ufunclike.py,L1,M0,untyped,null
numpy/core/_internal.py,L1,M0,typed,0.15384615384615385
numpy/core/_string_helpers.py,L1,M0,untyped,null
numpy/core/tests/test_multiarray.py,L1,M0,untyped,null
numpy/core/_type_aliases.py,L1,M0,typed,1.0
numpy/core/_dtype.py,L1,M0,untyped,null
numpy/core/numerictypes.py,L1,M0,typed,1.0
numpy/core/machar.py,L1,M0,untyped,null
numpy/core/getlimits.py,L1,M0,untyped,null
numpy/core/shape_base.py,L1,M0,typed,1.0
numpy/core/_asarray.py,L1,M0,typed,1.0
numpy/core/tests/test_numerictypes.py,L1,M0,untyped,null
numpy/lib/tests/test_function_base.py,L1,M0,untyped,null
numpy/core/tests/test_numeric.py,L1,M0,untyped,null
numpy/core/fromnumeric.py,L1,M0,typed,0.9888888888888889
numpy/core/arrayprint.py,L1,M0,untyped,null
numpy/core/numeric.py,L1,M0,typed,0.9685534591194969
numpy/polynomial/polyutils.py,L1,M0,untyped,null
numpy/polynomial/_polybase.py,L1,M0,untyped,null
numpy/polynomial/polynomial.py,L1,M0,untyped,null
numpy/polynomial/hermite.py,L1,M0,untyped,null
numpy/polynomial/legendre.py,L1,M0,untyped,null
numpy/polynomial/chebyshev.py,L1,M0,untyped,null
numpy/polynomial/laguerre.py,L1,M0,untyped,null
numpy/polynomial/hermite_e.py,L1,M0,untyped,null
numpy/polynomial/__init__.py,L1,M0,untyped,null
numpy/random/__init__.py,L1,M0,untyped,null
numpy/random/_pickle.py,L1,M0,untyped,null
numpy/ma/__init__.py,L1,M0,untyped,null
numpy/ma/extras.py,L1,M0,untyped,null
numpy/distutils/extension.py,L1,M0,untyped,null
numpy/distutils/numpy_distribution.py,L1,M0,untyped,null
numpy/distutils/command/build_src.py,L1,M0,untyped,null
numpy/distutils/command/build_clib.py,L1,M0,untyped,null
numpy/distutils/command/build_ext.py,L1,M0,untyped,null
numpy/distutils/cpuinfo.py,L1,M0,untyped,null
numpy/linalg/linalg.py,L1,M0,untyped,null
numpy/linalg/__init__.py,L1,M0,untyped,null
numpy/testing/_private/utils.py,L1,M0,untyped,null
numpy/testing/_private/noseclasses.py,L1,M0,untyped,null
numpy/testing/_private/parameterized.py,L1,M0,untyped,null
numpy/testing/_private/decorators.py,L1,M0,untyped,null
numpy/testing/_private/__init__.py,L1,M0,untyped,null
numpy/distutils/unixccompiler.py,L1,M0,untyped,null
numpy/distutils/ccompiler.py,L1,M0,untyped,null
numpy/distutils/__init__.py,L1,M0,typed,0.5
numpy/testing/_private/nosetester.py,L1,M0,untyped,null
numpy/testing/__init__.py,L1,M0,untyped,null
numpy/distutils/command/build_scripts.py,L1,M0,untyped,null
numpy/distutils/command/build_py.py,L1,M0,untyped,null
numpy/distutils/system_info.py,L1,M0,untyped,null
numpy/distutils/misc_util.py,L1,M0,untyped,null
numpy/fft/helper.py,L1,M0,untyped,null
numpy/fft/_pocketfft.py,L1,M0,untyped,null
numpy/fft/__init__.py,L1,M0,untyped,null
numpy/core/defchararray.py,L1,M0,untyped,null
numpy/matrixlib/defmatrix.py,L1,M0,untyped,null
numpy/matrixlib/__init__.py,L1,M0,untyped,null
numpy/_distributor_init.py,L1,M0,untyped,null
numpy/_globals.py,L1,M0,untyped,null
numpy/ctypeslib.py,L1,M0,untyped,null
numpy/__init__.py,L1,M0,typed,0.7794520547945205
numpy/lib/shape_base.py,L1,M0,untyped,null
numpy/lib/mixins.py,L1,M0,untyped,null
numpy/lib/histograms.py,L1,M0,untyped,null
numpy/lib/arrayterator.py,L1,M0,untyped,null
numpy/lib/arraysetops.py,L1,M0,untyped,null
numpy/lib/nanfunctions.py,L1,M0,untyped,null
numpy/lib/utils.py,L1,M0,untyped,null
numpy/lib/stride_tricks.py,L1,M0,untyped,null
numpy/lib/scimath.py,L1,M0,untyped,null
numpy/lib/arraypad.py,L1,M0,untyped,null
numpy/lib/polynomial.py,L1,M0,untyped,null
numpy/lib/npyio.py,L1,M0,untyped,null
numpy/lib/format.py,L1,M0,untyped,null
numpy/lib/ufunclike.py,L1,M0,untyped,null
numpy/lib/type_check.py,L1,M0,untyped,null
numpy/lib/twodim_base.py,L1,M0,untyped,null
numpy/lib/__init__.py,L1,M0,untyped,null
numpy/core/_add_newdocs_scalars.py,L1,M0,untyped,null
numpy/core/_add_newdocs.py,L1,M0,untyped,null
numpy/core/_dtype_ctypes.py,L1,M0,untyped,null
numpy/core/einsumfunc.py,L1,M0,untyped,null
numpy/core/memmap.py,L1,M0,untyped,null
numpy/core/records.py,L1,M0,untyped,null
numpy/_pytesttester.py,L1,M0,untyped,null
numpy/core/function_base.py,L1,M0,typed,1.0
numpy/core/__init__.py,L1,M0,untyped,null
numpy/random/tests/test_generator_mt19937.py,L2,M0,untyped,null
numpy/lib/tests/test_nanfunctions.py,L2,M1,untyped,null
numpy/linalg/lapack_lite/fortran.py,L3,M0,untyped,null
numpy/linalg/lapack_lite/clapack_scrub.py,L3,M0,untyped,null
numpy/linalg/lapack_lite/make_lite.py,L3,M0,untyped,null
numpy/random/_examples/cffi/parse.py,L3,M1,untyped,null
numpy/random/_examples/cffi/extending.py,L3,M1,untyped,null
numpy/random/_examples/numba/extending.py,L3,M1,untyped,null
numpy/random/tests/test_extending.py,L3,M1,untyped,null
numpy/f2py/cfuncs.py,L3,M2,untyped,null
numpy/f2py/diagnose.py,L3,M2,untyped,null
numpy/f2py/f2py_testing.py,L3,M2,untyped,null
numpy/f2py/__init__.py,L3,M2,untyped,null
numpy/f2py/auxfuncs.py,L3,M2,untyped,null
numpy/f2py/crackfortran.py,L3,M2,untyped,null
numpy/f2py/capi_maps.py,L3,M2,untyped,null
numpy/f2py/cb_rules.py,L3,M2,untyped,null
numpy/f2py/func2subr.py,L3,M2,untyped,null
numpy/f2py/use_rules.py,L3,M2,untyped,null
numpy/f2py/common_rules.py,L3,M2,untyped,null
numpy/f2py/f90mod_rules.py,L3,M2,untyped,null
numpy/f2py/rules.py,L3,M2,untyped,null
numpy/f2py/f2py2e.py,L3,M2,untyped,null
numpy/distutils/fcompiler/__init__.py,L3,M3,untyped,null
numpy/distutils/fcompiler/environment.py,L3,M3,untyped,null
numpy/distutils/msvccompiler.py,L3,M4,untyped,null
numpy/distutils/msvc9compiler.py,L3,M4,untyped,null
numpy/distutils/command/install_clib.py,L3,M5,untyped,null
numpy/distutils/command/install_headers.py,L3,M5,untyped,null
numpy/core/tests/test_defchararray.py,L3,M6,untyped,null
numpy/core/tests/test_umath.py,L3,M6,untyped,null
numpy/core/tests/test_ufunc.py,L3,M6,untyped,null
