file,Layer,Module,typed/untyped,notAnyRate
pandas/tests/arithmetic/__init__.py,L0,M0,untyped,null
pandas/_libs/tslibs/__init__.py,L0,M1,untyped,null
pandas/_libs/__init__.py,L0,M1,untyped,null
pandas/core/__init__.py,L0,M1,untyped,null
pandas/io/formats/__init__.py,L0,M1,untyped,null
pandas/core/dtypes/__init__.py,L0,M1,untyped,null
pandas/core/dtypes/generic.py,L0,M1,typed,1.0
pandas/_config/config.py,L0,M1,typed,0.9848484848484849
pandas/errors/__init__.py,L0,M1,typed,1.0
pandas/_config/display.py,L0,M1,typed,1.0
pandas/_config/dates.py,L0,M1,untyped,null
pandas/_config/__init__.py,L0,M1,untyped,null
pandas/core/arrays/sparse/__init__.py,L0,M1,untyped,null
pandas/core/arrays/__init__.py,L0,M1,untyped,null
pandas/core/dtypes/base.py,L0,M1,typed,0.9259259259259259
pandas/core/dtypes/inference.py,L0,M1,typed,1.0
pandas/core/dtypes/common.py,L0,M1,typed,1.0
pandas/io/__init__.py,L0,M1,untyped,null
pandas/core/indexes/__init__.py,L0,M1,untyped,null
pandas/core/groupby/__init__.py,L0,M1,untyped,null
pandas/core/window/__init__.py,L0,M1,untyped,null
pandas/_typing.py,L0,M1,untyped,null
pandas/core/dtypes/missing.py,L0,M1,typed,1.0
pandas/core/arrays/sparse/dtype.py,L0,M1,typed,0.875
pandas/core/util/__init__.py,L0,M1,untyped,null
pandas/core/util/hashing.py,L0,M1,typed,1.0
pandas/util/_decorators.py,L0,M1,typed,1.0
pandas/util/testing.py,L0,M1,untyped,null
pandas/util/__init__.py,L0,M1,untyped,null
pandas/compat/__init__.py,L0,M1,typed,1.0
pandas/compat/numpy/function.py,L0,M1,typed,1.0
pandas/util/_validators.py,L0,M1,typed,1.0
pandas/compat/_optional.py,L0,M1,typed,1.0
pandas/core/missing.py,L0,M1,typed,1.0
pandas/tseries/offsets.py,L0,M1,untyped,null
pandas/tseries/__init__.py,L0,M1,untyped,null
pandas/core/window/indexers.py,L0,M1,typed,1.0
pandas/core/indexes/api.py,L0,M1,typed,1.0
pandas/core/shared_docs.py,L0,M1,typed,1.0
pandas/core/window/common.py,L0,M1,untyped,null
pandas/compat/numpy/__init__.py,L0,M1,untyped,null
pandas/core/window/expanding.py,L0,M1,typed,1.0
pandas/core/internals/__init__.py,L0,M1,untyped,null
pandas/core/common.py,L0,M1,typed,0.9333333333333333
pandas/core/dtypes/concat.py,L0,M1,typed,1.0
pandas/core/reshape/concat.py,L0,M1,typed,1.0
pandas/core/arrays/_arrow_utils.py,L0,M1,untyped,null
pandas/arrays/__init__.py,L0,M1,untyped,null
pandas/core/arrays/period.py,L0,M1,typed,1.0
pandas/core/indexes/timedeltas.py,L0,M1,typed,1.0
pandas/core/ops/mask_ops.py,L0,M1,typed,1.0
pandas/core/arrays/boolean.py,L0,M1,typed,1.0
pandas/core/construction.py,L0,M1,typed,0.92
pandas/core/arrays/sparse/scipy_sparse.py,L0,M1,typed,1.0
pandas/core/accessor.py,L0,M1,typed,1.0
pandas/core/arrays/sparse/accessor.py,L0,M1,typed,1.0
pandas/core/internals/concat.py,L0,M1,typed,1.0
pandas/core/indexes/numeric.py,L0,M1,typed,0.9523809523809523
pandas/core/dtypes/dtypes.py,L0,M1,typed,0.9195402298850575
pandas/io/excel/_util.py,L0,M1,typed,1.0
pandas/io/excel/_odswriter.py,L0,M1,typed,1.0
pandas/io/excel/_openpyxl.py,L0,M1,typed,1.0
pandas/io/excel/_xlsxwriter.py,L0,M1,typed,1.0
pandas/io/excel/_xlwt.py,L0,M1,typed,1.0
pandas/io/excel/__init__.py,L0,M1,untyped,null
pandas/io/formats/console.py,L0,M1,untyped,null
pandas/io/formats/printing.py,L0,M1,typed,0.9454545454545454
pandas/io/formats/css.py,L0,M1,typed,1.0
pandas/io/formats/_color_data.py,L0,M1,untyped,null
pandas/io/formats/excel.py,L0,M1,typed,1.0
pandas/core/ops/common.py,L0,M1,typed,1.0
pandas/core/ops/roperator.py,L0,M1,untyped,null
pandas/core/ops/methods.py,L0,M1,untyped,null
pandas/core/ops/docstrings.py,L0,M1,typed,1.0
pandas/core/ops/invalid.py,L0,M1,typed,1.0
pandas/core/ops/__init__.py,L0,M1,typed,1.0
