NodeID,Nodename,degree_centrality
0,pyspark/resource/__init__.py,0.9351
1,pyspark/mllib/linalg/distributed.py,0.6108
2,pyspark/sql/pandas/group_ops.py,0.5676
3,pyspark/resource/information.py,0.4324
4,pyspark/ml/feature.py,0.4
5,pyspark/mllib/feature.py,0.373
6,pyspark/streaming/tests/__init__.py,0.3351
7,pyspark/ml/tests/test_feature.py,0.3351
8,pyspark/sql/types.py,0.2757
9,pyspark/sql/tests/test_pandas_map.py,0.2162
10,pyspark/ml/tuning.py,0.2054
11,pyspark/_globals.py,0.2054
12,pyspark/sql/pandas/types.py,0.2054
13,pyspark/sql/tests/test_conf.py,0.1784
14,pyspark/tests/test_pin_thread.py,0.1676
15,pyspark/tests/test_serializers.py,0.1676
16,pyspark/testing/mlutils.py,0.1622
17,pyspark/mllib/recommendation.py,0.1568
18,pyspark/sql/utils.py,0.1459
19,pyspark/sql/readwriter.py,0.1405
20,pyspark/mllib/__init__.py,0.1405
21,pyspark/sql/functions.py,0.1405
22,pyspark/mllib/tests/__init__.py,0.1405
23,pyspark/sql/conf.py,0.1351
24,pyspark/testing/__init__.py,0.1297
25,pyspark/ml/common.py,0.1297
26,pyspark/mllib/tests/test_stat.py,0.1297
27,pyspark/cloudpickle/compat.py,0.1243
28,pyspark/ml/tests/test_base.py,0.1189
29,pyspark/ml/tests/test_algorithms.py,0.1189
30,pyspark/ml/tests/test_training_summary.py,0.1189
31,pyspark/java_gateway.py,0.1135
32,pyspark/tests/test_context.py,0.1135
33,pyspark/sql/tests/test_datasources.py,0.1135
34,pyspark/mllib/stat/distribution.py,0.1135
35,pyspark/tests/test_readwrite.py,0.1135
36,pyspark/cloudpickle/__init__.py,0.1081
37,pyspark/sql/avro/__init__.py,0.1081
38,pyspark/sql/catalog.py,0.1081
39,pyspark/tests/test_profiler.py,0.1081
40,pyspark/statcounter.py,0.1027
41,pyspark/sql/avro/functions.py,0.1027
42,pyspark/ml/evaluation.py,0.1027
43,pyspark/cloudpickle/cloudpickle.py,0.1027
