file,Layer,Module,typed/untyped,notAnyRate
pyspark/cloudpickle/compat.py,L0,M0,untyped,null
pyspark/cloudpickle/cloudpickle.py,L0,M0,untyped,null
pyspark/cloudpickle/cloudpickle_fast.py,L0,M0,untyped,null
pyspark/cloudpickle/__init__.py,L0,M0,untyped,null
pyspark/util.py,L0,M0,untyped,null
pyspark/serializers.py,L0,M0,untyped,null
pyspark/find_spark_home.py,L0,M0,untyped,null
pyspark/conf.py,L0,M0,typed,1.0
pyspark/java_gateway.py,L0,M0,untyped,null
pyspark/accumulators.py,L0,M0,typed,1.0
pyspark/_globals.py,L0,M0,untyped,null
pyspark/resource/information.py,L0,M0,typed,1.0
pyspark/sql/types.py,L0,M0,typed,0.8414634146341463
pyspark/ml/common.py,L0,M0,typed,0.5
pyspark/ml/util.py,L0,M0,typed,0.9545454545454546
pyspark/ml/linalg/__init__.py,L0,M0,typed,0.9534883720930233
pyspark/ml/param/__init__.py,L0,M0,typed,0.8088235294117647
pyspark/sql/catalog.py,L0,M0,typed,1.0
pyspark/sql/window.py,L0,M0,typed,1.0
pyspark/sql/column.py,L0,M0,typed,0.9193548387096774
pyspark/sql/utils.py,L0,M0,untyped,null
pyspark/sql/readwriter.py,L0,M0,typed,1.0
pyspark/ml/param/shared.py,L0,M0,typed,1.0
pyspark/ml/base.py,L0,M0,typed,1.0
pyspark/ml/wrapper.py,L0,M0,typed,1.0
pyspark/ml/pipeline.py,L0,M0,typed,1.0
pyspark/sql/avro/__init__.py,L0,M0,untyped,null
pyspark/sql/pandas/__init__.py,L0,M0,untyped,null
pyspark/sql/pandas/utils.py,L0,M0,untyped,null
pyspark/resource/requests.py,L0,M0,typed,1.0
pyspark/resource/__init__.py,L0,M0,untyped,null
pyspark/shuffle.py,L0,M0,untyped,null
pyspark/resource/profile.py,L0,M0,typed,1.0
pyspark/sql/pandas/types.py,L0,M0,untyped,null
pyspark/sql/udf.py,L0,M0,typed,1.0
pyspark/sql/context.py,L0,M0,typed,1.0
pyspark/sql/group.py,L0,M0,typed,1.0
pyspark/sql/pandas/functions.py,L0,M0,typed,1.0
pyspark/sql/pandas/typehints.py,L0,M0,untyped,null
pyspark/sql/pandas/group_ops.py,L0,M0,typed,1.0
pyspark/taskcontext.py,L0,M0,typed,1.0
pyspark/sql/streaming.py,L0,M0,typed,1.0
pyspark/storagelevel.py,L0,M0,typed,1.0
pyspark/resultiterable.py,L0,M0,typed,1.0
pyspark/streaming/__init__.py,L0,M0,untyped,null
pyspark/streaming/listener.py,L0,M0,typed,0.5
pyspark/streaming/util.py,L0,M0,untyped,null
pyspark/streaming/dstream.py,L0,M0,typed,1.0
pyspark/streaming/context.py,L0,M0,typed,1.0
pyspark/sql/functions.py,L0,M0,typed,0.9898819561551433
pyspark/testing/__init__.py,L0,M0,untyped,null
pyspark/testing/utils.py,L0,M0,untyped,null
pyspark/sql/conf.py,L0,M0,typed,1.0
pyspark/testing/sqlutils.py,L0,M0,untyped,null
pyspark/sql/__init__.py,L0,M0,untyped,null
pyspark/sql/pandas/serializers.py,L0,M0,untyped,null
pyspark/ml/evaluation.py,L0,M0,typed,1.0
