NodeID,Nodename,degree_centrality
0,returns/context/__init__.py,0.8108
1,returns/primitives/exceptions.py,0.6036
2,returns/pointfree/bind.py,0.5315
3,returns/_internal/futures/_future.py,0.5315
4,returns/pointfree/bind_async_future_result.py,0.3153
5,returns/interfaces/applicative.py,0.2523
6,returns/contrib/mypy/_features/curry.py,0.2432
7,returns/context/requires_context.py,0.2342
8,returns/io.py,0.2162
9,returns/interfaces/bimappable.py,0.2162
10,returns/contrib/hypothesis/containers.py,0.2072
11,returns/interfaces/specific/io.py,0.1982
12,returns/pipeline.py,0.1622
13,returns/_internal/pipeline/flow.py,0.1622
14,returns/_internal/pipeline/pipe.py,0.1532
15,returns/pointfree/cond.py,0.1441
16,returns/pointfree/bind_ioresult.py,0.1441
17,returns/interfaces/bindable.py,0.1351
18,returns/interfaces/specific/maybe.py,0.1351
19,returns/interfaces/lashable.py,0.1351
20,returns/pointfree/__init__.py,0.1351
21,returns/pointfree/bind_optional.py,0.1351
22,returns/pointfree/bind_future.py,0.1261
23,returns/interfaces/__init__.py,0.1261
24,returns/contrib/mypy/_features/pipe.py,0.1261
25,returns/pointfree/bind_result.py,0.1261
26,returns/primitives/types.py,0.1261
27,returns/pointfree/bind_async_context_future_result.py,0.1261
28,returns/contrib/mypy/_consts.py,0.1171
29,returns/pointfree/lash.py,0.1081
30,returns/methods/cond.py,0.1081
31,returns/contrib/mypy/_features/flow.py,0.0991
32,returns/primitives/hkt.py,0.0991
33,returns/contrib/mypy/_features/decorators.py,0.0991
34,returns/interfaces/mappable.py,0.0991
35,returns/interfaces/specific/reader_result.py,0.0991
36,returns/contrib/mypy/_typeops/visitor.py,0.0991
37,returns/contrib/pytest/plugin.py,0.0991
38,returns/interfaces/specific/reader_future_result.py,0.0991
39,returns/pointfree/bind_async.py,0.0901
40,returns/interfaces/equable.py,0.0901
41,returns/pointfree/unify.py,0.0901
42,returns/interfaces/specific/future.py,0.0901
43,returns/curry.py,0.0901
44,returns/contrib/hypothesis/__init__.py,0.0811
45,returns/pointfree/bind_context_ioresult.py,0.0811
46,returns/pointfree/apply.py,0.0811
47,returns/contrib/mypy/_features/kind.py,0.0811
48,returns/contrib/mypy/_features/__init__.py,0.0811
49,returns/contrib/hypothesis/laws.py,0.0811
50,returns/contrib/mypy/_structures/args.py,0.0811
51,returns/pointfree/bind_context.py,0.0811
52,returns/contrib/mypy/_structures/types.py,0.0721
53,returns/context/requires_context_future_result.py,0.0721
54,returns/_internal/futures/_reader_future_result.py,0.0721
55,returns/interfaces/specific/result.py,0.0721
56,returns/contrib/mypy/_typeops/transform_callable.py,0.0721
57,returns/interfaces/failable.py,0.0721
58,returns/functions.py,0.0721
59,returns/contrib/mypy/_features/partial.py,0.0721
60,returns/contrib/__init__.py,0.0721
61,returns/primitives/tracing.py,0.0721
62,returns/_internal/futures/__init__.py,0.0721
63,returns/primitives/laws.py,0.0721
64,returns/interfaces/specific/ioresult.py,0.0721
65,returns/pointfree/bind_awaitable.py,0.0721
66,returns/pointfree/bind_io.py,0.0631
67,returns/interfaces/container.py,0.0631
68,returns/interfaces/specific/reader_ioresult.py,0.0631
69,returns/interfaces/specific/future_result.py,0.0631
70,returns/_internal/futures/_future_result.py,0.0631
71,returns/pointfree/bind_async_future.py,0.0631
72,returns/interfaces/swappable.py,0.0631
73,returns/context/requires_context_result.py,0.0631
74,returns/_internal/pipeline/managed.py,0.0631
75,returns/interfaces/specific/reader.py,0.0631
76,returns/_internal/__init__.py,0.0631
77,returns/primitives/reawaitable.py,0.0631
78,returns/pointfree/compose_result.py,0.0631
79,returns/pointfree/bind_context_result.py,0.0631
80,returns/interfaces/altable.py,0.0631
81,returns/unsafe.py,0.0631
82,returns/future.py,0.0541
83,returns/pointfree/bimap.py,0.0541
84,returns/result.py,0.0541
85,returns/contrib/pytest/__init__.py,0.0541
86,returns/primitives/container.py,0.0541
87,returns/primitives/__init__.py,0.0541
88,returns/contrib/mypy/_structures/__init__.py,0.0541
89,returns/contrib/mypy/returns_plugin.py,0.0541
90,returns/contrib/mypy/_typeops/__init__.py,0.0541
91,returns/primitives/asserts.py,0.0541
92,returns/methods/unwrap_or_failure.py,0.0541
93,returns/contrib/mypy/__init__.py,0.045
94,returns/iterables.py,0.045
95,returns/maybe.py,0.045
96,returns/converters.py,0.045
97,returns/pointfree/alt.py,0.045
98,returns/methods/__init__.py,0.036
99,returns/pointfree/bind_future_result.py,0.036
100,returns/pointfree/map.py,0.036
101,returns/contrib/mypy/_typeops/inference.py,0.027
102,returns/contrib/hypothesis/_entrypoint.py,0.027
103,returns/__init__.py,0.018
104,returns/contrib/mypy/_typeops/fallback.py,0.018
105,returns/context/requires_context_ioresult.py,0.018
106,returns/interfaces/unwrappable.py,0.018
107,returns/_internal/pipeline/__init__.py,0.018
108,returns/pointfree/modify_env.py,0.009
109,returns/interfaces/specific/__init__.py,0.009
110,returns/pointfree/bind_context_future_result.py,0.009
111,returns/contrib/mypy/_typeops/analtype.py,0.009
