file,Layer,Module,typed/untyped,notAnyRate
returns/contrib/mypy/_structures/args.py,L0,M0,typed,1.0
returns/__init__.py,L0,M1,untyped,null
returns/contrib/__init__.py,L0,M2,untyped,null
returns/primitives/__init__.py,L1,M0,untyped,null
returns/primitives/hkt.py,L1,M0,typed,1.0
returns/primitives/types.py,L1,M0,typed,0.875
returns/primitives/laws.py,L1,M0,typed,1.0
returns/interfaces/equable.py,L1,M0,typed,1.0
returns/interfaces/__init__.py,L1,M0,untyped,null
returns/interfaces/unwrappable.py,L1,M0,typed,1.0
returns/primitives/exceptions.py,L1,M0,typed,1.0
returns/interfaces/container.py,L1,M0,typed,1.0
returns/interfaces/bindable.py,L1,M0,typed,1.0
returns/interfaces/specific/reader.py,L1,M0,typed,1.0
returns/context/__init__.py,L1,M0,untyped,null
returns/interfaces/specific/__init__.py,L1,M0,untyped,null
returns/interfaces/specific/io.py,L1,M0,typed,1.0
returns/interfaces/specific/future.py,L1,M0,typed,1.0
returns/functions.py,L1,M0,typed,1.0
returns/interfaces/mappable.py,L1,M0,typed,1.0
returns/primitives/asserts.py,L1,M0,typed,1.0
returns/interfaces/applicative.py,L1,M0,typed,1.0
returns/primitives/container.py,L1,M0,typed,0.6666666666666667
returns/context/requires_context_result.py,L1,M0,typed,1.0
returns/interfaces/specific/result.py,L1,M0,typed,1.0
returns/result.py,L1,M0,typed,1.0
returns/interfaces/altable.py,L1,M0,typed,1.0
returns/interfaces/bimappable.py,L1,M0,untyped,null
returns/interfaces/swappable.py,L1,M0,typed,1.0
returns/interfaces/specific/ioresult.py,L1,M0,typed,1.0
returns/io.py,L1,M0,typed,1.0
returns/context/requires_context_ioresult.py,L1,M0,typed,1.0
returns/interfaces/specific/reader_result.py,L1,M0,typed,1.0
returns/interfaces/specific/reader_ioresult.py,L1,M0,typed,1.0
returns/interfaces/lashable.py,L1,M0,typed,1.0
returns/interfaces/failable.py,L1,M0,typed,1.0
returns/context/requires_context.py,L1,M0,typed,1.0
returns/_internal/futures/__init__.py,L1,M0,untyped,null
returns/_internal/__init__.py,L1,M0,untyped,null
returns/primitives/reawaitable.py,L1,M0,typed,1.0
returns/_internal/futures/_future.py,L1,M0,untyped,null
returns/_internal/futures/_future_result.py,L1,M0,untyped,null
returns/interfaces/specific/future_result.py,L1,M0,typed,1.0
returns/future.py,L1,M0,typed,1.0
returns/interfaces/specific/reader_future_result.py,L1,M0,typed,1.0
returns/_internal/futures/_reader_future_result.py,L1,M0,untyped,null
returns/context/requires_context_future_result.py,L1,M0,typed,1.0
returns/_internal/pipeline/__init__.py,L2,M0,untyped,null
returns/_internal/pipeline/flow.py,L2,M0,typed,1.0
returns/_internal/pipeline/pipe.py,L2,M0,typed,1.0
returns/_internal/pipeline/managed.py,L2,M0,typed,1.0
returns/pipeline.py,L2,M0,typed,1.0
returns/interfaces/specific/maybe.py,L2,M1,typed,1.0
returns/contrib/hypothesis/__init__.py,L3,M0,untyped,null
returns/contrib/hypothesis/containers.py,L3,M0,typed,1.0
returns/maybe.py,L3,M1,typed,1.0
returns/contrib/mypy/_typeops/__init__.py,L4,M0,untyped,null
returns/contrib/mypy/__init__.py,L4,M0,untyped,null
returns/contrib/mypy/_structures/__init__.py,L4,M0,untyped,null
returns/contrib/mypy/_typeops/analtype.py,L4,M0,typed,1.0
returns/contrib/mypy/_structures/types.py,L4,M0,untyped,null
returns/contrib/mypy/_typeops/transform_callable.py,L4,M0,typed,1.0
returns/contrib/mypy/_typeops/inference.py,L4,M0,typed,1.0
returns/contrib/mypy/_typeops/visitor.py,L4,M0,typed,1.0
returns/contrib/mypy/_consts.py,L4,M0,typed,1.0
returns/contrib/mypy/_typeops/fallback.py,L4,M0,typed,1.0
returns/contrib/mypy/_features/kind.py,L4,M0,typed,1.0
returns/contrib/mypy/_features/__init__.py,L4,M0,untyped,null
returns/contrib/mypy/_features/flow.py,L4,M0,typed,1.0
returns/contrib/mypy/_features/decorators.py,L4,M0,typed,1.0
returns/contrib/mypy/_features/pipe.py,L4,M0,typed,1.0
returns/contrib/mypy/_features/curry.py,L4,M0,typed,1.0
returns/contrib/mypy/_features/partial.py,L4,M0,typed,1.0
returns/contrib/mypy/returns_plugin.py,L4,M0,typed,1.0
returns/pointfree/bind_optional.py,L4,M1,typed,1.0
returns/methods/unwrap_or_failure.py,L4,M1,typed,1.0
returns/methods/cond.py,L4,M1,typed,1.0
returns/methods/__init__.py,L4,M1,untyped,null
returns/pointfree/cond.py,L4,M1,typed,1.0
returns/pointfree/bind_context.py,L4,M1,typed,1.0
returns/pointfree/bind_context_ioresult.py,L4,M1,typed,1.0
returns/pointfree/modify_env.py,L4,M1,typed,1.0
returns/pointfree/bind_ioresult.py,L4,M1,typed,1.0
returns/pointfree/lash.py,L4,M1,typed,1.0
returns/pointfree/bind_context_future_result.py,L4,M1,typed,1.0
returns/pointfree/bind_awaitable.py,L4,M1,typed,1.0
returns/pointfree/bind_async_future.py,L4,M1,typed,1.0
returns/pointfree/compose_result.py,L4,M1,typed,1.0
returns/pointfree/bimap.py,L4,M1,typed,1.0
returns/pointfree/bind_async_context_future_result.py,L4,M1,typed,1.0
returns/pointfree/bind_async.py,L4,M1,typed,1.0
returns/pointfree/bind_result.py,L4,M1,typed,1.0
returns/pointfree/map.py,L4,M1,typed,1.0
returns/pointfree/apply.py,L4,M1,typed,1.0
returns/pointfree/bind_future_result.py,L4,M1,typed,1.0
returns/pointfree/bind.py,L4,M1,typed,1.0
returns/pointfree/bind_context_result.py,L4,M1,typed,1.0
returns/pointfree/bind_io.py,L4,M1,typed,1.0
returns/pointfree/bind_future.py,L4,M1,typed,1.0
returns/pointfree/bind_async_future_result.py,L4,M1,typed,1.0
returns/pointfree/alt.py,L4,M1,typed,1.0
returns/pointfree/unify.py,L4,M1,typed,1.0
returns/pointfree/__init__.py,L4,M1,untyped,null
returns/contrib/pytest/__init__.py,L4,M2,untyped,null
returns/contrib/pytest/plugin.py,L4,M2,typed,0.95
returns/contrib/hypothesis/laws.py,L4,M2,typed,1.0
returns/converters.py,L4,M3,typed,1.0
returns/curry.py,L4,M4,typed,0.8571428571428572
returns/iterables.py,L4,M5,typed,1.0
returns/unsafe.py,L4,M6,typed,1.0
returns/primitives/tracing.py,L4,M7,typed,1.0
returns/contrib/hypothesis/_entrypoint.py,L4,M8,typed,1.0
