file path,file type,any rate
chainer\backend.py,typed,0.0
chainer\backends\cuda.py,typed,0.0
chainer\backends\intel64.py,untyped,0
chainer\backends\_chainerx.py,typed,0.0
chainer\backends\_cpu.py,untyped,0
chainer\backends\__init__.py,untyped,0
chainer\computational_graph.py,untyped,0
chainer\configuration.py,untyped,0
chainer\cuda.py,untyped,0
chainer\dataset\convert.py,untyped,0
chainer\dataset\dataset_mixin.py,untyped,0
chainer\dataset\download.py,untyped,0
chainer\dataset\iterator.py,untyped,0
chainer\dataset\tabular\delegate_dataset.py,untyped,0
chainer\dataset\tabular\from_data.py,untyped,0
chainer\dataset\tabular\tabular_dataset.py,untyped,0
chainer\dataset\tabular\_asmode.py,untyped,0
chainer\dataset\tabular\_concat.py,untyped,0
chainer\dataset\tabular\_join.py,untyped,0
chainer\dataset\tabular\_slice.py,untyped,0
chainer\dataset\tabular\_transform.py,untyped,0
chainer\dataset\tabular\_with_converter.py,untyped,0
chainer\dataset\tabular\__init__.py,untyped,0
chainer\dataset\__init__.py,untyped,0
chainer\datasets\cifar.py,untyped,0
chainer\datasets\concatenated_dataset.py,untyped,0
chainer\datasets\dict_dataset.py,untyped,0
chainer\datasets\fashion_mnist.py,untyped,0
chainer\datasets\image_dataset.py,untyped,0
chainer\datasets\kuzushiji_mnist.py,untyped,0
chainer\datasets\mnist.py,untyped,0
chainer\datasets\pickle_dataset.py,untyped,0
chainer\datasets\ptb.py,untyped,0
chainer\datasets\sub_dataset.py,untyped,0
chainer\datasets\svhn.py,untyped,0
chainer\datasets\text_dataset.py,untyped,0
chainer\datasets\transform_dataset.py,untyped,0
chainer\datasets\tuple_dataset.py,untyped,0
chainer\datasets\_mnist_helper.py,untyped,0
chainer\datasets\__init__.py,untyped,0
chainer\device_resident.py,typed,0.0
chainer\distribution.py,untyped,0
chainer\distributions\bernoulli.py,untyped,0
chainer\distributions\beta.py,untyped,0
chainer\distributions\categorical.py,untyped,0
chainer\distributions\cauchy.py,untyped,0
chainer\distributions\chisquare.py,untyped,0
chainer\distributions\dirichlet.py,untyped,0
chainer\distributions\exponential.py,untyped,0
chainer\distributions\gamma.py,untyped,0
chainer\distributions\geometric.py,untyped,0
chainer\distributions\gumbel.py,untyped,0
chainer\distributions\independent.py,untyped,0
chainer\distributions\laplace.py,untyped,0
chainer\distributions\log_normal.py,untyped,0
chainer\distributions\multivariate_normal.py,untyped,0
chainer\distributions\normal.py,untyped,0
chainer\distributions\one_hot_categorical.py,untyped,0
chainer\distributions\pareto.py,untyped,0
chainer\distributions\poisson.py,untyped,0
chainer\distributions\uniform.py,untyped,0
chainer\distributions\utils.py,untyped,0
chainer\distributions\__init__.py,untyped,0
chainer\exporters\caffe.py,untyped,0
chainer\exporters\__init__.py,untyped,0
chainer\function.py,typed,0.0
chainer\functions\activation\clipped_relu.py,untyped,0
chainer\functions\activation\crelu.py,untyped,0
chainer\functions\activation\elu.py,untyped,0
chainer\functions\activation\hard_sigmoid.py,untyped,0
chainer\functions\activation\leaky_relu.py,untyped,0
chainer\functions\activation\log_softmax.py,untyped,0
chainer\functions\activation\maxout.py,untyped,0
chainer\functions\activation\prelu.py,untyped,0
chainer\functions\activation\relu.py,untyped,0
chainer\functions\activation\rrelu.py,untyped,0
chainer\functions\activation\selu.py,untyped,0
chainer\functions\activation\sigmoid.py,untyped,0
chainer\functions\activation\softmax.py,untyped,0
chainer\functions\activation\softplus.py,untyped,0
chainer\functions\activation\swish.py,untyped,0
chainer\functions\activation\tanh.py,untyped,0
chainer\functions\activation\__init__.py,untyped,0
chainer\functions\array\as_strided.py,untyped,0
chainer\functions\array\broadcast.py,untyped,0
chainer\functions\array\cast.py,untyped,0
chainer\functions\array\concat.py,untyped,0
chainer\functions\array\copy.py,untyped,0
chainer\functions\array\depth2space.py,untyped,0
chainer\functions\array\diagonal.py,untyped,0
chainer\functions\array\dstack.py,untyped,0
chainer\functions\array\expand_dims.py,untyped,0
chainer\functions\array\flatten.py,untyped,0
chainer\functions\array\flip.py,untyped,0
chainer\functions\array\fliplr.py,untyped,0
chainer\functions\array\flipud.py,untyped,0
chainer\functions\array\get_item.py,untyped,0
chainer\functions\array\hstack.py,untyped,0
chainer\functions\array\im2col.py,untyped,0
chainer\functions\array\moveaxis.py,untyped,0
chainer\functions\array\pad.py,untyped,0
chainer\functions\array\pad_sequence.py,untyped,0
chainer\functions\array\permutate.py,untyped,0
chainer\functions\array\repeat.py,untyped,0
chainer\functions\array\reshape.py,untyped,0
chainer\functions\array\resize_images.py,untyped,0
chainer\functions\array\rollaxis.py,untyped,0
chainer\functions\array\scatter_add.py,untyped,0
chainer\functions\array\select_item.py,untyped,0
chainer\functions\array\separate.py,untyped,0
chainer\functions\array\space2depth.py,untyped,0
chainer\functions\array\spatial_transformer_grid.py,untyped,0
chainer\functions\array\spatial_transformer_sampler.py,untyped,0
chainer\functions\array\split_axis.py,untyped,0
chainer\functions\array\squeeze.py,untyped,0
chainer\functions\array\stack.py,untyped,0
chainer\functions\array\swapaxes.py,untyped,0
chainer\functions\array\tile.py,untyped,0
chainer\functions\array\transpose.py,untyped,0
chainer\functions\array\transpose_sequence.py,untyped,0
chainer\functions\array\vstack.py,untyped,0
chainer\functions\array\where.py,untyped,0
chainer\functions\array\__init__.py,untyped,0
chainer\functions\connection\bilinear.py,untyped,0
chainer\functions\connection\convolution_2d.py,untyped,0
chainer\functions\connection\convolution_nd.py,untyped,0
chainer\functions\connection\deconvolution_2d.py,untyped,0
chainer\functions\connection\deconvolution_nd.py,untyped,0
chainer\functions\connection\deformable_convolution_2d_sampler.py,untyped,0
chainer\functions\connection\depthwise_convolution_2d.py,untyped,0
chainer\functions\connection\dilated_convolution_2d.py,untyped,0
chainer\functions\connection\embed_id.py,untyped,0
chainer\functions\connection\linear.py,untyped,0
chainer\functions\connection\local_convolution_2d.py,untyped,0
chainer\functions\connection\shift.py,untyped,0
chainer\functions\connection\__init__.py,untyped,0
chainer\functions\evaluation\accuracy.py,untyped,0
chainer\functions\evaluation\binary_accuracy.py,untyped,0
chainer\functions\evaluation\classification_summary.py,untyped,0
chainer\functions\evaluation\r2_score.py,untyped,0
chainer\functions\evaluation\__init__.py,untyped,0
chainer\functions\loss\absolute_error.py,untyped,0
chainer\functions\loss\black_out.py,untyped,0
chainer\functions\loss\contrastive.py,untyped,0
chainer\functions\loss\crf1d.py,untyped,0
chainer\functions\loss\cross_covariance.py,untyped,0
chainer\functions\loss\ctc.py,untyped,0
chainer\functions\loss\decov.py,untyped,0
chainer\functions\loss\discriminative_loss.py,untyped,0
chainer\functions\loss\hinge.py,untyped,0
chainer\functions\loss\huber_loss.py,untyped,0
chainer\functions\loss\mean_absolute_error.py,untyped,0
chainer\functions\loss\mean_squared_error.py,untyped,0
chainer\functions\loss\negative_sampling.py,untyped,0
chainer\functions\loss\sigmoid_cross_entropy.py,untyped,0
chainer\functions\loss\softmax_cross_entropy.py,untyped,0
chainer\functions\loss\squared_error.py,untyped,0
chainer\functions\loss\triplet.py,untyped,0
chainer\functions\loss\vae.py,untyped,0
