file,Layer,Module
chainer/warnings.py,L0,M0
chainer/backends/__init__.py,L0,M0
chainer/types.py,L0,M0
chainer/utils/array.py,L0,M0
chainer/initializer.py,L0,M0
chainer/graph_optimizations/__init__.py,L0,M0
chainer/graph_optimizations/static_graph_utilities.py,L0,M0
chainer/graph_optimizations/static_graph.py,L0,M0
chainer/configuration.py,L0,M0
chainer/_backend.py,L0,M0
chainer/backends/_cpu.py,L0,M0
chainer/backends/_chainerx.py,L0,M0
chainer/backends/intel64.py,L0,M0
chainer/backends/cuda.py,L0,M0
chainer/backend.py,L0,M0
chainer/cuda.py,L0,M0
chainer/utils/sparse.py,L0,M0
chainer/utils/experimental.py,L0,M0
chainer/utils/meta.py,L0,M0
chainer/utils/error.py,L0,M0
chainer/utils/conv.py,L0,M0
chainer/utils/type_check.py,L0,M0
chainer/utils/nondeterministic.py,L0,M0
chainer/utils/__init__.py,L0,M0
chainer/function_hook.py,L0,M0
chainer/_backprop_utils.py,L0,M0
chainer/function_node.py,L0,M0
chainer/utils/argument.py,L0,M0
chainer/initializers/sampling.py,L0,M0
chainer/initializers/constant.py,L0,M0
chainer/initializers/orthogonal.py,L0,M0
chainer/initializers/uniform.py,L0,M0
chainer/initializers/normal.py,L0,M0
chainer/initializers/__init__.py,L0,M0
chainer/sequential.py,L0,M0
chainer/functions/array/copy.py,L0,M0
chainer/serializer.py,L0,M0
chainer/device_resident.py,L0,M0
chainer/link_hook.py,L0,M0
chainer/link.py,L0,M0
chainer/functions/math/exponential.py,L0,M0
chainer/functions/math/floor.py,L0,M0
chainer/functions/array/reshape.py,L0,M0
chainer/functions/math/sum.py,L0,M0
chainer/functions/array/broadcast.py,L0,M0
chainer/functions/math/tensordot.py,L0,M0
chainer/functions/array/rollaxis.py,L0,M0
chainer/functions/array/cast.py,L0,M0
chainer/functions/array/expand_dims.py,L0,M0
chainer/functions/math/matmul.py,L0,M0
chainer/functions/math/basic_math.py,L0,M0
chainer/utils/_collections.py,L0,M0
chainer/functions/math/identity.py,L0,M0
chainer/_backprop.py,L0,M0
chainer/functions/array/__init__.py,L0,M0
chainer/functions/math/average.py,L0,M0
chainer/function.py,L0,M0
chainer/functions/array/transpose.py,L0,M0
chainer/variable.py,L0,M0
chainer/dataset/dataset_mixin.py,L0,M0
chainer/dataset/tabular/tabular_dataset.py,L0,M0
chainer/dataset/iterator.py,L0,M0
chainer/dataset/convert.py,L0,M0
chainer/dataset/download.py,L0,M0
chainer/dataset/__init__.py,L0,M0
chainer/dataset/tabular/from_data.py,L0,M0
chainer/dataset/tabular/_with_converter.py,L0,M0
chainer/dataset/tabular/_concat.py,L0,M0
chainer/dataset/tabular/_join.py,L0,M0
chainer/dataset/tabular/_slice.py,L0,M0
chainer/dataset/tabular/_transform.py,L0,M0
chainer/dataset/tabular/_asmode.py,L0,M0
chainer/dataset/tabular/delegate_dataset.py,L0,M0
chainer/dataset/tabular/__init__.py,L0,M0
chainer/training/extension.py,L0,M0
chainer/reporter.py,L0,M0
chainer/training/extensions/util.py,L0,M0
chainer/training/triggers/interval_trigger.py,L0,M0
chainer/training/util.py,L0,M0
chainer/training/triggers/time_trigger.py,L0,M0
chainer/training/triggers/once_trigger.py,L0,M0
chainer/training/triggers/manual_schedule_trigger.py,L0,M0
chainer/training/triggers/minmax_value_trigger.py,L0,M0
chainer/training/triggers/early_stopping_trigger.py,L0,M0
chainer/training/triggers/__init__.py,L0,M0
chainer/training/trigger.py,L0,M0
chainer/training/extensions/multistep_shift.py,L0,M0
chainer/training/extensions/polynomial_shift.py,L0,M0
chainer/training/extensions/inverse_shift.py,L0,M0
chainer/training/extensions/warmup_shift.py,L0,M0
chainer/training/extensions/value_observation.py,L0,M0
chainer/training/extensions/fail_on_nonnumber.py,L0,M0
chainer/training/extensions/step_shift.py,L0,M0
chainer/training/extensions/exponential_shift.py,L0,M0
chainer/training/extensions/linear_shift.py,L0,M0
chainer/training/extensions/variable_unchain.py,L0,M0
chainer/training/extensions/print_report.py,L0,M0
chainer/training/extensions/log_report.py,L0,M0
chainer/serializers/hdf5.py,L0,M0
chainer/serializers/npz.py,L0,M0
chainer/serializers/__init__.py,L0,M0
chainer/training/extensions/snapshot_writers.py,L0,M0
chainer/training/extensions/_snapshot.py,L0,M0
chainer/iterators/dali_iterator.py,L0,M0
chainer/iterators/order_samplers.py,L0,M0
chainer/iterators/_statemachine.py,L0,M0
chainer/iterators/multiprocess_iterator.py,L0,M0
chainer/iterators/serial_iterator.py,L0,M0
chainer/iterators/multithread_iterator.py,L0,M0
chainer/training/extensions/evaluator.py,L0,M0
chainer/iterators/__init__.py,L0,M0
