file,Layer,Module,typed/untyped,notAnyRate
chainer/warnings.py,L0,M0,untyped,null
chainer/backends/__init__.py,L0,M0,untyped,null
chainer/types.py,L0,M0,typed,1.0
chainer/utils/array.py,L0,M0,untyped,null
chainer/initializer.py,L0,M0,typed,1.0
chainer/graph_optimizations/__init__.py,L0,M0,untyped,null
chainer/graph_optimizations/static_graph_utilities.py,L0,M0,untyped,null
chainer/graph_optimizations/static_graph.py,L0,M0,untyped,null
chainer/configuration.py,L0,M0,untyped,null
chainer/_backend.py,L0,M0,untyped,null
chainer/backends/_cpu.py,L0,M0,untyped,null
chainer/backends/_chainerx.py,L0,M0,typed,1.0
chainer/backends/intel64.py,L0,M0,untyped,null
chainer/backends/cuda.py,L0,M0,typed,1.0
chainer/backend.py,L0,M0,typed,1.0
chainer/cuda.py,L0,M0,untyped,null
chainer/utils/sparse.py,L0,M0,untyped,null
chainer/utils/experimental.py,L0,M0,untyped,null
chainer/utils/meta.py,L0,M0,untyped,null
chainer/utils/error.py,L0,M0,untyped,null
chainer/utils/conv.py,L0,M0,untyped,null
chainer/utils/type_check.py,L0,M0,untyped,null
chainer/utils/nondeterministic.py,L0,M0,untyped,null
chainer/utils/__init__.py,L0,M0,untyped,null
chainer/function_hook.py,L0,M0,untyped,null
chainer/_backprop_utils.py,L0,M0,untyped,null
chainer/function_node.py,L0,M0,untyped,null
chainer/utils/argument.py,L0,M0,untyped,null
chainer/initializers/sampling.py,L0,M0,untyped,null
chainer/initializers/constant.py,L0,M0,untyped,null
chainer/initializers/orthogonal.py,L0,M0,untyped,null
chainer/initializers/uniform.py,L0,M0,untyped,null
chainer/initializers/normal.py,L0,M0,untyped,null
chainer/initializers/__init__.py,L0,M0,typed,1.0
chainer/sequential.py,L0,M0,untyped,null
chainer/functions/array/copy.py,L0,M0,untyped,null
chainer/serializer.py,L0,M0,untyped,null
chainer/device_resident.py,L0,M0,typed,1.0
chainer/link_hook.py,L0,M0,typed,1.0
chainer/link.py,L0,M0,typed,1.0
chainer/functions/math/exponential.py,L0,M0,untyped,null
chainer/functions/math/floor.py,L0,M0,untyped,null
chainer/functions/array/reshape.py,L0,M0,untyped,null
chainer/functions/math/sum.py,L0,M0,untyped,null
chainer/functions/array/broadcast.py,L0,M0,untyped,null
chainer/functions/math/tensordot.py,L0,M0,untyped,null
chainer/functions/array/rollaxis.py,L0,M0,untyped,null
chainer/functions/array/cast.py,L0,M0,untyped,null
chainer/functions/array/expand_dims.py,L0,M0,untyped,null
chainer/functions/math/matmul.py,L0,M0,untyped,null
chainer/functions/math/basic_math.py,L0,M0,untyped,null
chainer/utils/_collections.py,L0,M0,untyped,null
chainer/functions/math/identity.py,L0,M0,untyped,null
chainer/_backprop.py,L0,M0,untyped,null
chainer/functions/array/__init__.py,L0,M0,untyped,null
chainer/functions/math/average.py,L0,M0,untyped,null
chainer/function.py,L0,M0,typed,1.0
chainer/functions/array/transpose.py,L0,M0,untyped,null
chainer/variable.py,L0,M0,typed,1.0
chainer/dataset/dataset_mixin.py,L0,M0,untyped,null
chainer/dataset/tabular/tabular_dataset.py,L0,M0,untyped,null
chainer/dataset/iterator.py,L0,M0,untyped,null
chainer/dataset/convert.py,L0,M0,untyped,null
chainer/dataset/download.py,L0,M0,untyped,null
chainer/dataset/__init__.py,L0,M0,untyped,null
chainer/dataset/tabular/from_data.py,L0,M0,untyped,null
chainer/dataset/tabular/_with_converter.py,L0,M0,untyped,null
chainer/dataset/tabular/_concat.py,L0,M0,untyped,null
chainer/dataset/tabular/_join.py,L0,M0,untyped,null
chainer/dataset/tabular/_slice.py,L0,M0,untyped,null
chainer/dataset/tabular/_transform.py,L0,M0,untyped,null
chainer/dataset/tabular/_asmode.py,L0,M0,untyped,null
chainer/dataset/tabular/delegate_dataset.py,L0,M0,untyped,null
