file,Layer,Module,typed/untyped,notAnyRate
elasticsearch/compat.py,L0,M0,typed,1.0
elasticsearch/_version.py,L0,M0,untyped,null
elasticsearch/exceptions.py,L0,M0,typed,1.0
elasticsearch/connection/base.py,L0,M0,typed,0.8767123287671232
elasticsearch/serializer.py,L0,M0,typed,0.625
elasticsearch/client/utils.py,L0,M0,typed,0.8823529411764706
elasticsearch/_async/client/utils.py,L0,M0,typed,1.0
elasticsearch/_async/client/ssl.py,L0,M0,untyped,null
elasticsearch/utils.py,L0,M0,typed,1.0
elasticsearch/connection/http_requests.py,L0,M0,typed,0.9444444444444445
elasticsearch/connection/__init__.py,L0,M0,untyped,null
elasticsearch/connection/http_urllib3.py,L0,M0,typed,0.8275862068965517
elasticsearch/_async/compat.py,L0,M0,typed,1.0
elasticsearch/_async/transport.py,L0,M0,typed,0.9111111111111112
elasticsearch/connection_pool.py,L0,M0,typed,0.7826086956521741
elasticsearch/transport.py,L0,M0,typed,0.9285714285714286
elasticsearch/_async/_extra_imports.py,L0,M0,untyped,null
elasticsearch/_async/http_aiohttp.py,L0,M0,typed,0.9166666666666667
elasticsearch/_async/__init__.py,L0,M0,untyped,null
elasticsearch/__init__.py,L0,M0,typed,1.0
elasticsearch/client/monitoring.py,L0,M0,typed,0.8888888888888888
elasticsearch/client/dangling_indices.py,L0,M0,typed,0.8936170212765958
elasticsearch/client/security.py,L0,M0,typed,0.8656957928802589
elasticsearch/client/nodes.py,L0,M0,typed,0.9468085106382979
elasticsearch/client/rollup.py,L0,M0,typed,0.8518518518518519
elasticsearch/client/ingest.py,L0,M0,typed,0.8901098901098902
elasticsearch/client/ml.py,L0,M0,typed,0.8753363228699552
elasticsearch/client/features.py,L0,M0,typed,0.925925925925926
elasticsearch/client/watcher.py,L0,M0,typed,0.8944099378881988
elasticsearch/client/graph.py,L0,M0,typed,0.8823529411764706
elasticsearch/client/enrich.py,L0,M0,typed,0.8732394366197183
elasticsearch/client/ssl.py,L0,M0,typed,0.9230769230769231
elasticsearch/client/xpack.py,L0,M0,typed,0.9032258064516129
elasticsearch/client/fleet.py,L0,M0,typed,0.8888888888888888
elasticsearch/client/async_search.py,L0,M0,typed,0.9306930693069307
elasticsearch/client/shutdown.py,L0,M0,typed,0.8604651162790697
elasticsearch/client/cat.py,L0,M0,typed,0.9510763209393347
elasticsearch/client/ccr.py,L0,M0,typed,0.8548387096774194
elasticsearch/client/transform.py,L0,M0,typed,0.8692307692307693
elasticsearch/client/logstash.py,L0,M0,typed,0.8372093023255814
elasticsearch/client/text_structure.py,L0,M0,typed,0.925925925925926
elasticsearch/client/ilm.py,L0,M0,typed,0.8910256410256411
elasticsearch/client/sql.py,L0,M0,typed,0.8571428571428572
elasticsearch/client/cluster.py,L0,M0,typed,0.9263565891472869
elasticsearch/client/eql.py,L0,M0,typed,0.8548387096774194
elasticsearch/client/slm.py,L0,M0,typed,0.9016393442622951
elasticsearch/client/searchable_snapshots.py,L0,M0,typed,0.8923076923076922
elasticsearch/client/license.py,L0,M0,typed,0.9285714285714286
elasticsearch/client/snapshot.py,L0,M0,typed,0.8598130841121496
elasticsearch/client/tasks.py,L0,M0,typed,0.925925925925926
elasticsearch/client/autoscaling.py,L0,M0,typed,0.8571428571428572
elasticsearch/client/indices.py,L0,M0,typed,0.9046121593291405
elasticsearch/client/migration.py,L0,M0,typed,0.9285714285714286
elasticsearch/client/__init__.py,L0,M0,typed,0.917098445595855
elasticsearch/_async/client/cluster.py,L0,M0,untyped,null
elasticsearch/_async/client/license.py,L0,M0,untyped,null
elasticsearch/_async/client/rollup.py,L0,M0,untyped,null
