NodeID,Nodename,degree_centrality
0,python/grpcio_tests/tests/unit/_cython/_no_messages_single_server_completion_queue_test.py,0.6447
1,python/grpcio_testing/grpc_testing/_server/_rpc.py,0.3322
2,python/grpcio_tests/tests/unit/_cython/_read_some_but_not_all_responses_test.py,0.2599
3,python/grpcio_testing/grpc_testing/_server/_service.py,0.1875
4,python/grpcio/grpc/beta/implementations.py,0.1645
5,python/grpcio_tests/tests_aio/interop/methods.py,0.1645
6,python/grpcio_tests/tests/unit/beta/_connectivity_channel_test.py,0.1513
7,python/grpcio_channelz/setup.py,0.148
8,python/grpcio_tests/tests/interop/service.py,0.1316
9,python/grpcio_tests/tests/unit/_cython/cygrpc_test.py,0.1151
10,python/grpcio_tests/tests/protoc_plugin/protos/__init__.py,0.1053
11,python/grpcio_tests/tests_aio/unit/client_unary_unary_interceptor_test.py,0.1053
12,python/grpcio_tests/tests/http2/negative_http2_client.py,0.0954
13,python/grpcio/grpc/framework/interfaces/base/utilities.py,0.0822
14,python/grpcio_tests/tests/interop/_intraop_test_case.py,0.0822
15,python/grpcio_reflection/grpc_reflection/v1alpha/__init__.py,0.0757
16,python/grpcio_tests/tests/health_check/_health_servicer_test.py,0.0691
17,python/grpcio_health_checking/health_commands.py,0.0691
18,python/grpcio_tests/grpc_version.py,0.0691
19,python/grpcio_tests/tests/unit/_local_credentials_test.py,0.0625
20,python/grpcio_tests/tests/unit/_resource_exhausted_test.py,0.0592
21,python/grpcio_tests/tests_aio/health_check/__init__.py,0.0559
22,python/grpcio_tests/tests_aio/unit/timeout_test.py,0.0559
23,python/grpcio_tests/tests/unit/_cython/__init__.py,0.0493
24,python/grpcio/grpc/aio/_base_call.py,0.0493
25,python/grpcio/_spawn_patch.py,0.0493
26,python/grpcio_tests/tests/unit/_grpc_shutdown_test.py,0.0493
27,python/grpcio_testing/grpc_testing/_channel/_rpc_state.py,0.0493
28,python/grpcio_reflection/grpc_reflection/v1alpha/_base.py,0.0493
29,python/grpcio/grpc/_plugin_wrapping.py,0.0493
30,python/grpcio_tests/tests_aio/benchmark/benchmark_client.py,0.0461
31,python/grpcio_tests/tests_aio/unit/channel_argument_test.py,0.0461
32,python/grpcio_tests/tests/testing/_server_application.py,0.0461
33,python/grpcio/grpc/_utilities.py,0.0461
34,python/grpcio/grpc/framework/interfaces/__init__.py,0.0461
35,python/grpcio_tests/tests_aio/channelz/__init__.py,0.0461
36,python/grpcio_tests/tests/unit/_session_cache_test.py,0.0428
37,python/grpcio_tests/tests_aio/unit/wait_for_connection_test.py,0.0428
38,python/grpcio_tests/tests/unit/framework/common/test_control.py,0.0428
39,python/grpcio/grpc/_runtime_protos.py,0.0428
40,python/grpcio_tests/tests/reflection/_reflection_servicer_test.py,0.0428
41,python/grpcio_tests/tests_aio/interop/client.py,0.0428
42,python/grpcio_tests/tests_aio/unit/call_test.py,0.0428
43,python/grpcio_tests/tests/unit/_compression_test.py,0.0395
44,python/grpcio/grpc/_server.py,0.0395
45,python/grpcio_tests/tests_aio/unit/channel_ready_test.py,0.0395
46,python/grpcio_tests/tests/fork/_fork_interop_test.py,0.0395
47,python/grpcio_tests/tests/testing/proto/__init__.py,0.0395
48,python/grpcio_tests/tests/stress/unary_stream_benchmark.py,0.0395
49,python/grpcio/grpc/aio/_utils.py,0.0395
50,python/grpcio_tests/tests_py3_only/__init__.py,0.0395
51,python/grpcio_tests/tests/unit/framework/common/test_coverage.py,0.0395
52,python/grpcio_tests/tests_aio/unit/close_channel_test.py,0.0395
53,python/grpcio_tests/tests/unit/__init__.py,0.0395
54,python/grpcio/grpc/framework/interfaces/face/utilities.py,0.0395
55,python/grpcio_tests/tests/unit/resources.py,0.0395
56,python/grpcio_tests/tests/testing/_client_application.py,0.0362
57,python/grpcio_tests/tests_aio/_sanity/_sanity_test.py,0.0362
58,python/grpcio_tests/tests/protoc_plugin/protos/requests/__init__.py,0.0362
59,python/grpcio_tests/tests/unit/beta/_utilities_test.py,0.0362
60,python/grpcio/grpc/framework/interfaces/face/face.py,0.0362
61,python/grpcio/grpc/__init__.py,0.0362
62,python/grpcio_status/status_commands.py,0.0362
63,python/grpcio/grpc/beta/_server_adaptations.py,0.0362
64,python/grpcio_tests/tests/fork/methods.py,0.0362
65,python/grpcio/grpc/beta/_client_adaptations.py,0.0362
66,python/grpcio_tests/tests/bazel_namespace_package_hack.py,0.0362
67,python/grpcio_testing/grpc_testing/_server/_handler.py,0.0362
68,python/grpcio_tests/tests/qps/benchmark_client.py,0.0329
69,python/grpcio_tests/tests/unit/_rpc_part_1_test.py,0.0329
70,python/grpcio/grpc/aio/_server.py,0.0329
71,python/grpcio_testing/grpc_version.py,0.0329
72,python/grpcio_testing/grpc_testing/__init__.py,0.0329
73,python/grpcio_testing/grpc_testing/_channel/_channel.py,0.0329
74,python/grpcio_tests/tests/unit/framework/common/__init__.py,0.0329
75,python/grpcio_health_checking/grpc_health/v1/__init__.py,0.0329
76,python/grpcio_tests/tests_aio/unit/connectivity_test.py,0.0329
77,python/grpcio_tests/tests_aio/unit/client_unary_stream_interceptor_test.py,0.0296
78,python/grpcio_status/grpc_status/_async.py,0.0296
79,python/grpcio_tests/tests/unit/_tcp_proxy.py,0.0296
80,python/grpcio_tests/tests/unit/_rpc_part_2_test.py,0.0296
81,python/grpcio_tests/tests/unit/_cython/_no_messages_server_completion_queue_per_call_test.py,0.0296
82,python/grpcio_health_checking/grpc_health/__init__.py,0.0296
83,python/grpcio/grpc/framework/common/__init__.py,0.0296
84,python/grpcio_testing/grpc_testing/_channel/_channel_state.py,0.0296
85,python/grpcio_tests/tests_py3_only/unit/_leak_test.py,0.0296
86,python/grpcio_testing/testing_commands.py,0.0296
87,python/grpcio_tests/tests/qps/histogram.py,0.0296
88,python/grpcio_tests/tests/protoc_plugin/_python_plugin_test.py,0.0296
89,python/grpcio_tests/tests_aio/unit/secure_call_test.py,0.0296
90,python/grpcio_tests/tests/unit/beta/_beta_features_test.py,0.0296
91,python/grpcio_testing/grpc_testing/_channel/_invocation.py,0.0263
92,python/grpcio_tests/commands.py,0.0263
93,python/grpcio_tests/tests_aio/unit/_constants.py,0.0263
94,python/grpcio_tests/tests/interop/server.py,0.0263
95,python/grpcio_tests/tests_aio/unit/client_stream_stream_interceptor_test.py,0.0263
96,python/grpcio_testing/grpc_testing/_time.py,0.0263
97,python/grpcio_tests/tests/channelz/_channelz_servicer_test.py,0.0263
98,python/grpcio/grpc/experimental/__init__.py,0.0263
99,python/grpcio_tests/tests/unit/_invocation_defects_test.py,0.0263
100,python/grpcio_tests/tests_aio/interop/__init__.py,0.0263
101,python/grpcio_tests/tests/unit/_dynamic_stubs_test.py,0.0263
102,python/grpcio_testing/grpc_testing/_server/_servicer_context.py,0.0263
103,python/grpcio_tests/tests/protoc_plugin/beta_python_plugin_test.py,0.0263
104,python/grpcio_tests/tests/unit/_empty_message_test.py,0.0263
105,python/grpcio/grpc/aio/_typing.py,0.0263
106,python/grpcio_tests/tests/unit/framework/foundation/__init__.py,0.0263
107,python/grpcio_testing/grpc_testing/_channel/_multi_callable.py,0.0263
108,python/grpcio_tests/tests_aio/benchmark/worker_servicer.py,0.0263
109,python/grpcio_health_checking/grpc_health/v1/health.py,0.0263
110,python/grpcio_tests/setup.py,0.0263
111,python/grpcio_tests/tests/protoc_plugin/protos/invocation_testing/__init__.py,0.0263
112,python/grpcio_tests/tests/qps/benchmark_server.py,0.0263
113,python/grpcio/grpc/_interceptor.py,0.0263
114,python/grpcio_tests/tests/unit/framework/__init__.py,0.023
115,python/grpcio_tests/tests/unit/_error_message_encoding_test.py,0.023
116,python/grpcio_status/grpc_status/_common.py,0.023
117,python/grpcio/grpc/framework/foundation/future.py,0.023
118,python/grpcio_tests/tests/unit/_signal_client.py,0.023
119,python/grpcio/grpc/experimental/aio/__init__.py,0.023
120,python/grpcio_tests/tests/unit/_credentials_test.py,0.023
121,python/grpcio_tests/tests/interop/methods.py,0.023
122,python/grpcio_tests/tests/unit/_metadata_code_details_test.py,0.023
123,python/grpcio/grpc/framework/foundation/callable_util.py,0.023
124,python/grpcio_tests/tests/protoc_plugin/__init__.py,0.023
125,python/grpcio_tests/tests/unit/_channel_ready_future_test.py,0.023
126,python/grpcio_tests/tests/unit/_cython/_server_test.py,0.023
127,python/grpcio/grpc/aio/__init__.py,0.023
128,python/grpcio_health_checking/setup.py,0.023
129,python/grpcio/grpc_core_dependencies.py,0.023
130,python/grpcio/grpc/framework/interfaces/base/base.py,0.023
131,python/grpcio_tests/tests/unit/_cython/test_utilities.py,0.023
132,python/grpcio_tests/tests/unit/_server_ssl_cert_config_test.py,0.023
133,python/grpcio_tests/tests/unit/beta/_not_found_test.py,0.023
134,python/grpcio_tests/tests/unit/_rpc_test_helpers.py,0.023
135,python/grpcio_tests/tests/qps/__init__.py,0.023
136,python/grpcio_status/grpc_status/__init__.py,0.023
137,python/grpcio_tests/tests/_sanity/_sanity_test.py,0.023
138,python/grpcio_tests/tests_aio/unit/abort_test.py,0.023
139,python/grpcio_tests/tests_aio/unit/_metadata_test.py,0.023
140,python/grpcio/grpc/_cython/_cygrpc/__init__.py,0.023
