file,Layer,Module,typed/untyped,notAnyRate
python/grpcio/grpc/_cython/__init__.py,L0,M0,untyped,null
python/grpcio/grpc/_compression.py,L0,M0,untyped,null
python/grpcio/grpc/_common.py,L0,M0,untyped,null
python/grpcio_tests/tests_py3_only/interop/xds_interop_client.py,L0,M0,typed,1.0
python/grpcio_tests/tests/interop/service.py,L0,M0,untyped,null
python/grpcio/grpc/beta/interfaces.py,L0,M0,untyped,null
python/grpcio/grpc/_interceptor.py,L0,M0,untyped,null
python/grpcio/grpc/_server.py,L0,M0,untyped,null
python/grpcio/grpc/_grpcio_metadata.py,L0,M0,untyped,null
python/grpcio/grpc/_simple_stubs.py,L0,M0,typed,1.0
python/grpcio/grpc/experimental/__init__.py,L0,M0,untyped,null
python/grpcio/grpc/_channel.py,L0,M0,untyped,null
python/grpcio/grpc/framework/foundation/abandonment.py,L0,M0,untyped,null
python/grpcio/grpc/framework/foundation/__init__.py,L0,M0,untyped,null
python/grpcio/grpc/framework/__init__.py,L0,M0,untyped,null
python/grpcio/grpc/framework/interfaces/base/base.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_common.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/_rpc_state.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/_channel_rpc.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_time.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/__init__.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_server/__init__.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/__init__.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/_channel.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/_channel_state.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/_invocation.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_channel/_multi_callable.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_server/_rpc.py,L0,M0,untyped,null
python/grpcio/grpc/aio/_utils.py,L0,M0,typed,1.0
python/grpcio/grpc/aio/_metadata.py,L0,M0,typed,0.9310344827586207
python/grpcio/grpc/aio/_typing.py,L0,M0,untyped,null
python/grpcio/grpc/aio/_base_call.py,L0,M0,typed,1.0
python/grpcio/grpc/aio/_call.py,L0,M0,typed,1.0
python/grpcio/grpc/aio/_interceptor.py,L0,M0,typed,1.0
python/grpcio_testing/grpc_testing/_server/_server_rpc.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_server/_handler.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_server/_service.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_server/_servicer_context.py,L0,M0,untyped,null
python/grpcio_testing/grpc_testing/_server/_server.py,L0,M0,untyped,null
python/grpcio/grpc/aio/_server.py,L0,M0,typed,1.0
python/grpcio/grpc/aio/_base_server.py,L0,M0,typed,1.0
python/grpcio/grpc/aio/_base_channel.py,L0,M0,typed,0.9565217391304348
python/grpcio/grpc/aio/_channel.py,L0,M0,typed,0.9770114942528736
python/grpcio/grpc/aio/__init__.py,L0,M0,untyped,null
python/grpcio/grpc/_runtime_protos.py,L0,M0,untyped,null
python/grpcio/grpc/_auth.py,L0,M0,untyped,null
python/grpcio_reflection/grpc_reflection/__init__.py,L0,M0,untyped,null
python/grpcio_health_checking/grpc_health/__init__.py,L0,M0,untyped,null
python/grpcio/grpc/_utilities.py,L0,M0,untyped,null
python/grpcio/grpc/_plugin_wrapping.py,L0,M0,untyped,null
python/grpcio/grpc/__init__.py,L0,M0,untyped,null
python/grpcio_tests/tests/qps/histogram.py,L0,M1,untyped,null
python/grpcio_tests/tests/qps/__init__.py,L0,M1,untyped,null
python/grpcio/grpc/framework/foundation/logging_pool.py,L0,M2,untyped,null
python/grpcio_tests/tests/unit/__init__.py,L0,M3,untyped,null
python/grpcio_tests/tests/interop/__init__.py,L0,M4,untyped,null
python/grpcio_tests/tests/interop/resources.py,L0,M4,untyped,null
python/grpcio/grpc/framework/foundation/stream.py,L0,M5,untyped,null
python/grpcio_tests/tests_aio/interop/__init__.py,L0,M6,untyped,null
python/grpcio_tests/tests/unit/framework/common/__init__.py,L0,M7,untyped,null
python/grpcio_tests/tests/unit/framework/__init__.py,L0,M7,untyped,null
python/grpcio/grpc/beta/__init__.py,L0,M8,untyped,null
python/grpcio_tests/tests/bazel_namespace_package_hack.py,L0,M9,untyped,null
python/grpcio_tests/tests/unit/thread_pool.py,L0,M10,untyped,null
python/grpcio_tests/tests/unit/resources.py,L0,M11,untyped,null
python/grpcio/grpc/framework/interfaces/__init__.py,L0,M12,untyped,null
python/grpcio_tests/tests_aio/unit/__init__.py,L0,M13,untyped,null
python/grpcio_tests/tests/stress/__init__.py,L0,M14,untyped,null
python/grpcio_tests/tests/_loader.py,L0,M15,untyped,null
python/grpcio_tests/tests/__init__.py,L0,M15,untyped,null
python/grpcio_tests/tests/_result.py,L0,M15,untyped,null
python/grpcio_tests/tests/_runner.py,L0,M15,untyped,null
python/grpcio_tests/tests/unit/framework/common/test_constants.py,L0,M16,untyped,null
python/grpcio_tests/tests/unit/framework/common/test_control.py,L0,M17,untyped,null
python/grpcio/grpc/framework/common/cardinality.py,L1,M0,untyped,null
python/grpcio/grpc/framework/foundation/future.py,L1,M0,untyped,null
python/grpcio/grpc/framework/common/__init__.py,L1,M0,untyped,null
python/grpcio/grpc/framework/common/style.py,L1,M0,untyped,null
python/grpcio/grpc/framework/interfaces/face/face.py,L1,M0,untyped,null
python/grpcio/grpc/beta/_metadata.py,L1,M0,untyped,null
python/grpcio/grpc/framework/interfaces/face/__init__.py,L1,M0,untyped,null
python/grpcio/grpc/beta/_client_adaptations.py,L1,M0,untyped,null
python/grpcio/grpc/beta/_server_adaptations.py,L1,M0,untyped,null
python/grpcio/grpc/beta/implementations.py,L1,M0,untyped,null
python/grpcio_tests/tests/testing/proto/__init__.py,L1,M1,untyped,null
