file,Layer,Module,typed/untyped,notAnyRate
hydra/core/__init__.py,L0,M0,untyped,null
hydra/core/object_type.py,L0,M0,untyped,null
hydra/errors.py,L0,M0,typed,1.0
hydra/core/default_element.py,L0,M0,typed,1.0
hydra/plugins/plugin.py,L0,M0,untyped,null
hydra/plugins/config_source.py,L0,M0,typed,1.0
hydra/plugins/__init__.py,L0,M0,untyped,null
hydra/core/config_search_path.py,L1,M0,typed,1.0
hydra/core/singleton.py,L1,M0,typed,0.18181818181818177
hydra/core/config_store.py,L1,M0,typed,0.7435897435897436
hydra/conf/__init__.py,L1,M0,typed,0.9347826086956522
hydra/core/hydra_config.py,L1,M0,typed,0.7777777777777778
hydra/core/config_loader.py,L1,M0,typed,0.9473684210526316
hydra/_internal/callbacks.py,L1,M0,typed,0.72
hydra/_internal/__init__.py,L1,M0,untyped,null
hydra/_internal/instantiate/_instantiate2.py,L1,M0,typed,0.3076923076923077
hydra/types.py,L1,M0,typed,0.6666666666666667
hydra/_internal/instantiate/__init__.py,L1,M0,untyped,null
hydra/utils.py,L1,M0,typed,1.0
hydra/core/utils.py,L1,M0,typed,0.8695652173913044
hydra/core/global_hydra.py,L1,M0,typed,0.8333333333333334
hydra/main.py,L1,M0,typed,0.75
hydra/initialize.py,L1,M0,typed,0.4864864864864865
hydra/compose.py,L1,M0,typed,1.0
hydra/__init__.py,L1,M0,untyped,null
hydra/plugins/completion_plugin.py,L1,M0,typed,0.9444444444444445
hydra/plugins/search_path_plugin.py,L1,M0,typed,1.0
hydra/_internal/config_search_path_impl.py,L1,M0,typed,1.0
hydra/_internal/utils.py,L1,M0,typed,0.8703703703703705
hydra/_internal/grammar/utils.py,L1,M0,typed,0.6
hydra/_internal/grammar/__init__.py,L1,M0,untyped,null
hydra/core/override_parser/types.py,L1,M0,typed,0.942857142857143
hydra/core/override_parser/__init__.py,L1,M0,untyped,null
hydra/core/override_parser/overrides_visitor.py,L1,M0,typed,0.5735294117647058
hydra/_internal/grammar/functions.py,L1,M0,typed,0.9
hydra/_internal/grammar/grammar_functions.py,L1,M0,typed,0.896551724137931
hydra/core/override_parser/overrides_parser.py,L1,M0,typed,0.9285714285714286
hydra/_internal/sources_registry.py,L1,M0,typed,0.7777777777777778
hydra/_internal/config_repository.py,L1,M0,typed,1.0
hydra/_internal/defaults_list.py,L1,M0,typed,1.0
hydra/_internal/config_loader_impl.py,L1,M0,typed,1.0
hydra/plugins/sweeper.py,L1,M0,typed,0.9090909090909091
hydra/plugins/launcher.py,L1,M0,typed,1.0
hydra/core/plugins.py,L1,M0,typed,0.8780487804878049
hydra/_internal/hydra.py,L1,M0,typed,0.9669421487603306
hydra/test_utils/test_utils.py,L2,M0,typed,0.8476190476190476
hydra/extra/pytest_plugin.py,L3,M0,typed,1.0
hydra/test_utils/__init__.py,L3,M0,untyped,null
hydra/experimental/compose.py,L3,M1,typed,1.0
hydra/experimental/initialize.py,L3,M1,typed,0.5135135135135135
hydra/experimental/__init__.py,L3,M1,untyped,null
hydra/_internal/core_plugins/bash_completion.py,L3,M2,typed,1.0
hydra/_internal/core_plugins/zsh_completion.py,L3,M2,typed,1.0
hydra/test_utils/example_app.py,L3,M3,typed,1.0
hydra/test_utils/completion.py,L3,M3,typed,1.0
hydra/test_utils/a_module.py,L3,M3,typed,1.0
hydra/_internal/core_plugins/fish_completion.py,L3,M4,typed,1.0
hydra/_internal/core_plugins/basic_launcher.py,L3,M5,typed,1.0
hydra/_internal/core_plugins/basic_sweeper.py,L3,M6,typed,0.9565217391304348
hydra/_internal/core_plugins/structured_config_source.py,L3,M7,typed,1.0
hydra/experimental/callback.py,L3,M8,typed,0.6842105263157895
hydra/_internal/core_plugins/file_config_source.py,L3,M9,typed,1.0
hydra/_internal/core_plugins/importlib_resources_config_source.py,L3,M9,typed,0.9411764705882353
hydra/test_utils/config_source_common_tests.py,L3,M10,typed,0.9215686274509804
hydra/test_utils/launcher_common_tests.py,L3,M11,typed,0.9705882352941178
hydra/test_utils/configs/package_tests/__init__.py,Isolated,/,untyped,null
hydra/_internal/core_plugins/__init__.py,Isolated,/,untyped,null
hydra/grammar/__init__.py,Isolated,/,untyped,null
hydra/test_utils/configs/__init__.py,Isolated,/,untyped,null
