measurement,degree_precision,degree_recall
Top 10%,83.33%,9.26%
Top 20%,83.33%,18.52%
Top 30%,77.78%,25.93%
Top 40%,83.33%,37.04%
Top 50%,80.00%,44.44%
Top 60%,83.33%,55.56%
Top 70%,83.33%,64.81%
Top 80%,85.42%,75.93%
Top 90%,85.19%,85.19%
Top 100%,78.26%,100.00%
measurement,degree_precision,degree_recall
Top 10%,83.33%,9.26%
Top 20%,83.33%,18.52%
Top 30%,77.78%,25.93%
Top 40%,83.33%,37.04%
Top 50%,80.00%,44.44%
Top 60%,83.33%,55.56%
Top 70%,83.33%,64.81%
Top 80%,85.42%,75.93%
Top 90%,85.19%,85.19%
Top 100%,78.26%,100.00%
