NodeID,Nodename,degree_centrality
0,playwright/_impl/_page.py,0.6429
1,playwright/_impl/_connection.py,0.5952
2,playwright/sync_api/_generated.py,0.5714
3,playwright/async_api/_generated.py,0.5714
4,playwright/_impl/_browser_context.py,0.4762
5,playwright/_impl/_helper.py,0.4762
6,playwright/_impl/_object_factory.py,0.4286
7,playwright/_impl/_api_types.py,0.4048
8,playwright/_impl/_frame.py,0.4048
9,playwright/_impl/_network.py,0.3571
10,playwright/_impl/_element_handle.py,0.3333
11,playwright/_impl/_browser_type.py,0.3095
12,playwright/_impl/_api_structures.py,0.3095
13,playwright/_impl/_browser.py,0.3095
14,playwright/_impl/_js_handle.py,0.2381
15,playwright/_impl/_file_chooser.py,0.2143
16,playwright/_impl/_artifact.py,0.2143
17,playwright/sync_api/_context_manager.py,0.2143
18,playwright/_impl/_tracing.py,0.1667
19,playwright/async_api/_context_manager.py,0.1667
20,playwright/_impl/_video.py,0.1667
21,playwright/_impl/_console_message.py,0.1667
22,playwright/_impl/__init__.py,0.1667
23,playwright/_impl/_cdp_session.py,0.1667
24,playwright/_impl/_wait_helper.py,0.1667
25,playwright/_impl/_playwright.py,0.1667
26,playwright/_impl/_selectors.py,0.1667
27,playwright/async_api/__init__.py,0.1429
28,playwright/sync_api/__init__.py,0.1429
29,playwright/_impl/_transport.py,0.1429
30,playwright/_impl/_accessibility.py,0.1429
31,playwright/_impl/_download.py,0.1190
32,playwright/_impl/_dialog.py,0.1190
33,playwright/_impl/_input.py,0.1190
34,playwright/_impl/_event_context_manager.py,0.0952
35,playwright/_impl/_stream.py,0.0714
36,playwright/_impl/_driver.py,0.0714
37,playwright/_impl/_impl_to_api_mapping.py,0.0714
38,playwright/_impl/_sync_base.py,0.0476
39,playwright/_impl/_async_base.py,0.0476
40,playwright/__main__.py,0.0476
41,playwright/_impl/_path_utils.py,0.0000
42,playwright/__init__.py,0.0000
