file path,file type,any rate
src\prefect\agent\agent.py,typed,0.029850746268656716
src\prefect\agent\docker\agent.py,typed,0.0
src\prefect\agent\docker\__init__.py,untyped,0
src\prefect\agent\ecs\agent.py,typed,0.0
src\prefect\agent\ecs\__init__.py,untyped,0
src\prefect\agent\fargate\agent.py,typed,0.0
src\prefect\agent\fargate\__init__.py,untyped,0
src\prefect\agent\kubernetes\agent.py,typed,0.04081632653061224
src\prefect\agent\kubernetes\__init__.py,untyped,0
src\prefect\agent\local\agent.py,typed,0.0
src\prefect\agent\local\__init__.py,untyped,0
src\prefect\agent\__init__.py,untyped,0
src\prefect\artifacts.py,typed,0.0
src\prefect\backend\execution.py,typed,0.07692307692307693
src\prefect\backend\flow.py,typed,0.06060606060606061
src\prefect\backend\flow_run.py,typed,0.0
src\prefect\backend\kv_store.py,typed,0.25
src\prefect\backend\task_run.py,typed,0.1875
src\prefect\backend\tenant.py,typed,0.06666666666666667
src\prefect\backend\__init__.py,untyped,0
src\prefect\cli\agent.py,untyped,0
src\prefect\cli\auth.py,typed,0.0
src\prefect\cli\build_register.py,typed,0.0
src\prefect\cli\create.py,untyped,0
src\prefect\cli\delete.py,untyped,0
src\prefect\cli\describe.py,untyped,0
src\prefect\cli\execute.py,untyped,0
src\prefect\cli\get.py,untyped,0
src\prefect\cli\heartbeat.py,untyped,0
src\prefect\cli\kv_store.py,untyped,0
src\prefect\cli\run.py,typed,0.08695652173913043
src\prefect\cli\server.py,typed,0.0
src\prefect\cli\__init__.py,untyped,0
src\prefect\client\client.py,typed,0.0111731843575419
src\prefect\client\secrets.py,typed,0.0
src\prefect\client\__init__.py,untyped,0
src\prefect\configuration.py,typed,0.0
src\prefect\core\edge.py,typed,0.14285714285714285
src\prefect\core\flow.py,typed,0.064
src\prefect\core\parameter.py,typed,0.17647058823529413
src\prefect\core\task.py,typed,0.11510791366906475
src\prefect\core\__init__.py,untyped,0
src\prefect\engine\cache_validators.py,typed,0.0
src\prefect\engine\cloud\flow_runner.py,typed,0.0
src\prefect\engine\cloud\task_runner.py,typed,0.0
src\prefect\engine\cloud\__init__.py,untyped,0
src\prefect\engine\executors\dask.py,typed,0.6666666666666666
src\prefect\engine\executors\local.py,typed,0.6666666666666666
src\prefect\engine\executors\__init__.py,untyped,0
src\prefect\engine\flow_runner.py,typed,0.0
src\prefect\engine\result\base.py,typed,0.30434782608695654
src\prefect\engine\result\__init__.py,untyped,0
src\prefect\engine\results\azure_result.py,typed,0.25
src\prefect\engine\results\constant_result.py,typed,0.4
src\prefect\engine\results\gcs_result.py,typed,0.29411764705882354
src\prefect\engine\results\local_result.py,typed,0.3076923076923077
src\prefect\engine\results\prefect_result.py,typed,0.3076923076923077
src\prefect\engine\results\s3_result.py,typed,0.25
src\prefect\engine\results\secret_result.py,typed,0.375
src\prefect\engine\results\__init__.py,untyped,0
src\prefect\engine\runner.py,typed,0.10526315789473684
src\prefect\engine\serializers.py,typed,0.28888888888888886
src\prefect\engine\signals.py,typed,0.0
src\prefect\engine\state.py,typed,0.13592233009708737
src\prefect\engine\task_runner.py,typed,0.0
src\prefect\engine\__init__.py,typed,0.0
src\prefect\environments\execution\base.py,typed,0.0
src\prefect\environments\execution\dask\cloud_provider.py,typed,0.0625
src\prefect\environments\execution\dask\k8s.py,typed,0.0
src\prefect\environments\execution\dask\__init__.py,untyped,0
src\prefect\environments\execution\fargate\fargate_task.py,typed,0.0
src\prefect\environments\execution\fargate\__init__.py,untyped,0
src\prefect\environments\execution\k8s\job.py,typed,0.043478260869565216
src\prefect\environments\execution\k8s\__init__.py,untyped,0
src\prefect\environments\execution\local.py,typed,0.0
src\prefect\environments\execution\__init__.py,untyped,0
src\prefect\environments\__init__.py,untyped,0
src\prefect\exceptions.py,typed,0.0
src\prefect\executors\base.py,typed,0.5
src\prefect\executors\dask.py,typed,0.26
src\prefect\executors\local.py,typed,0.7142857142857143
src\prefect\executors\__init__.py,untyped,0
src\prefect\hello_world.py,typed,0.0
src\prefect\run_configs\base.py,typed,0.4
src\prefect\run_configs\docker.py,typed,0.0
src\prefect\run_configs\ecs.py,typed,0.0
src\prefect\run_configs\kubernetes.py,typed,0.0
src\prefect\run_configs\local.py,typed,0.0
src\prefect\run_configs\__init__.py,untyped,0
src\prefect\schedules\adjustments.py,typed,0.0
src\prefect\schedules\clocks.py,typed,0.027777777777777776
src\prefect\schedules\filters.py,typed,0.0
src\prefect\schedules\schedules.py,typed,0.0
src\prefect\schedules\__init__.py,untyped,0
src\prefect\serialization\edge.py,untyped,0
src\prefect\serialization\environment.py,typed,0.4
src\prefect\serialization\flow.py,typed,0.06666666666666667
src\prefect\serialization\result.py,typed,0.36363636363636365
src\prefect\serialization\run_config.py,untyped,0
src\prefect\serialization\schedule.py,typed,0.4
src\prefect\serialization\state.py,typed,0.3333333333333333
src\prefect\serialization\storage.py,typed,0.3333333333333333
src\prefect\serialization\task.py,typed,0.36363636363636365
src\prefect\serialization\__init__.py,untyped,0
src\prefect\storage\azure.py,typed,0.09090909090909091
src\prefect\storage\base.py,typed,0.05
src\prefect\storage\bitbucket.py,typed,0.047619047619047616
src\prefect\storage\codecommit.py,typed,0.1
src\prefect\storage\docker.py,typed,0.024390243902439025
src\prefect\storage\gcs.py,typed,0.08333333333333333
src\prefect\storage\git.py,typed,0.05
src\prefect\storage\github.py,typed,0.08333333333333333
src\prefect\storage\gitlab.py,typed,0.08333333333333333
src\prefect\storage\local.py,typed,0.09090909090909091
src\prefect\storage\module.py,typed,0.14285714285714285
src\prefect\storage\s3.py,typed,0.07692307692307693
src\prefect\storage\webhook.py,typed,0.05
src\prefect\storage\_healthcheck.py,typed,0.0
src\prefect\storage\__init__.py,typed,0.0
src\prefect\tasks\airtable\airtable.py,typed,0.125
src\prefect\tasks\airtable\__init__.py,untyped,0
src\prefect\tasks\asana\asana_task.py,typed,0.1
src\prefect\tasks\asana\__init__.py,untyped,0
src\prefect\tasks\aws\batch.py,typed,0.0
src\prefect\tasks\aws\client_waiter.py,typed,0.0
src\prefect\tasks\aws\lambda_function.py,typed,0.0
src\prefect\tasks\aws\s3.py,typed,0.0
src\prefect\tasks\aws\secrets_manager.py,typed,0.0
src\prefect\tasks\aws\step_function.py,typed,0.0
src\prefect\tasks\aws\waiters\__init__.py,untyped,0
src\prefect\tasks\aws\__init__.py,untyped,0
src\prefect\tasks\azure\blobstorage.py,typed,0.0
src\prefect\tasks\azure\cosmosdb.py,typed,0.0
src\prefect\tasks\azure\__init__.py,untyped,0
src\prefect\tasks\azureml\dataset.py,typed,0.0
src\prefect\tasks\azureml\datastore.py,typed,0.0
src\prefect\tasks\azureml\__init__.py,untyped,0
src\prefect\tasks\control_flow\case.py,typed,0.2
src\prefect\tasks\control_flow\conditional.py,typed,0.2631578947368421
src\prefect\tasks\control_flow\filter.py,typed,0.0
src\prefect\tasks\control_flow\__init__.py,untyped,0
src\prefect\tasks\core\collections.py,typed,0.5833333333333334
src\prefect\tasks\core\constants.py,typed,0.75
src\prefect\tasks\core\function.py,typed,0.3333333333333333
src\prefect\tasks\core\operators.py,typed,0.989247311827957
src\prefect\tasks\core\resource_manager.py,typed,0.1702127659574468
src\prefect\tasks\core\__init__.py,untyped,0
src\prefect\tasks\database\sqlite.py,typed,0.2
src\prefect\tasks\database\__init__.py,untyped,0
src\prefect\tasks\databricks\databricks_hook.py,typed,0.0
src\prefect\tasks\databricks\databricks_submitjob.py,typed,0.0
src\prefect\tasks\databricks\__init__.py,untyped,0
src\prefect\tasks\dbt\dbt.py,typed,0.05555555555555555
src\prefect\tasks\dbt\__init__.py,untyped,0
src\prefect\tasks\docker\containers.py,typed,0.0945945945945946
src\prefect\tasks\docker\images.py,typed,0.07894736842105263
src\prefect\tasks\docker\__init__.py,untyped,0
src\prefect\tasks\dremio\dremio.py,typed,0.16666666666666666
src\prefect\tasks\dremio\__init__.py,untyped,0
src\prefect\tasks\dropbox\dropbox.py,typed,0.0
src\prefect\tasks\dropbox\__init__.py,untyped,0
src\prefect\tasks\exasol\exasol.py,typed,0.0
src\prefect\tasks\exasol\__init__.py,untyped,0
src\prefect\tasks\files\compression.py,typed,0.13333333333333333
src\prefect\tasks\files\operations.py,typed,0.1875
src\prefect\tasks\files\__init__.py,untyped,0
src\prefect\tasks\fivetran\fivetran.py,typed,0.0
src\prefect\tasks\fivetran\__init__.py,untyped,0
src\prefect\tasks\gcp\bigquery.py,typed,0.0
src\prefect\tasks\gcp\secretmanager.py,typed,0.0
src\prefect\tasks\gcp\storage.py,typed,0.0
src\prefect\tasks\gcp\__init__.py,untyped,0
src\prefect\tasks\github\comments.py,typed,0.1111111111111111
src\prefect\tasks\github\issues.py,typed,0.09090909090909091
src\prefect\tasks\github\prs.py,typed,0.07692307692307693
src\prefect\tasks\github\repos.py,typed,0.125
src\prefect\tasks\github\__init__.py,untyped,0
src\prefect\tasks\great_expectations\checkpoints.py,typed,0.0
src\prefect\tasks\great_expectations\__init__.py,untyped,0
src\prefect\tasks\gsheets\gsheets.py,typed,0.1111111111111111
src\prefect\tasks\gsheets\__init__.py,untyped,0
