file,Layer,Module,typed/untyped,notAnyRate
src/prefect/tasks/core/collections.py,L0,M0,typed,0.41666666666666663
src/prefect/utilities/collections.py,L0,M0,typed,0.8235294117647058
src/prefect/configuration.py,L0,M0,typed,1.0
src/prefect/utilities/context.py,L0,M0,typed,0.625
src/prefect/utilities/logging.py,L0,M0,typed,0.935483870967742
src/prefect/utilities/configuration.py,L0,M0,typed,1.0
src/prefect/engine/serializers.py,L0,M0,typed,0.7111111111111112
src/prefect/engine/result/__init__.py,L0,M0,untyped,null
src/prefect/engine/result/base.py,L0,M0,typed,0.6956521739130435
src/prefect/utilities/exceptions.py,L0,M0,typed,1.0
src/prefect/exceptions.py,L0,M0,typed,1.0
src/prefect/client/secrets.py,L0,M0,typed,1.0
src/prefect/client/__init__.py,L0,M0,untyped,null
src/prefect/utilities/gcp.py,L0,M0,typed,1.0
src/prefect/utilities/aws.py,L0,M0,typed,0.8333333333333334
src/prefect/utilities/serialization.py,L0,M0,typed,0.46341463414634143
src/prefect/run_configs/base.py,L0,M0,typed,0.6
src/prefect/utilities/filesystems.py,L0,M0,typed,1.0
src/prefect/utilities/importtools.py,L0,M0,typed,0.5
src/prefect/executors/base.py,L0,M0,typed,0.5
src/prefect/executors/local.py,L0,M0,typed,0.2857142857142857
src/prefect/engine/executors/dask.py,L0,M0,typed,0.33333333333333337
src/prefect/executors/__init__.py,L0,M0,untyped,null
src/prefect/executors/dask.py,L0,M0,typed,0.74
src/prefect/engine/signals.py,L0,M0,typed,1.0
src/prefect/serialization/state.py,L0,M0,typed,0.6666666666666667
src/prefect/engine/state.py,L0,M0,typed,0.8640776699029127
src/prefect/engine/cloud/__init__.py,L0,M0,untyped,null
src/prefect/engine/cache_validators.py,L0,M0,typed,1.0
src/prefect/serialization/edge.py,L0,M0,untyped,null
src/prefect/core/edge.py,L0,M0,typed,0.8571428571428572
src/prefect/core/__init__.py,L0,M0,untyped,null
src/prefect/triggers.py,L0,M0,typed,1.0
src/prefect/serialization/task.py,L0,M0,typed,0.6363636363636365
src/prefect/tasks/core/function.py,L0,M0,typed,0.6666666666666667
src/prefect/tasks/core/constants.py,L0,M0,typed,0.25
src/prefect/utilities/tasks.py,L0,M0,typed,0.625
src/prefect/tasks/core/operators.py,L0,M0,typed,0.010752688172043001
src/prefect/tasks/core/__init__.py,L0,M0,untyped,null
src/prefect/utilities/graphql.py,L0,M0,typed,0.736842105263158
src/prefect/engine/runner.py,L0,M0,typed,0.8947368421052632
src/prefect/engine/cloud/flow_runner.py,L0,M0,typed,1.0
src/prefect/engine/__init__.py,L0,M0,typed,1.0
src/prefect/environments/execution/local.py,L0,M0,typed,1.0
src/prefect/environments/__init__.py,L0,M0,untyped,null
src/prefect/utilities/agent.py,L0,M0,typed,1.0
src/prefect/serialization/environment.py,L0,M0,typed,0.6
src/prefect/agent/docker/__init__.py,L0,M0,untyped,null
src/prefect/run_configs/docker.py,L0,M0,typed,1.0
src/prefect/agent/docker/agent.py,L0,M0,typed,1.0
src/prefect/utilities/storage.py,L0,M0,typed,1.0
src/prefect/storage/_healthcheck.py,L0,M0,typed,1.0
src/prefect/storage/base.py,L0,M0,typed,0.95
src/prefect/storage/docker.py,L0,M0,typed,0.975609756097561
src/prefect/engine/results/secret_result.py,L0,M0,typed,0.625
src/prefect/tasks/secrets/base.py,L0,M0,typed,1.0
src/prefect/environments/execution/base.py,L0,M0,typed,1.0
src/prefect/environments/execution/fargate/fargate_task.py,L0,M0,typed,1.0
src/prefect/environments/execution/dask/cloud_provider.py,L0,M0,typed,0.9375
src/prefect/tasks/core/resource_manager.py,L0,M0,typed,0.8297872340425532
src/prefect/run_configs/local.py,L0,M0,typed,1.0
src/prefect/run_configs/kubernetes.py,L0,M0,typed,1.0
src/prefect/run_configs/ecs.py,L0,M0,typed,1.0
src/prefect/run_configs/__init__.py,L0,M0,untyped,null
src/prefect/serialization/schedule.py,L0,M0,typed,0.6
src/prefect/serialization/flow.py,L0,M0,typed,0.9333333333333333
src/prefect/agent/kubernetes/__init__.py,L0,M0,untyped,null
src/prefect/environments/execution/k8s/job.py,L0,M0,typed,0.9565217391304348
src/prefect/serialization/run_config.py,L0,M0,untyped,null
src/prefect/serialization/__init__.py,L0,M0,untyped,null
src/prefect/engine/results/local_result.py,L0,M0,typed,0.6923076923076923
src/prefect/engine/results/constant_result.py,L0,M0,typed,0.6
src/prefect/engine/results/prefect_result.py,L0,M0,typed,0.6923076923076923
src/prefect/engine/results/azure_result.py,L0,M0,typed,0.75
src/prefect/engine/results/gcs_result.py,L0,M0,typed,0.7058823529411765
src/prefect/engine/results/s3_result.py,L0,M0,typed,0.75
src/prefect/engine/results/__init__.py,L0,M0,untyped,null
src/prefect/core/parameter.py,L0,M0,typed,0.8235294117647058
src/prefect/agent/kubernetes/agent.py,L0,M0,typed,0.9591836734693878
src/prefect/environments/execution/dask/k8s.py,L0,M0,typed,1.0
src/prefect/environments/execution/fargate/__init__.py,L0,M0,untyped,null
src/prefect/environments/execution/dask/__init__.py,L0,M0,untyped,null
src/prefect/environments/execution/k8s/__init__.py,L0,M0,untyped,null
src/prefect/environments/execution/__init__.py,L0,M0,untyped,null
src/prefect/tasks/docker/images.py,L0,M0,typed,0.9210526315789473
src/prefect/tasks/docker/containers.py,L0,M0,typed,0.9054054054054054
src/prefect/tasks/docker/__init__.py,L0,M0,untyped,null
src/prefect/utilities/notifications/notifications.py,L0,M0,typed,0.9655172413793104
src/prefect/utilities/notifications/jira_notification.py,L0,M0,typed,1.0
src/prefect/tasks/jira/jira_task.py,L0,M0,typed,0.9375
src/prefect/tasks/jira/jira_service_desk.py,L0,M0,typed,0.9285714285714286
src/prefect/tasks/jira/__init__.py,L0,M0,untyped,null
src/prefect/utilities/notifications/__init__.py,L0,M0,untyped,null
src/prefect/tasks/database/sqlite.py,L0,M0,typed,0.8
src/prefect/tasks/database/__init__.py,L0,M0,untyped,null
src/prefect/tasks/github/issues.py,L0,M0,typed,0.9090909090909091
src/prefect/tasks/github/prs.py,L0,M0,typed,0.9230769230769231
src/prefect/tasks/github/repos.py,L0,M0,typed,0.875
src/prefect/tasks/github/comments.py,L0,M0,typed,0.8888888888888888
src/prefect/tasks/github/__init__.py,L0,M0,untyped,null
src/prefect/tasks/files/operations.py,L0,M0,typed,0.8125
src/prefect/tasks/files/compression.py,L0,M0,typed,0.8666666666666667
src/prefect/tasks/files/__init__.py,L0,M0,untyped,null
src/prefect/tasks/notifications/pushbullet_task.py,L0,M0,typed,0.8
src/prefect/tasks/notifications/slack_task.py,L0,M0,typed,0.8571428571428572
src/prefect/tasks/notifications/email_task.py,L0,M0,typed,0.9583333333333334
src/prefect/tasks/notifications/__init__.py,L0,M0,untyped,null
src/prefect/tasks/prefect/flow_run_rename.py,L0,M0,typed,0.8333333333333334
src/prefect/tasks/shell.py,L0,M0,typed,0.9166666666666667
src/prefect/tasks/prefect/flow_run_cancel.py,L0,M0,typed,0.75
src/prefect/tasks/prefect/__init__.py,L0,M0,untyped,null
src/prefect/tasks/control_flow/filter.py,L0,M0,typed,1.0
src/prefect/tasks/control_flow/case.py,L0,M0,typed,0.8
src/prefect/tasks/control_flow/conditional.py,L0,M0,typed,0.736842105263158
src/prefect/tasks/control_flow/__init__.py,L0,M0,untyped,null
src/prefect/tasks/secrets/env_var.py,L0,M0,typed,1.0
src/prefect/tasks/secrets/__init__.py,L0,M0,untyped,null
src/prefect/tasks/__init__.py,L0,M0,untyped,null
src/prefect/utilities/datetimes.py,L0,M0,typed,0.75
src/prefect/utilities/diagnostics.py,L0,M0,typed,1.0
src/prefect/utilities/backend.py,L0,M0,typed,1.0
src/prefect/utilities/__init__.py,L0,M0,untyped,null
src/prefect/client/client.py,L0,M0,typed,0.9888268156424581
src/prefect/utilities/executors.py,L0,M0,typed,0.8070175438596492
src/prefect/storage/local.py,L0,M0,typed,0.9090909090909091
src/prefect/storage/gitlab.py,L0,M0,typed,0.9166666666666667
src/prefect/storage/github.py,L0,M0,typed,0.9166666666666667
src/prefect/storage/bitbucket.py,L0,M0,typed,0.9523809523809524
src/prefect/storage/s3.py,L0,M0,typed,0.9230769230769231
src/prefect/storage/module.py,L0,M0,typed,0.8571428571428572
src/prefect/storage/gcs.py,L0,M0,typed,0.9166666666666667
src/prefect/storage/azure.py,L0,M0,typed,0.9090909090909091
src/prefect/storage/codecommit.py,L0,M0,typed,0.9
src/prefect/serialization/storage.py,L0,M0,typed,0.6666666666666667
src/prefect/utilities/compatibility.py,L0,M0,typed,1.0
src/prefect/engine/task_runner.py,L0,M0,typed,1.0
src/prefect/utilities/git.py,L0,M0,typed,0.7857142857142858
src/prefect/storage/git.py,L0,M0,typed,0.95
src/prefect/storage/webhook.py,L0,M0,typed,0.95
src/prefect/storage/__init__.py,L0,M0,typed,1.0
src/prefect/agent/agent.py,L0,M0,typed,0.9701492537313433
src/prefect/engine/cloud/task_runner.py,L0,M0,typed,1.0
src/prefect/artifacts.py,L0,M0,typed,1.0
src/prefect/backend/task_run.py,L0,M0,typed,0.8125
src/prefect/backend/flow.py,L0,M0,typed,0.9393939393939394
src/prefect/backend/flow_run.py,L0,M0,typed,1.0
src/prefect/backend/tenant.py,L0,M0,typed,0.9333333333333333
src/prefect/backend/kv_store.py,L0,M0,typed,0.75
src/prefect/backend/__init__.py,L0,M0,untyped,null
src/prefect/tasks/prefect/flow_run.py,L0,M0,typed,0.9473684210526316
src/prefect/engine/flow_runner.py,L0,M0,typed,1.0
src/prefect/serialization/result.py,L0,M0,typed,0.6363636363636365
src/prefect/utilities/edges.py,L0,M0,untyped,null
src/prefect/core/task.py,L0,M0,typed,0.8848920863309353
src/prefect/utilities/plugins.py,L0,M0,typed,0.8181818181818182
src/prefect/schedules/filters.py,L0,M0,typed,1.0
src/prefect/schedules/adjustments.py,L0,M0,typed,1.0
src/prefect/schedules/clocks.py,L0,M0,typed,0.9722222222222223
src/prefect/schedules/schedules.py,L0,M0,typed,1.0
src/prefect/schedules/__init__.py,L0,M0,untyped,null
src/prefect/_siginfo.py,L0,M0,untyped,null
src/prefect/_version.py,L0,M0,untyped,null
src/prefect/agent/local/__init__.py,L0,M0,untyped,null
src/prefect/agent/local/agent.py,L0,M0,typed,1.0
src/prefect/agent/fargate/agent.py,L0,M0,typed,1.0
src/prefect/agent/fargate/__init__.py,L0,M0,untyped,null
src/prefect/agent/ecs/__init__.py,L0,M0,untyped,null
src/prefect/agent/ecs/agent.py,L0,M0,typed,1.0
src/prefect/agent/__init__.py,L0,M0,untyped,null
src/prefect/engine/executors/local.py,L0,M0,typed,0.33333333333333337
