file,Layer,Module
pydantic/typing.py,L0,M0
pydantic/errors.py,L0,M0
pydantic/version.py,L0,M0
pydantic/utils.py,L0,M0
pydantic/datetime_parse.py,L0,M0
pydantic/dataclasses.py,L0,M0
pydantic/types.py,L0,M0
pydantic/annotated_types.py,L0,M0
pydantic/color.py,L0,M0
pydantic/networks.py,L0,M0
pydantic/json.py,L0,M0
pydantic/error_wrappers.py,L0,M0
pydantic/class_validators.py,L0,M0
pydantic/validators.py,L0,M0
pydantic/schema.py,L0,M0
pydantic/parse.py,L0,M0
pydantic/fields.py,L0,M0
pydantic/main.py,L0,M0
pydantic/decorator.py,L1,M0
pydantic/env_settings.py,L1,M0
pydantic/tools.py,L1,M0
pydantic/__init__.py,L1,M0
pydantic/generics.py,L1,M1
pydantic/_hypothesis_plugin.py,L1,M2
pydantic/mypy.py,L1,M3
