file,Layer,Module,typed/untyped,notAnyRate
pydantic/typing.py,L0,M0,typed,0.7246376811594203
pydantic/errors.py,L0,M0,typed,0.9787234042553192
pydantic/version.py,L0,M0,typed,1.0
pydantic/utils.py,L0,M0,typed,0.7981651376146789
pydantic/datetime_parse.py,L0,M0,typed,1.0
pydantic/dataclasses.py,L0,M0,typed,0.8860759493670887
pydantic/types.py,L0,M0,typed,0.9607843137254902
pydantic/annotated_types.py,L0,M0,typed,0.8461538461538463
pydantic/color.py,L0,M0,typed,0.96
pydantic/networks.py,L0,M0,typed,0.9647058823529412
pydantic/json.py,L0,M0,typed,0.6666666666666667
pydantic/error_wrappers.py,L0,M0,typed,1.0
pydantic/class_validators.py,L0,M0,typed,1.0
pydantic/validators.py,L0,M0,typed,0.6985294117647058
pydantic/schema.py,L0,M0,typed,0.9473684210526316
pydantic/parse.py,L0,M0,typed,0.8571428571428572
pydantic/fields.py,L0,M0,typed,0.8120805369127517
pydantic/main.py,L0,M0,typed,0.8914285714285715
pydantic/decorator.py,L1,M0,typed,0.7727272727272728
pydantic/env_settings.py,L1,M0,typed,0.9767441860465117
pydantic/tools.py,L1,M0,typed,0.8518518518518519
pydantic/__init__.py,L1,M0,untyped,null
pydantic/generics.py,L1,M1,typed,0.88
pydantic/_hypothesis_plugin.py,L1,M2,typed,1.0
pydantic/mypy.py,L1,M3,typed,0.9915254237288136
