NodeID,Nodename,degree_centrality
0,pydantic/main.py,1.1667
1,pydantic/typing.py,1.0000
2,pydantic/fields.py,0.9167
3,pydantic/utils.py,0.8333
4,pydantic/types.py,0.7917
5,pydantic/dataclasses.py,0.7083
6,pydantic/__init__.py,0.5833
7,pydantic/class_validators.py,0.5417
8,pydantic/json.py,0.5000
9,pydantic/errors.py,0.5000
10,pydantic/validators.py,0.5000
11,pydantic/error_wrappers.py,0.4583
12,pydantic/schema.py,0.4167
13,pydantic/networks.py,0.3750
14,pydantic/decorator.py,0.2500
15,pydantic/tools.py,0.2500
16,pydantic/parse.py,0.2500
17,pydantic/env_settings.py,0.2500
18,pydantic/color.py,0.2083
19,pydantic/generics.py,0.2083
20,pydantic/annotated_types.py,0.2083
21,pydantic/_hypothesis_plugin.py,0.1667
22,pydantic/datetime_parse.py,0.1667
23,pydantic/version.py,0.1250
24,pydantic/mypy.py,0.0417
