file,Layer,Module,typed/untyped,notAnyRate
pynamodb/exceptions.py,L0,M0,typed,0.9375
pynamodb/expressions/util.py,L0,M0,typed,0.875
pynamodb/constants.py,L0,M0,untyped,null
pynamodb/expressions/update.py,L0,M0,typed,1.0
pynamodb/expressions/condition.py,L0,M0,typed,1.0
pynamodb/expressions/operand.py,L0,M0,typed,0.7361111111111112
pynamodb/expressions/__init__.py,L0,M0,untyped,null
pynamodb/_compat.py,L0,M0,untyped,null
pynamodb/attributes.py,L0,M0,typed,0.7610062893081762
pynamodb/types.py,L0,M0,untyped,null
pynamodb/settings.py,L0,M0,typed,0.8
pynamodb/signals.py,L1,M0,untyped,null
pynamodb/connection/table.py,L1,M0,typed,1.0
pynamodb/expressions/projection.py,L1,M0,typed,1.0
pynamodb/connection/base.py,L1,M0,typed,0.9863636363636364
pynamodb/connection/__init__.py,L1,M0,untyped,null
pynamodb/transactions.py,L1,M0,typed,0.9285714285714286
pynamodb/pagination.py,L1,M1,typed,0.9230769230769231
pynamodb/indexes.py,L1,M1,typed,0.9142857142857143
pynamodb/models.py,Control,models.py,typed,0.9631901840490797
pynamodb/__init__.py,Isolated,/,untyped,null
