NodeID,Nodename,degree_centrality
0,pynamodb/models.py,0.7000
1,pynamodb/connection/base.py,0.6500
2,pynamodb/attributes.py,0.5500
3,pynamodb/expressions/operand.py,0.5000
4,pynamodb/indexes.py,0.4500
5,pynamodb/constants.py,0.4500
6,pynamodb/connection/table.py,0.4000
7,pynamodb/expressions/update.py,0.4000
8,pynamodb/expressions/condition.py,0.4000
9,pynamodb/transactions.py,0.3500
10,pynamodb/expressions/__init__.py,0.3000
11,pynamodb/connection/__init__.py,0.2000
12,pynamodb/pagination.py,0.2000
13,pynamodb/settings.py,0.2000
14,pynamodb/expressions/projection.py,0.2000
15,pynamodb/types.py,0.1500
16,pynamodb/exceptions.py,0.1500
17,pynamodb/_compat.py,0.1000
18,pynamodb/expressions/util.py,0.1000
19,pynamodb/signals.py,0.0500
20,pynamodb/__init__.py,0.0000
