file,Layer,Module,typed/untyped,notAnyRate
pyproj/utils.py,L0,M0,typed,0.5454545454545455
pyproj/aoi.py,L0,M0,typed,1.0
pyproj/exceptions.py,L0,M0,typed,1.0
pyproj/enums.py,L1,M0,untyped,null
pyproj/compat.py,L1,M0,untyped,null
pyproj/crs/__init__.py,L1,M0,untyped,null
pyproj/proj.py,L1,M0,typed,0.7222222222222222
pyproj/crs/datum.py,L1,M0,typed,0.8
pyproj/crs/coordinate_operation.py,L1,M0,typed,0.9904761904761905
pyproj/crs/_cf1x8.py,L1,M0,untyped,null
pyproj/crs/enums.py,L1,M0,untyped,null
pyproj/crs/coordinate_system.py,L1,M0,typed,1.0
pyproj/geod.py,L1,M0,typed,0.6716417910447761
pyproj/_show_versions.py,L1,M0,untyped,null
pyproj/crs/crs.py,L1,M0,typed,0.8205128205128205
pyproj/network.py,L1,M1,typed,1.0
pyproj/datadir.py,L1,M2,typed,1.0
pyproj/sync.py,L1,M2,typed,1.0
pyproj/__main__.py,L1,M2,untyped,null
pyproj/__init__.py,Control,M2,untyped,null
pyproj/transformer.py,Control,M3,typed,0.808695652173913
