NodeID,Nodename,degree_centrality
0,pyproj/transformer.py,0.6000
1,pyproj/crs/crs.py,0.5500
2,pyproj/__init__.py,0.5000
3,pyproj/exceptions.py,0.4500
4,pyproj/proj.py,0.4500
5,pyproj/_show_versions.py,0.3000
6,pyproj/geod.py,0.3000
7,pyproj/crs/__init__.py,0.2500
8,pyproj/enums.py,0.2500
9,pyproj/aoi.py,0.2500
10,pyproj/utils.py,0.2000
11,pyproj/datadir.py,0.2000
12,pyproj/crs/_cf1x8.py,0.2000
13,pyproj/__main__.py,0.2000
14,pyproj/crs/coordinate_operation.py,0.2000
15,pyproj/sync.py,0.2000
16,pyproj/compat.py,0.1000
17,pyproj/crs/enums.py,0.1000
18,pyproj/crs/coordinate_system.py,0.1000
19,pyproj/network.py,0.0500
20,pyproj/crs/datum.py,0.0500
