id,label
0,doc\en\example\nonpython\__init__.py
1,testing\test_link_resolve.py
2,doc\en\announce\release-5.0.0.rst
3,testing\example_scripts\config\collect_pytest_prefix\__init__.pyi
4,.github\ISSUE_TEMPLATE\2_feature_request.md
5,testing\example_scripts\marks\marks_considered_keywords\conftest.py
6,doc\en\announce\release-6.0.2.rst
7,changelog\8061.bugfix.rst
8,src\_pytest\deprecated.py
9,testing\example_scripts\fixtures\fill_fixtures\test_funcarg_lookupfails.py
10,doc\en\reference\fixtures.rst
11,testing\example_scripts\README.rst
12,doc\en\recwarn.rst
13,testing\test_parseopt.py
14,extra\setup-py.test\setup.py
15,bench\bench_argcomplete.py
16,src\_pytest\hookspec.py
17,doc\en\announce\release-3.0.0.rst
18,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_module_class.py
19,mc\history-py.csv
20,src\_pytest\pastebin.py
21,src\_pytest\reports.py
22,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub1\conftest.py
23,mc\history-notest.csv
24,.git\refs\remotes\origin\HEAD
25,doc\en\announce\release-3.5.1.rst
26,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_conftest\pkg\conftest.py
27,doc\en\announce\release-2.0.2.rst
28,doc\en\example\fixtures\fixture_availability_plugins.svg
29,doc\en\changelog.rst
30,changelog\8897.doc.rst
31,src\_pytest\config\findpaths.py
32,doc\en\how-to\capture-warnings.rst
33,doc\en\example\parametrize.rst
34,src\_pytest\_io\saferepr.py
35,changelog\README.rst
36,doc\en\example\fixtures\test_fixtures_order_autouse.svg
37,CITATION
38,doc\en\img\pullrequest.png
39,testing\example_scripts\marks\marks_considered_keywords\__init__.pyi
40,doc\en\explanation\goodpractices.rst
41,doc\en\how-to\writing_plugins.rst
42,doc\en\announce\release-3.10.0.rst
43,doc\en\announce\release-3.7.4.rst
44,testing\test_argcomplete.py
45,changelog\8315.deprecation.rst
46,changelog\7469.deprecation.rst
47,testing\example_scripts\unittest\test_setup_skip_module.py
48,doc\en\example\fixtures\test_fixtures_order_dependencies_unclear.svg
49,src\_pytest\python.py
50,testing\test_pathlib.py
51,.git\config
52,testing\plugins_integration\README.rst
53,doc\en\announce\release-6.2.0.rst
54,doc\en\announce\release-5.3.0.rst
55,src\_pytest\_io\__init__.py
56,testing\test_warnings.py
57,testing\example_scripts\tmpdir\tmp_path_fixture.py
58,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub2\conftest.py
59,doc\en\_templates\slim_searchbox.html
60,doc\en\announce\release-2.1.1.rst
61,src\_pytest\unittest.py
62,doc\en\announce\release-4.3.1.rst
63,.gitblameignore
64,doc\en\announce\release-3.2.0.rst
65,doc\en\announce\release-4.6.1.rst
66,doc\en\example\assertion\failure_demo.py
67,doc\en\how-to\plugins.rst
68,.gitignore
69,testing\test_faulthandler.py
70,doc\en\how-to\cache.rst
71,doc\en\img\cramer2.png
72,src\_pytest\assertion\rewrite.py
73,src\_pytest\mark\expression.py
74,testing\test_compat.py
75,src\_pytest\debugging.py
76,testing\example_scripts\collect\package_infinite_recursion\tests\__init__.py
77,bench\manyparam.py
78,doc\en\img\freiburg2.jpg
