file path,file type,any rate
src\pytest\collect.py,typed,0.25
src\pytest\__init__.py,untyped,0
src\pytest\__main__.py,untyped,0
src\_pytest\assertion\rewrite.py,typed,0.0
src\_pytest\assertion\truncate.py,typed,0.0
src\_pytest\assertion\util.py,typed,0.22857142857142856
src\_pytest\assertion\__init__.py,typed,0.06666666666666667
src\_pytest\cacheprovider.py,typed,0.0
src\_pytest\capture.py,typed,0.0
src\_pytest\compat.py,typed,0.06976744186046512
src\_pytest\config\argparsing.py,typed,0.07058823529411765
src\_pytest\config\compat.py,typed,0.0
src\_pytest\config\exceptions.py,untyped,0
src\_pytest\config\findpaths.py,typed,0.0
src\_pytest\config\__init__.py,typed,0.0
src\_pytest\debugging.py,typed,0.0
src\_pytest\deprecated.py,typed,0.0
src\_pytest\doctest.py,typed,0.010869565217391304
src\_pytest\faulthandler.py,typed,0.0
src\_pytest\fixtures.py,typed,0.008264462809917356
src\_pytest\freeze_support.py,typed,0.0
src\_pytest\helpconfig.py,typed,0.0
src\_pytest\hookspec.py,typed,0.0
src\_pytest\junitxml.py,typed,0.0
src\_pytest\logging.py,typed,0.0
src\_pytest\main.py,typed,0.0
src\_pytest\mark\expression.py,typed,0.0
src\_pytest\mark\structures.py,typed,0.017543859649122806
src\_pytest\mark\__init__.py,typed,0.0
src\_pytest\monkeypatch.py,typed,0.0
src\_pytest\nodes.py,typed,0.0
src\_pytest\nose.py,typed,0.0
src\_pytest\outcomes.py,typed,0.030303030303030304
src\_pytest\pastebin.py,typed,0.0
src\_pytest\pathlib.py,typed,0.0
src\_pytest\pytester.py,typed,0.010169491525423728
src\_pytest\pytester_assertions.py,typed,0.0
src\_pytest\python.py,typed,0.0
src\_pytest\python_api.py,typed,0.1095890410958904
src\_pytest\recwarn.py,typed,0.16666666666666666
src\_pytest\reports.py,typed,0.02531645569620253
src\_pytest\runner.py,typed,0.0
src\_pytest\setuponly.py,typed,0.0
src\_pytest\setupplan.py,typed,0.0
src\_pytest\skipping.py,typed,0.0
src\_pytest\stepwise.py,typed,0.0
src\_pytest\store.py,typed,0.0
src\_pytest\terminal.py,typed,0.0
src\_pytest\threadexception.py,typed,0.0
src\_pytest\timing.py,untyped,0
src\_pytest\tmpdir.py,typed,0.0
src\_pytest\unittest.py,typed,0.017543859649122806
src\_pytest\unraisableexception.py,typed,0.0
src\_pytest\warnings.py,typed,0.0
src\_pytest\warning_types.py,typed,0.25
src\_pytest\_argcomplete.py,typed,0.1
src\_pytest\_code\code.py,typed,0.0
src\_pytest\_code\source.py,typed,0.0
src\_pytest\_code\__init__.py,untyped,0
src\_pytest\_io\saferepr.py,typed,0.0
src\_pytest\_io\terminalwriter.py,typed,0.0
src\_pytest\_io\wcwidth.py,typed,0.0
src\_pytest\_io\__init__.py,untyped,0
src\_pytest\__init__.py,untyped,0
