file,Layer,Module,typed/untyped,notAnyRate
sanic/helpers.py,L0,M0,typed,1.0
sanic/compat.py,L0,M0,typed,1.0
sanic/log.py,L0,M0,untyped,null
sanic/headers.py,L0,M0,typed,1.0
sanic/exceptions.py,L0,M0,typed,1.0
sanic/http.py,L0,M0,typed,1.0
sanic/models/__init__.py,L0,M0,untyped,null
sanic/models/protocol_types.py,L0,M0,typed,1.0
sanic/constants.py,L0,M0,typed,1.0
sanic/cookies.py,L0,M0,typed,1.0
sanic/response.py,L0,M0,typed,0.98
sanic/request.py,L0,M0,typed,1.0
sanic/models/handler_types.py,L0,M0,untyped,null
sanic/utils.py,L0,M0,typed,1.0
sanic/config.py,L0,M0,typed,1.0
sanic/errorpages.py,L0,M0,typed,1.0
sanic/handlers.py,L0,M0,untyped,null
sanic/server.py,L0,M0,typed,1.0
sanic/models/futures.py,L0,M0,typed,1.0
sanic/mixins/exceptions.py,L0,M0,typed,1.0
sanic/mixins/listeners.py,L0,M0,typed,1.0
sanic/mixins/middleware.py,L0,M0,typed,1.0
sanic/signals.py,L0,M0,typed,1.0
sanic/mixins/signals.py,L0,M0,typed,1.0
sanic/blueprint_group.py,L0,M0,typed,1.0
sanic/blueprints.py,L0,M0,typed,1.0
sanic/views.py,L0,M0,typed,1.0
sanic/mixins/routes.py,L0,M0,typed,1.0
sanic/mixins/__init__.py,L0,M0,untyped,null
sanic/base.py,L0,M0,typed,0.875
sanic/websocket.py,L0,M0,typed,1.0
sanic/models/asgi.py,L0,M0,typed,1.0
sanic/asgi.py,L0,M0,typed,1.0
sanic/reloader_helpers.py,L0,M0,untyped,null
sanic/router.py,L0,M0,typed,1.0
sanic/app.py,L0,M0,typed,0.971830985915493
sanic/__version__.py,L0,M1,untyped,null
sanic/simple.py,L1,M0,typed,1.0
sanic/__main__.py,L1,M0,typed,1.0
sanic/worker.py,L1,M1,untyped,null
sanic/__init__.py,L1,M2,untyped,null
