file path,file type,any rate
scipy\cluster\hierarchy.py,untyped,0
scipy\cluster\setup.py,untyped,0
scipy\cluster\tests\hierarchy_test_data.py,untyped,0
scipy\cluster\tests\test_disjoint_set.py,untyped,0
scipy\cluster\tests\test_hierarchy.py,untyped,0
scipy\cluster\tests\test_vq.py,untyped,0
scipy\cluster\tests\__init__.py,untyped,0
scipy\cluster\vq.py,untyped,0
scipy\cluster\__init__.py,untyped,0
scipy\conftest.py,untyped,0
scipy\constants\codata.py,untyped,0
scipy\constants\constants.py,untyped,0
scipy\constants\setup.py,untyped,0
scipy\constants\tests\test_codata.py,untyped,0
scipy\constants\tests\test_constants.py,untyped,0
scipy\constants\tests\__init__.py,untyped,0
scipy\constants\__init__.py,untyped,0
scipy\fft\setup.py,untyped,0
scipy\fft\tests\mock_backend.py,untyped,0
scipy\fft\tests\test_backend.py,untyped,0
scipy\fft\tests\test_fftlog.py,untyped,0
scipy\fft\tests\test_fft_function.py,untyped,0
scipy\fft\tests\test_helper.py,untyped,0
scipy\fft\tests\test_multithreading.py,untyped,0
scipy\fft\tests\test_numpy.py,untyped,0
scipy\fft\tests\test_real_transforms.py,untyped,0
scipy\fft\_backend.py,untyped,0
scipy\fft\_basic.py,untyped,0
scipy\fft\_debug_backends.py,untyped,0
scipy\fft\_fftlog.py,untyped,0
scipy\fft\_helper.py,untyped,0
scipy\fft\_pocketfft\basic.py,untyped,0
scipy\fft\_pocketfft\helper.py,untyped,0
scipy\fft\_pocketfft\realtransforms.py,untyped,0
scipy\fft\_pocketfft\setup.py,untyped,0
scipy\fft\_pocketfft\tests\test_basic.py,untyped,0
scipy\fft\_pocketfft\tests\test_real_transforms.py,typed,0.0
scipy\fft\_pocketfft\tests\__init__.py,untyped,0
scipy\fft\_pocketfft\__init__.py,untyped,0
scipy\fft\_realtransforms.py,untyped,0
scipy\fft\__init__.py,untyped,0
scipy\fftpack\basic.py,untyped,0
scipy\fftpack\helper.py,untyped,0
scipy\fftpack\pseudo_diffs.py,untyped,0
scipy\fftpack\realtransforms.py,untyped,0
scipy\fftpack\setup.py,untyped,0
scipy\fftpack\tests\gendata.py,untyped,0
scipy\fftpack\tests\gen_fftw_ref.py,untyped,0
scipy\fftpack\tests\test_basic.py,untyped,0
scipy\fftpack\tests\test_helper.py,untyped,0
scipy\fftpack\tests\test_import.py,untyped,0
scipy\fftpack\tests\test_pseudo_diffs.py,untyped,0
scipy\fftpack\tests\test_real_transforms.py,untyped,0
scipy\fftpack\tests\__init__.py,untyped,0
scipy\fftpack\__init__.py,untyped,0
scipy\integrate\odepack.py,untyped,0
scipy\integrate\quadpack.py,untyped,0
scipy\integrate\setup.py,untyped,0
scipy\integrate\tests\test_banded_ode_solvers.py,untyped,0
scipy\integrate\tests\test_bvp.py,untyped,0
scipy\integrate\tests\test_integrate.py,untyped,0
scipy\integrate\tests\test_odeint_jac.py,untyped,0
scipy\integrate\tests\test_quadpack.py,untyped,0
scipy\integrate\tests\test_quadrature.py,untyped,0
scipy\integrate\tests\test__quad_vec.py,untyped,0
scipy\integrate\tests\__init__.py,untyped,0
scipy\integrate\_bvp.py,untyped,0
scipy\integrate\_ivp\base.py,untyped,0
scipy\integrate\_ivp\bdf.py,untyped,0
scipy\integrate\_ivp\common.py,untyped,0
scipy\integrate\_ivp\dop853_coefficients.py,untyped,0
scipy\integrate\_ivp\ivp.py,untyped,0
scipy\integrate\_ivp\lsoda.py,untyped,0
scipy\integrate\_ivp\radau.py,untyped,0
scipy\integrate\_ivp\rk.py,typed,0.0
scipy\integrate\_ivp\setup.py,untyped,0
scipy\integrate\_ivp\tests\test_ivp.py,untyped,0
scipy\integrate\_ivp\tests\test_rk.py,untyped,0
scipy\integrate\_ivp\__init__.py,untyped,0
scipy\integrate\_ode.py,untyped,0
scipy\integrate\_quadrature.py,typed,0.0
scipy\integrate\_quad_vec.py,untyped,0
scipy\integrate\__init__.py,untyped,0
scipy\interpolate\fitpack.py,untyped,0
scipy\interpolate\fitpack2.py,untyped,0
scipy\interpolate\interpnd_info.py,untyped,0
scipy\interpolate\interpolate.py,untyped,0
scipy\interpolate\ndgriddata.py,untyped,0
scipy\interpolate\polyint.py,untyped,0
scipy\interpolate\rbf.py,untyped,0
scipy\interpolate\setup.py,untyped,0
scipy\interpolate\tests\test_bsplines.py,untyped,0
scipy\interpolate\tests\test_fitpack.py,untyped,0
scipy\interpolate\tests\test_fitpack2.py,untyped,0
scipy\interpolate\tests\test_gil.py,untyped,0
scipy\interpolate\tests\test_interpnd.py,untyped,0
scipy\interpolate\tests\test_interpolate.py,untyped,0
scipy\interpolate\tests\test_ndgriddata.py,untyped,0
scipy\interpolate\tests\test_pade.py,untyped,0
scipy\interpolate\tests\test_polyint.py,untyped,0
scipy\interpolate\tests\test_rbf.py,untyped,0
scipy\interpolate\tests\test_rbfinterp.py,untyped,0
scipy\interpolate\tests\test_regression.py,untyped,0
scipy\interpolate\tests\__init__.py,untyped,0
scipy\interpolate\_bsplines.py,untyped,0
scipy\interpolate\_cubic.py,untyped,0
scipy\interpolate\_fitpack_impl.py,untyped,0
