file,Layer,Module
scipy/_lib/_boost_utils.py,L0,M0
scipy/io/arff/arffread.py,L0,M1
scipy/signal/_max_len_seq_inner.py,L0,M2
scipy/signal/_max_len_seq.py,L0,M2
scipy/io/idl.py,L0,M3
scipy/constants/codata.py,L0,M4
scipy/constants/constants.py,L0,M4
scipy/_lib/_testutils.py,L0,M5
scipy/signal/_arraytools.py,L0,M6
scipy/fft/_pocketfft/helper.py,L0,M7
scipy/fft/_pocketfft/realtransforms.py,L0,M7
scipy/fft/_pocketfft/basic.py,L0,M7
scipy/optimize/_lsap.py,L0,M8
scipy/_lib/doccer.py,L0,M9
scipy/special/_precompute/__init__.py,L0,M10
scipy/optimize/linesearch.py,L0,M11
scipy/_lib/_bunch.py,L0,M12
scipy/spatial/transform/setup.py,L0,M13
scipy/special/sf_error.py,L0,M14
scipy/integrate/odepack.py,L0,M15
scipy/signal/waveforms.py,L0,M16
scipy/io/matlab/byteordercodes.py,L0,M17
scipy/special/_testutils.py,L0,M18
scipy/io/wavfile.py,L0,M19
scipy/_lib/_gcutils.py,L0,M20
scipy/special/_lambertw.py,L0,M21
scipy/optimize/_nnls.py,L0,M22
scipy/optimize/_trlib/__init__.py,L0,M23
scipy/io/_fortran.py,L0,M24
scipy/ndimage/tests/__init__.py,L0,M25
scipy/special/_spherical_bessel.py,L0,M26
scipy/special/spfun_stats.py,L0,M27
scipy/_lib/_ccallback.py,L0,M28
scipy/_lib/decorator.py,L0,M29
scipy/_lib/_tmpdirs.py,L0,M30
scipy/special/_precompute/utils.py,L0,M31
scipy/linalg/_testutils.py,L0,M32
scipy/stats/_binned_statistic.py,L0,M33
scipy/io/netcdf.py,L0,M34
scipy/integrate/_ode.py,L0,M35
scipy/io/harwell_boeing/_fortran_format_parser.py,L0,M36
scipy/special/_mptestutils.py,L1,M0
scipy/_lib/__init__.py,L1,M1
scipy/_lib/_threadsafety.py,L1,M2
scipy/_lib/_util.py,L2,M0
scipy/sparse/sputils.py,L2,M0
scipy/sparse/csc.py,L2,M0
scipy/sparse/base.py,L2,M0
scipy/sparse/lil.py,L2,M0
scipy/sparse/_index.py,L2,M0
scipy/sparse/data.py,L2,M0
scipy/sparse/bsr.py,L2,M0
scipy/sparse/spfuncs.py,L2,M0
scipy/sparse/csr.py,L2,M0
scipy/sparse/dok.py,L2,M0
scipy/sparse/dia.py,L2,M0
scipy/sparse/coo.py,L2,M0
scipy/sparse/compressed.py,L2,M0
scipy/sparse/construct.py,L2,M0
scipy/sparse/extract.py,L2,M0
scipy/sparse/csgraph/__init__.py,L2,M0
scipy/sparse/csgraph/_laplacian.py,L2,M0
