file,Layer,Module,typed/untyped,notAnyRate
scipy/_lib/_boost_utils.py,L0,M0,typed,1.0
scipy/io/arff/arffread.py,L0,M1,untyped,null
scipy/signal/_max_len_seq_inner.py,L0,M2,untyped,null
scipy/signal/_max_len_seq.py,L0,M2,untyped,null
scipy/io/idl.py,L0,M3,untyped,null
scipy/constants/codata.py,L0,M4,untyped,null
scipy/constants/constants.py,L0,M4,untyped,null
scipy/_lib/_testutils.py,L0,M5,untyped,null
scipy/signal/_arraytools.py,L0,M6,untyped,null
scipy/fft/_pocketfft/helper.py,L0,M7,untyped,null
scipy/fft/_pocketfft/realtransforms.py,L0,M7,untyped,null
scipy/fft/_pocketfft/basic.py,L0,M7,untyped,null
scipy/optimize/_lsap.py,L0,M8,untyped,null
scipy/_lib/doccer.py,L0,M9,untyped,null
scipy/special/_precompute/__init__.py,L0,M10,untyped,null
scipy/optimize/linesearch.py,L0,M11,untyped,null
scipy/_lib/_bunch.py,L0,M12,untyped,null
scipy/spatial/transform/setup.py,L0,M13,untyped,null
scipy/special/sf_error.py,L0,M14,untyped,null
scipy/integrate/odepack.py,L0,M15,untyped,null
scipy/signal/waveforms.py,L0,M16,untyped,null
scipy/io/matlab/byteordercodes.py,L0,M17,untyped,null
scipy/special/_testutils.py,L0,M18,untyped,null
scipy/io/wavfile.py,L0,M19,untyped,null
scipy/_lib/_gcutils.py,L0,M20,untyped,null
scipy/special/_lambertw.py,L0,M21,untyped,null
scipy/optimize/_nnls.py,L0,M22,untyped,null
scipy/optimize/_trlib/__init__.py,L0,M23,untyped,null
scipy/io/_fortran.py,L0,M24,untyped,null
scipy/ndimage/tests/__init__.py,L0,M25,typed,1.0
scipy/special/_spherical_bessel.py,L0,M26,untyped,null
scipy/special/spfun_stats.py,L0,M27,untyped,null
scipy/_lib/_ccallback.py,L0,M28,untyped,null
scipy/_lib/decorator.py,L0,M29,untyped,null
scipy/_lib/_tmpdirs.py,L0,M30,untyped,null
scipy/special/_precompute/utils.py,L0,M31,untyped,null
scipy/linalg/_testutils.py,L0,M32,untyped,null
scipy/stats/_binned_statistic.py,L0,M33,untyped,null
scipy/io/netcdf.py,L0,M34,untyped,null
scipy/integrate/_ode.py,L0,M35,untyped,null
scipy/io/harwell_boeing/_fortran_format_parser.py,L0,M36,untyped,null
scipy/special/_mptestutils.py,L1,M0,untyped,null
scipy/_lib/__init__.py,L1,M1,untyped,null
scipy/_lib/_threadsafety.py,L1,M2,untyped,null
scipy/_lib/_util.py,L2,M0,typed,1.0
scipy/sparse/sputils.py,L2,M0,untyped,null
scipy/sparse/csc.py,L2,M0,untyped,null
scipy/sparse/base.py,L2,M0,untyped,null
scipy/sparse/lil.py,L2,M0,untyped,null
scipy/sparse/_index.py,L2,M0,untyped,null
scipy/sparse/data.py,L2,M0,untyped,null
scipy/sparse/bsr.py,L2,M0,untyped,null
scipy/sparse/spfuncs.py,L2,M0,untyped,null
scipy/sparse/csr.py,L2,M0,untyped,null
scipy/sparse/dok.py,L2,M0,untyped,null
scipy/sparse/dia.py,L2,M0,untyped,null
scipy/sparse/coo.py,L2,M0,untyped,null
scipy/sparse/compressed.py,L2,M0,untyped,null
scipy/sparse/construct.py,L2,M0,untyped,null
scipy/sparse/extract.py,L2,M0,untyped,null
scipy/sparse/csgraph/__init__.py,L2,M0,untyped,null
scipy/sparse/csgraph/_laplacian.py,L2,M0,untyped,null
scipy/sparse/_matrix_io.py,L2,M0,untyped,null
scipy/sparse/__init__.py,L2,M0,untyped,null
scipy/ndimage/_ni_docstrings.py,L2,M1,untyped,null
scipy/ndimage/_ni_support.py,L2,M2,untyped,null
scipy/misc/doccer.py,L2,M3,untyped,null
scipy/constants/__init__.py,L2,M4,untyped,null
scipy/io/matlab/miobase.py,L2,M5,untyped,null
scipy/spatial/_plotutils.py,L2,M6,untyped,null
scipy/_lib/_pep440.py,L2,M7,untyped,null
scipy/linalg/blas.py,L3,M0,untyped,null
scipy/linalg/lapack.py,L3,M0,untyped,null
scipy/_build_utils/system_info.py,L3,M1,untyped,null
scipy/_build_utils/compiler_helper.py,L3,M1,untyped,null
scipy/_build_utils/_fortran.py,L3,M1,untyped,null
scipy/_build_utils/__init__.py,L3,M1,untyped,null
scipy/io/matlab/__init__.py,L3,M2,untyped,null
scipy/io/matlab/mio5_params.py,L3,M2,untyped,null
scipy/io/matlab/mio5.py,L3,M2,untyped,null
scipy/io/matlab/mio4.py,L3,M2,untyped,null
scipy/io/matlab/mio.py,L3,M2,untyped,null
scipy/io/harwell_boeing/hb.py,L3,M3,untyped,null
scipy/integrate/_quad_vec.py,L3,M4,untyped,null
scipy/special/_logsumexp.py,L3,M4,untyped,null
scipy/stats/tests/common_tests.py,L3,M4,untyped,null
scipy/ndimage/filters.py,L3,M5,untyped,null
scipy/optimize/_trustregion_constr/canonical_constraint.py,L3,M6,untyped,null
scipy/io/mmio.py,L3,M7,untyped,null
scipy/sparse/linalg/interface.py,L3,M8,untyped,null
scipy/sparse/linalg/_norm.py,L3,M9,untyped,null
scipy/integrate/quadpack.py,L4,M0,untyped,null
scipy/integrate/setup.py,L4,M0,untyped,null
scipy/setup.py,L4,M1,untyped,null
scipy/optimize/zeros.py,L4,M1,untyped,null
scipy/optimize/_root_scalar.py,L4,M1,untyped,null
scipy/ndimage/measurements.py,L4,M2,untyped,null
scipy/ndimage/morphology.py,L4,M2,untyped,null
scipy/io/harwell_boeing/__init__.py,L4,M3,untyped,null
scipy/io/__init__.py,L4,M3,untyped,null
scipy/spatial/setup.py,L4,M4,untyped,null
scipy/linalg/misc.py,L4,M5,untyped,null
scipy/_lib/deprecation.py,L5,M0,untyped,null
scipy/_distributor_init.py,L5,M0,untyped,null
scipy/__init__.py,L5,M0,untyped,null
scipy/linalg/decomp_cholesky.py,L5,M0,untyped,null
scipy/spatial/kdtree.py,L5,M1,untyped,null
scipy/linalg/decomp.py,L5,M2,untyped,null
scipy/linalg/decomp_svd.py,L6,M0,untyped,null
scipy/linalg/_decomp_polar.py,L6,M0,untyped,null
scipy/linalg/_decomp_ldl.py,L6,M1,untyped,null
scipy/special/orthogonal.py,L7,M0,typed,0.995169082125604
scipy/special/_basic.py,L7,M0,untyped,null
scipy/linalg/special_matrices.py,L7,M0,untyped,null
scipy/special/_ellip_harm.py,L7,M0,untyped,null
scipy/special/__init__.py,L7,M0,untyped,null
scipy/linalg/flinalg.py,L7,M0,untyped,null
scipy/_lib/_uarray/_backend.py,L7,M0,typed,1.0
scipy/_lib/_uarray/__init__.py,L7,M0,untyped,null
scipy/_lib/uarray.py,L7,M0,untyped,null
scipy/fft/_pocketfft/__init__.py,L7,M0,untyped,null
scipy/fft/_basic.py,L7,M0,untyped,null
