file,Layer,Module
uvicorn/loops/asyncio.py,L0,M0
uvicorn/__init__.py,L1,M0
uvicorn/_handlers/http.py,L1,M0
uvicorn/logging.py,L1,M0
uvicorn/subprocess.py,L1,M0
uvicorn/supervisors/multiprocess.py,L1,M0
uvicorn/supervisors/basereload.py,L1,M0
uvicorn/main.py,L1,M0
uvicorn/supervisors/statreload.py,L1,M0
uvicorn/supervisors/watchgodreload.py,L1,M0
uvicorn/supervisors/__init__.py,L1,M0
uvicorn/importer.py,L1,M0
uvicorn/_types.py,L1,M0
uvicorn/middleware/wsgi.py,L1,M0
uvicorn/middleware/proxy_headers.py,L1,M0
uvicorn/middleware/asgi2.py,L1,M0
uvicorn/middleware/__init__.py,L1,M0
uvicorn/middleware/debug.py,L1,M0
uvicorn/protocols/utils.py,L1,M0
uvicorn/protocols/websockets/websockets_impl.py,L1,M0
uvicorn/protocols/websockets/wsproto_impl.py,L1,M0
uvicorn/protocols/websockets/auto.py,L1,M0
uvicorn/middleware/message_logger.py,L1,M0
uvicorn/config.py,L1,M0
uvicorn/protocols/websockets/__init__.py,L1,M0
uvicorn/protocols/http/flow_control.py,L1,M0
uvicorn/protocols/__init__.py,L1,M0
uvicorn/protocols/http/h11_impl.py,L1,M0
uvicorn/protocols/http/__init__.py,L1,M0
uvicorn/_handlers/__init__.py,L1,M0
uvicorn/protocols/http/httptools_impl.py,L1,M0
uvicorn/server.py,L1,M0
uvicorn/__main__.py,L2,M0
uvicorn/lifespan/off.py,L2,M1
uvicorn/loops/auto.py,L2,M2
uvicorn/loops/uvloop.py,L2,M2
uvicorn/workers.py,L2,M3
uvicorn/lifespan/on.py,L2,M4
uvicorn/protocols/http/auto.py,L2,M5
uvicorn/lifespan/__init__.py,Isolated,/
uvicorn/loops/__init__.py,Isolated,/
