file,Layer,Module,typed/untyped,notAnyRate
uvicorn/loops/asyncio.py,L0,M0,typed,1.0
uvicorn/__init__.py,L1,M0,untyped,null
uvicorn/_handlers/http.py,L1,M0,typed,1.0
uvicorn/logging.py,L1,M0,typed,1.0
uvicorn/subprocess.py,L1,M0,typed,1.0
uvicorn/supervisors/multiprocess.py,L1,M0,typed,1.0
uvicorn/supervisors/basereload.py,L1,M0,typed,1.0
uvicorn/main.py,L1,M0,typed,1.0
uvicorn/supervisors/statreload.py,L1,M0,typed,1.0
uvicorn/supervisors/watchgodreload.py,L1,M0,typed,1.0
uvicorn/supervisors/__init__.py,L1,M0,typed,1.0
uvicorn/importer.py,L1,M0,untyped,null
uvicorn/_types.py,L1,M0,untyped,null
uvicorn/middleware/wsgi.py,L1,M0,typed,1.0
uvicorn/middleware/proxy_headers.py,L1,M0,typed,1.0
uvicorn/middleware/asgi2.py,L1,M0,typed,1.0
uvicorn/middleware/__init__.py,L1,M0,untyped,null
uvicorn/middleware/debug.py,L1,M0,typed,1.0
uvicorn/protocols/utils.py,L1,M0,typed,1.0
uvicorn/protocols/websockets/websockets_impl.py,L1,M0,typed,1.0
uvicorn/protocols/websockets/wsproto_impl.py,L1,M0,typed,1.0
uvicorn/protocols/websockets/auto.py,L1,M0,typed,1.0
uvicorn/middleware/message_logger.py,L1,M0,typed,0.2857142857142857
uvicorn/config.py,L1,M0,typed,1.0
uvicorn/protocols/websockets/__init__.py,L1,M0,untyped,null
uvicorn/protocols/http/flow_control.py,L1,M0,typed,1.0
uvicorn/protocols/__init__.py,L1,M0,untyped,null
uvicorn/protocols/http/h11_impl.py,L1,M0,typed,1.0
uvicorn/protocols/http/__init__.py,L1,M0,untyped,null
uvicorn/_handlers/__init__.py,L1,M0,untyped,null
uvicorn/protocols/http/httptools_impl.py,L1,M0,typed,1.0
uvicorn/server.py,L1,M0,typed,1.0
uvicorn/__main__.py,L2,M0,untyped,null
uvicorn/lifespan/off.py,L2,M1,typed,1.0
uvicorn/loops/auto.py,L2,M2,typed,1.0
uvicorn/loops/uvloop.py,L2,M2,typed,1.0
uvicorn/workers.py,L2,M3,typed,0.7142857142857143
uvicorn/lifespan/on.py,L2,M4,typed,1.0
uvicorn/protocols/http/auto.py,L2,M5,typed,1.0
uvicorn/lifespan/__init__.py,Isolated,/,untyped,null
uvicorn/loops/__init__.py,Isolated,/,untyped,null
