NodeID,Nodename,degree_centrality
0,uvicorn/config.py,0.5250
1,uvicorn/loops/asyncio.py,0.4000
2,uvicorn/server.py,0.4000
3,uvicorn/logging.py,0.3750
4,uvicorn/protocols/http/h11_impl.py,0.2500
5,uvicorn/main.py,0.2250
6,uvicorn/_handlers/http.py,0.2250
7,uvicorn/protocols/http/httptools_impl.py,0.2250
8,uvicorn/supervisors/basereload.py,0.1500
9,uvicorn/protocols/websockets/websockets_impl.py,0.1500
10,uvicorn/workers.py,0.1250
11,uvicorn/__init__.py,0.1250
12,uvicorn/supervisors/multiprocess.py,0.1250
13,uvicorn/protocols/utils.py,0.1250
14,uvicorn/protocols/websockets/wsproto_impl.py,0.1250
15,uvicorn/supervisors/__init__.py,0.1250
16,uvicorn/protocols/websockets/auto.py,0.1250
17,uvicorn/supervisors/statreload.py,0.1000
18,uvicorn/supervisors/watchgodreload.py,0.1000
19,uvicorn/protocols/http/auto.py,0.1000
20,uvicorn/protocols/http/__init__.py,0.0750
21,uvicorn/protocols/websockets/__init__.py,0.0750
22,uvicorn/subprocess.py,0.0750
23,uvicorn/lifespan/on.py,0.0750
24,uvicorn/middleware/wsgi.py,0.0750
25,uvicorn/protocols/http/flow_control.py,0.0750
26,uvicorn/middleware/asgi2.py,0.0500
27,uvicorn/middleware/__init__.py,0.0500
28,uvicorn/loops/auto.py,0.0500
29,uvicorn/middleware/message_logger.py,0.0500
30,uvicorn/loops/uvloop.py,0.0500
31,uvicorn/middleware/proxy_headers.py,0.0250
32,uvicorn/protocols/__init__.py,0.0250
33,uvicorn/importer.py,0.0250
34,uvicorn/_types.py,0.0250
35,uvicorn/middleware/debug.py,0.0250
36,uvicorn/lifespan/off.py,0.0250
37,uvicorn/_handlers/__init__.py,0.0250
38,uvicorn/__main__.py,0.0250
39,uvicorn/loops/__init__.py,0.0000
40,uvicorn/lifespan/__init__.py,0.0000
