file path,file type,any rate
werkzeug\datastructures.py,typed,0.03827751196172249
werkzeug\debug\console.py,typed,0.0
werkzeug\debug\repr.py,typed,0.0
werkzeug\debug\tbtools.py,typed,0.0
werkzeug\debug\__init__.py,typed,0.0
werkzeug\exceptions.py,typed,0.0
werkzeug\filesystem.py,typed,0.0
werkzeug\formparser.py,typed,0.0
werkzeug\http.py,typed,0.0
werkzeug\local.py,typed,0.0
werkzeug\middleware\dispatcher.py,typed,0.0
werkzeug\middleware\http_proxy.py,typed,0.0
werkzeug\middleware\lint.py,typed,0.0
werkzeug\middleware\profiler.py,typed,0.0
werkzeug\middleware\proxy_fix.py,typed,0.0
werkzeug\middleware\shared_data.py,typed,0.0
werkzeug\middleware\__init__.py,untyped,0
werkzeug\routing.py,typed,0.0
werkzeug\sansio\multipart.py,typed,0.0
werkzeug\sansio\request.py,typed,0.0
werkzeug\sansio\response.py,typed,0.0
werkzeug\sansio\utils.py,typed,0.0
werkzeug\sansio\__init__.py,untyped,0
werkzeug\security.py,typed,0.0
werkzeug\serving.py,typed,0.0
werkzeug\test.py,typed,0.0
werkzeug\testapp.py,typed,0.0
werkzeug\urls.py,typed,0.0
werkzeug\useragents.py,typed,0.0
werkzeug\user_agent.py,typed,0.0
werkzeug\utils.py,typed,0.0
werkzeug\wrappers\accept.py,typed,0.0
werkzeug\wrappers\auth.py,typed,0.0
werkzeug\wrappers\base_request.py,typed,0.0
werkzeug\wrappers\base_response.py,typed,0.0
werkzeug\wrappers\common_descriptors.py,typed,0.0
werkzeug\wrappers\cors.py,typed,0.0
werkzeug\wrappers\etag.py,typed,0.0
werkzeug\wrappers\json.py,typed,0.0
werkzeug\wrappers\request.py,typed,0.0
werkzeug\wrappers\response.py,typed,0.0
werkzeug\wrappers\user_agent.py,typed,0.0
werkzeug\wrappers\__init__.py,untyped,0
werkzeug\wsgi.py,typed,0.0
werkzeug\_internal.py,typed,0.0
werkzeug\_reloader.py,typed,0.0
werkzeug\__init__.py,untyped,0
