file,Layer,Module,typed/untyped,notAnyRate
werkzeug/wrappers/etag.py,L0,M0,typed,1.0
werkzeug/wrappers/user_agent.py,L0,M0,typed,1.0
werkzeug/wrappers/auth.py,L0,M0,typed,1.0
werkzeug/filesystem.py,L0,M0,typed,1.0
werkzeug/_internal.py,L0,M0,typed,1.0
werkzeug/datastructures.py,L0,M0,typed,0.9617224880382776
werkzeug/urls.py,L0,M0,typed,1.0
werkzeug/http.py,L0,M0,typed,1.0
werkzeug/sansio/utils.py,L0,M0,typed,1.0
werkzeug/sansio/response.py,L0,M0,typed,1.0
werkzeug/sansio/__init__.py,L0,M0,untyped,null
werkzeug/exceptions.py,L0,M0,typed,1.0
werkzeug/wsgi.py,L0,M0,typed,1.0
werkzeug/wrappers/accept.py,L0,M0,typed,1.0
werkzeug/wrappers/common_descriptors.py,L0,M0,typed,1.0
werkzeug/wrappers/base_response.py,L0,M0,typed,1.0
werkzeug/wrappers/base_request.py,L0,M0,typed,1.0
werkzeug/wrappers/__init__.py,L0,M0,untyped,null
werkzeug/security.py,L0,M0,typed,1.0
werkzeug/utils.py,L0,M0,typed,1.0
werkzeug/wrappers/json.py,L0,M0,typed,1.0
werkzeug/user_agent.py,L0,M0,typed,1.0
werkzeug/useragents.py,L0,M0,typed,1.0
werkzeug/sansio/request.py,L0,M0,typed,1.0
werkzeug/sansio/multipart.py,L0,M0,typed,1.0
werkzeug/formparser.py,L0,M0,typed,1.0
werkzeug/wrappers/request.py,L0,M0,typed,1.0
werkzeug/wrappers/response.py,L0,M0,typed,1.0
werkzeug/test.py,L0,M0,typed,1.0
werkzeug/__init__.py,L1,M0,untyped,null
werkzeug/testapp.py,L1,M0,typed,1.0
werkzeug/middleware/__init__.py,L1,M0,untyped,null
werkzeug/debug/repr.py,L1,M0,typed,1.0
werkzeug/debug/__init__.py,L1,M0,typed,1.0
werkzeug/debug/tbtools.py,L1,M0,typed,1.0
werkzeug/local.py,L1,M0,typed,1.0
werkzeug/debug/console.py,L1,M0,typed,1.0
werkzeug/middleware/shared_data.py,L1,M0,typed,1.0
werkzeug/_reloader.py,L1,M0,typed,1.0
werkzeug/serving.py,L1,M0,typed,1.0
werkzeug/routing.py,L1,M1,typed,1.0
werkzeug/middleware/lint.py,L1,M2,typed,1.0
werkzeug/middleware/http_proxy.py,L1,M3,typed,1.0
werkzeug/middleware/proxy_fix.py,L1,M4,typed,1.0
werkzeug/middleware/profiler.py,Isolated,/,typed,1.0
werkzeug/middleware/dispatcher.py,Isolated,/,typed,1.0
werkzeug/wrappers/cors.py,Isolated,/,typed,1.0
