NodeID,Nodename,degree_centrality
0,werkzeug/_internal.py,0.4565
1,werkzeug/wrappers/response.py,0.4348
2,werkzeug/utils.py,0.3913
3,werkzeug/datastructures.py,0.3913
4,werkzeug/wrappers/request.py,0.3913
5,werkzeug/exceptions.py,0.3913
6,werkzeug/wrappers/__init__.py,0.3696
7,werkzeug/http.py,0.3478
8,werkzeug/wsgi.py,0.3478
9,werkzeug/test.py,0.3261
10,werkzeug/urls.py,0.3043
11,werkzeug/serving.py,0.2609
12,werkzeug/debug/__init__.py,0.2174
13,werkzeug/sansio/request.py,0.1957
14,werkzeug/formparser.py,0.1957
15,werkzeug/routing.py,0.1739
16,werkzeug/debug/tbtools.py,0.1522
17,werkzeug/__init__.py,0.1522
18,werkzeug/sansio/__init__.py,0.1304
19,werkzeug/middleware/shared_data.py,0.1304
20,werkzeug/sansio/response.py,0.1304
21,werkzeug/sansio/multipart.py,0.1304
22,werkzeug/middleware/http_proxy.py,0.1087
23,werkzeug/debug/console.py,0.1087
24,werkzeug/sansio/utils.py,0.1087
25,werkzeug/testapp.py,0.1087
26,werkzeug/wrappers/json.py,0.0870
27,werkzeug/filesystem.py,0.0652
28,werkzeug/middleware/lint.py,0.0652
29,werkzeug/security.py,0.0652
30,werkzeug/user_agent.py,0.0435
31,werkzeug/useragents.py,0.0435
32,werkzeug/wrappers/base_response.py,0.0435
33,werkzeug/wrappers/base_request.py,0.0435
34,werkzeug/local.py,0.0435
35,werkzeug/_reloader.py,0.0435
36,werkzeug/debug/repr.py,0.0217
37,werkzeug/wrappers/etag.py,0.0217
38,werkzeug/wrappers/auth.py,0.0217
39,werkzeug/wrappers/user_agent.py,0.0217
40,werkzeug/middleware/__init__.py,0.0217
41,werkzeug/wrappers/common_descriptors.py,0.0217
42,werkzeug/wrappers/accept.py,0.0217
43,werkzeug/middleware/proxy_fix.py,0.0217
44,werkzeug/wrappers/cors.py,0.0000
45,werkzeug/middleware/profiler.py,0.0000
46,werkzeug/middleware/dispatcher.py,0.0000
