measurement,degree_precision,degree_recall
Top 10%,100.00%,9.30%
Top 20%,87.50%,16.28%
Top 30%,91.67%,25.58%
Top 40%,93.75%,34.88%
Top 50%,85.00%,39.53%
Top 60%,87.50%,48.84%
Top 70%,89.29%,58.14%
Top 80%,90.62%,67.44%
Top 90%,91.67%,76.74%
Top 100%,91.49%,100.00%
measurement,degree_precision,degree_recall
Top 10%,100.00%,9.30%
Top 20%,87.50%,16.28%
Top 30%,91.67%,25.58%
Top 40%,93.75%,34.88%
Top 50%,85.00%,39.53%
Top 60%,87.50%,48.84%
Top 70%,89.29%,58.14%
Top 80%,90.62%,67.44%
Top 90%,91.67%,76.74%
Top 100%,91.49%,100.00%
