index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%
Top 20%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%
Top 30%,95.24%,35.09%,100.00%,36.84%,100.00%,36.84%,100.00%,36.84%,100.00%,36.84%
Top 40%,96.43%,47.37%,96.43%,47.37%,96.43%,47.37%,96.43%,47.37%,96.43%,47.37%
Top 50%,97.14%,59.65%,97.14%,59.65%,94.29%,57.89%,97.14%,59.65%,97.14%,59.65%
Top 60%,97.62%,71.93%,97.62%,71.93%,92.86%,68.42%,97.62%,71.93%,97.62%,71.93%
Top 70%,97.96%,84.21%,95.92%,82.46%,93.88%,80.70%,95.92%,82.46%,95.92%,82.46%
Top 80%,92.86%,91.23%,92.86%,91.23%,92.86%,91.23%,96.43%,94.74%,96.43%,94.74%
Top 90%,90.48%,100.00%,90.48%,100.00%,88.89%,98.25%,88.89%,98.25%,88.89%,98.25%
Top 100%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%,100.00%,12.28%
Top 20%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%,100.00%,24.56%
Top 30%,95.24%,35.09%,100.00%,36.84%,100.00%,36.84%,100.00%,36.84%,100.00%,36.84%,100.00%,36.84%
Top 40%,96.43%,47.37%,96.43%,47.37%,96.43%,47.37%,96.43%,47.37%,96.43%,47.37%,100.00%,49.12%
Top 50%,97.14%,59.65%,97.14%,59.65%,94.29%,57.89%,97.14%,59.65%,97.14%,59.65%,97.14%,59.65%
Top 60%,97.62%,71.93%,97.62%,71.93%,92.86%,68.42%,97.62%,71.93%,97.62%,71.93%,95.24%,70.18%
Top 70%,97.96%,84.21%,95.92%,82.46%,93.88%,80.70%,95.92%,82.46%,95.92%,82.46%,91.84%,78.95%
Top 80%,92.86%,91.23%,92.86%,91.23%,92.86%,91.23%,96.43%,94.74%,96.43%,94.74%,92.86%,91.23%
Top 90%,90.48%,100.00%,90.48%,100.00%,88.89%,98.25%,88.89%,98.25%,88.89%,98.25%,88.89%,98.25%
Top 100%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%,79.17%,100.00%
