index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,18.18%,80.00%,13.64%,60.00%,13.64%,60.00%,13.64%,60.00%,13.64%,60.00%
Top 20%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%
Top 30%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%
Top 40%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%
Top 50%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%
Top 60%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%
Top 70%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%
Top 80%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%
Top 90%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%
Top 100%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,18.18%,80.00%,13.64%,60.00%,13.64%,60.00%,13.64%,60.00%,13.64%,60.00%,18.18%,80.00%
Top 20%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%,11.36%,100.00%
Top 30%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%,7.58%,100.00%
Top 40%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%,5.68%,100.00%
Top 50%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%,4.55%,100.00%
Top 60%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%,3.79%,100.00%
Top 70%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%,3.25%,100.00%
Top 80%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%,2.84%,100.00%
Top 90%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%,2.53%,100.00%
Top 100%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%,2.21%,100.00%
