index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%
Top 20%,100.00%,22.22%,96.88%,21.53%,100.00%,22.22%,100.00%,22.22%,100.00%,22.22%
Top 30%,100.00%,33.33%,97.92%,32.64%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%
Top 40%,98.44%,43.75%,98.44%,43.75%,100.00%,44.44%,100.00%,44.44%,100.00%,44.44%
Top 50%,98.75%,54.86%,98.75%,54.86%,100.00%,55.56%,97.50%,54.17%,97.50%,54.17%
Top 60%,95.83%,63.89%,96.88%,64.58%,100.00%,66.67%,96.88%,64.58%,96.88%,64.58%
Top 70%,96.43%,75.00%,97.32%,75.69%,98.21%,76.39%,97.32%,75.69%,97.32%,75.69%
Top 80%,96.88%,86.11%,96.09%,85.42%,97.66%,86.81%,96.09%,85.42%,96.09%,85.42%
Top 90%,93.75%,93.75%,94.44%,94.44%,95.83%,95.83%,93.75%,93.75%,93.75%,93.75%
Top 100%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%,100.00%,11.11%
Top 20%,100.00%,22.22%,96.88%,21.53%,100.00%,22.22%,100.00%,22.22%,100.00%,22.22%,100.00%,22.22%
Top 30%,100.00%,33.33%,97.92%,32.64%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%
Top 40%,98.44%,43.75%,98.44%,43.75%,100.00%,44.44%,100.00%,44.44%,100.00%,44.44%,100.00%,44.44%
Top 50%,98.75%,54.86%,98.75%,54.86%,100.00%,55.56%,97.50%,54.17%,97.50%,54.17%,100.00%,55.56%
Top 60%,95.83%,63.89%,96.88%,64.58%,100.00%,66.67%,96.88%,64.58%,96.88%,64.58%,98.96%,65.97%
Top 70%,96.43%,75.00%,97.32%,75.69%,98.21%,76.39%,97.32%,75.69%,97.32%,75.69%,99.11%,77.08%
Top 80%,96.88%,86.11%,96.09%,85.42%,97.66%,86.81%,96.09%,85.42%,96.09%,85.42%,97.66%,86.81%
Top 90%,93.75%,93.75%,94.44%,94.44%,95.83%,95.83%,93.75%,93.75%,93.75%,93.75%,96.53%,96.53%
Top 100%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%,90.00%,100.00%
