index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,11.36%,14.71%,11.36%,14.71%,9.09%,11.76%,11.36%,14.71%,11.36%,14.71%
Top 20%,7.95%,20.59%,7.95%,20.59%,6.82%,17.65%,6.82%,17.65%,7.95%,20.59%
Top 30%,5.30%,20.59%,5.30%,20.59%,5.30%,20.59%,5.30%,20.59%,5.30%,20.59%
Top 40%,4.55%,23.53%,4.55%,23.53%,3.98%,20.59%,3.98%,20.59%,3.98%,20.59%
Top 50%,3.64%,23.53%,3.64%,23.53%,5.45%,35.29%,3.64%,23.53%,3.64%,23.53%
Top 60%,3.03%,23.53%,3.41%,26.47%,5.30%,41.18%,3.41%,26.47%,3.41%,26.47%
Top 70%,3.57%,32.35%,3.57%,32.35%,5.52%,50.00%,4.22%,38.24%,3.90%,35.29%
Top 80%,3.69%,38.24%,5.11%,52.94%,6.25%,64.71%,5.40%,55.88%,5.68%,58.82%
Top 90%,6.31%,73.53%,6.31%,73.53%,7.32%,85.29%,7.32%,85.29%,7.32%,85.29%
Top 100%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,11.36%,14.71%,11.36%,14.71%,9.09%,11.76%,11.36%,14.71%,11.36%,14.71%,6.82%,8.82%
Top 20%,7.95%,20.59%,7.95%,20.59%,6.82%,17.65%,6.82%,17.65%,7.95%,20.59%,6.82%,17.65%
Top 30%,5.30%,20.59%,5.30%,20.59%,5.30%,20.59%,5.30%,20.59%,5.30%,20.59%,6.06%,23.53%
Top 40%,4.55%,23.53%,4.55%,23.53%,3.98%,20.59%,3.98%,20.59%,3.98%,20.59%,5.68%,29.41%
Top 50%,3.64%,23.53%,3.64%,23.53%,5.45%,35.29%,3.64%,23.53%,3.64%,23.53%,5.00%,32.35%
Top 60%,3.03%,23.53%,3.41%,26.47%,5.30%,41.18%,3.41%,26.47%,3.41%,26.47%,5.68%,44.12%
Top 70%,3.57%,32.35%,3.57%,32.35%,5.52%,50.00%,4.22%,38.24%,3.90%,35.29%,5.19%,47.06%
Top 80%,3.69%,38.24%,5.11%,52.94%,6.25%,64.71%,5.40%,55.88%,5.68%,58.82%,5.40%,55.88%
Top 90%,6.31%,73.53%,6.31%,73.53%,7.32%,85.29%,7.32%,85.29%,7.32%,85.29%,7.32%,85.29%
Top 100%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%,7.62%,100.00%
