index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,66.07%,32.17%,69.64%,33.91%,56.25%,27.39%,66.96%,32.61%,66.07%,32.17%
Top 20%,54.46%,53.04%,55.36%,53.91%,46.88%,45.65%,54.02%,52.61%,53.12%,51.74%
Top 30%,45.54%,66.52%,46.43%,67.83%,41.37%,60.43%,46.43%,67.83%,45.54%,66.52%
Top 40%,38.84%,75.65%,39.29%,76.52%,38.62%,75.22%,38.84%,75.65%,39.06%,76.09%
Top 50%,33.57%,81.74%,34.64%,84.35%,33.93%,82.61%,34.46%,83.91%,34.11%,83.04%
Top 60%,30.36%,88.70%,30.51%,89.13%,30.21%,88.26%,30.36%,88.70%,30.51%,89.13%
Top 70%,27.30%,93.04%,27.68%,94.35%,27.55%,93.91%,27.68%,94.35%,27.81%,94.78%
Top 80%,24.89%,96.96%,24.78%,96.52%,25.22%,98.26%,24.67%,96.09%,24.67%,96.09%
Top 90%,22.42%,98.26%,22.42%,98.26%,22.72%,99.57%,22.42%,98.26%,22.42%,98.26%
Top 100%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,66.07%,32.17%,69.64%,33.91%,56.25%,27.39%,66.96%,32.61%,66.07%,32.17%,54.46%,26.52%
Top 20%,54.46%,53.04%,55.36%,53.91%,46.88%,45.65%,54.02%,52.61%,53.12%,51.74%,48.66%,47.39%
Top 30%,45.54%,66.52%,46.43%,67.83%,41.37%,60.43%,46.43%,67.83%,45.54%,66.52%,40.48%,59.13%
Top 40%,38.84%,75.65%,39.29%,76.52%,38.62%,75.22%,38.84%,75.65%,39.06%,76.09%,37.50%,73.04%
Top 50%,33.57%,81.74%,34.64%,84.35%,33.93%,82.61%,34.46%,83.91%,34.11%,83.04%,33.57%,81.74%
Top 60%,30.36%,88.70%,30.51%,89.13%,30.21%,88.26%,30.36%,88.70%,30.51%,89.13%,30.51%,89.13%
Top 70%,27.30%,93.04%,27.68%,94.35%,27.55%,93.91%,27.68%,94.35%,27.81%,94.78%,27.55%,93.91%
Top 80%,24.89%,96.96%,24.78%,96.52%,25.22%,98.26%,24.67%,96.09%,24.67%,96.09%,25.00%,97.39%
Top 90%,22.42%,98.26%,22.42%,98.26%,22.72%,99.57%,22.42%,98.26%,22.42%,98.26%,22.72%,99.57%
Top 100%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%,20.37%,100.00%
