index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,83.33%,18.99%,88.89%,20.25%,94.44%,21.52%,83.33%,18.99%,83.33%,18.99%
Top 20%,86.11%,39.24%,86.11%,39.24%,83.33%,37.97%,86.11%,39.24%,80.56%,36.71%
Top 30%,81.48%,55.70%,79.63%,54.43%,77.78%,53.16%,79.63%,54.43%,74.07%,50.63%
Top 40%,72.22%,65.82%,70.83%,64.56%,68.06%,62.03%,70.83%,64.56%,69.44%,63.29%
Top 50%,62.22%,70.89%,64.44%,73.42%,61.11%,69.62%,63.33%,72.15%,63.33%,72.15%
Top 60%,57.41%,78.48%,57.41%,78.48%,56.48%,77.22%,59.26%,81.01%,58.33%,79.75%
Top 70%,51.59%,82.28%,51.59%,82.28%,50.79%,81.01%,52.38%,83.54%,52.38%,83.54%
Top 80%,47.22%,86.08%,48.61%,88.61%,48.61%,88.61%,47.92%,87.34%,48.61%,88.61%
Top 90%,45.06%,92.41%,45.68%,93.67%,46.30%,94.94%,45.68%,93.67%,46.30%,94.94%
Top 100%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,83.33%,18.99%,88.89%,20.25%,94.44%,21.52%,83.33%,18.99%,83.33%,18.99%,88.89%,20.25%
Top 20%,86.11%,39.24%,86.11%,39.24%,83.33%,37.97%,86.11%,39.24%,80.56%,36.71%,91.67%,41.77%
Top 30%,81.48%,55.70%,79.63%,54.43%,77.78%,53.16%,79.63%,54.43%,74.07%,50.63%,79.63%,54.43%
Top 40%,72.22%,65.82%,70.83%,64.56%,68.06%,62.03%,70.83%,64.56%,69.44%,63.29%,68.06%,62.03%
Top 50%,62.22%,70.89%,64.44%,73.42%,61.11%,69.62%,63.33%,72.15%,63.33%,72.15%,61.11%,69.62%
Top 60%,57.41%,78.48%,57.41%,78.48%,56.48%,77.22%,59.26%,81.01%,58.33%,79.75%,56.48%,77.22%
Top 70%,51.59%,82.28%,51.59%,82.28%,50.79%,81.01%,52.38%,83.54%,52.38%,83.54%,51.59%,82.28%
Top 80%,47.22%,86.08%,48.61%,88.61%,48.61%,88.61%,47.92%,87.34%,48.61%,88.61%,48.61%,88.61%
Top 90%,45.06%,92.41%,45.68%,93.67%,46.30%,94.94%,45.68%,93.67%,46.30%,94.94%,45.68%,93.67%
Top 100%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%,42.47%,100.00%
