index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,81.82%,10.00%,100.00%,12.22%,100.00%,12.22%,100.00%,12.22%,100.00%,12.22%
Top 20%,86.36%,21.11%,90.91%,22.22%,100.00%,24.44%,86.36%,21.11%,86.36%,21.11%
Top 30%,90.91%,33.33%,87.88%,32.22%,100.00%,36.67%,84.85%,31.11%,84.85%,31.11%
Top 40%,88.64%,43.33%,90.91%,44.44%,97.73%,47.78%,84.09%,41.11%,88.64%,43.33%
Top 50%,89.09%,54.44%,90.91%,55.56%,94.55%,57.78%,85.45%,52.22%,85.45%,52.22%
Top 60%,89.39%,65.56%,92.42%,67.78%,95.45%,70.00%,86.36%,63.33%,84.85%,62.22%
Top 70%,90.91%,77.78%,92.21%,78.89%,94.81%,81.11%,88.31%,75.56%,87.01%,74.44%
Top 80%,86.36%,84.44%,89.77%,87.78%,94.32%,92.22%,87.50%,85.56%,87.50%,85.56%
Top 90%,83.84%,92.22%,85.86%,94.44%,87.88%,96.67%,86.87%,95.56%,86.87%,95.56%
Top 100%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,81.82%,10.00%,100.00%,12.22%,100.00%,12.22%,100.00%,12.22%,100.00%,12.22%,100.00%,12.22%
Top 20%,86.36%,21.11%,90.91%,22.22%,100.00%,24.44%,86.36%,21.11%,86.36%,21.11%,95.45%,23.33%
Top 30%,90.91%,33.33%,87.88%,32.22%,100.00%,36.67%,84.85%,31.11%,84.85%,31.11%,93.94%,34.44%
Top 40%,88.64%,43.33%,90.91%,44.44%,97.73%,47.78%,84.09%,41.11%,88.64%,43.33%,95.45%,46.67%
Top 50%,89.09%,54.44%,90.91%,55.56%,94.55%,57.78%,85.45%,52.22%,85.45%,52.22%,94.55%,57.78%
Top 60%,89.39%,65.56%,92.42%,67.78%,95.45%,70.00%,86.36%,63.33%,84.85%,62.22%,93.94%,68.89%
Top 70%,90.91%,77.78%,92.21%,78.89%,94.81%,81.11%,88.31%,75.56%,87.01%,74.44%,93.51%,80.00%
Top 80%,86.36%,84.44%,89.77%,87.78%,94.32%,92.22%,87.50%,85.56%,87.50%,85.56%,92.05%,90.00%
Top 90%,83.84%,92.22%,85.86%,94.44%,87.88%,96.67%,86.87%,95.56%,86.87%,95.56%,85.86%,94.44%
Top 100%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%,80.36%,100.00%
