index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,13.33%,46.15%,15.56%,53.85%,11.11%,38.46%,11.11%,38.46%,11.11%,38.46%,8.89%,30.77%
Top 20%,7.78%,53.85%,8.89%,61.54%,8.89%,61.54%,6.67%,46.15%,6.67%,46.15%,6.67%,46.15%
Top 30%,5.93%,61.54%,7.41%,76.92%,8.15%,84.62%,4.44%,46.15%,4.44%,46.15%,4.44%,46.15%
Top 40%,5.00%,69.23%,6.67%,92.31%,6.11%,84.62%,3.33%,46.15%,3.33%,46.15%,3.33%,46.15%
Top 50%,4.89%,84.62%,5.33%,92.31%,5.78%,100.00%,3.11%,53.85%,3.11%,53.85%,3.11%,53.85%
Top 60%,4.07%,84.62%,4.44%,92.31%,4.81%,100.00%,2.96%,61.54%,2.96%,61.54%,2.96%,61.54%
Top 70%,3.49%,84.62%,4.13%,100.00%,4.13%,100.00%,2.54%,61.54%,2.54%,61.54%,2.54%,61.54%
Top 80%,3.33%,92.31%,3.61%,100.00%,3.61%,100.00%,3.06%,84.62%,3.06%,84.62%,3.06%,84.62%
Top 90%,3.21%,100.00%,3.21%,100.00%,3.21%,100.00%,2.96%,92.31%,2.96%,92.31%,2.96%,92.31%
Top 100%,2.86%,100.00%,2.86%,100.00%,2.86%,100.00%,2.86%,100.00%,2.86%,100.00%,2.86%,100.00%
