index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,95.24%,16.74%,95.24%,16.74%,96.43%,16.95%,96.43%,16.95%,96.43%,16.95%
Top 20%,89.88%,31.59%,91.07%,32.01%,91.07%,32.01%,89.29%,31.38%,89.88%,31.59%
Top 30%,89.29%,47.07%,89.68%,47.28%,88.89%,46.86%,84.52%,44.56%,88.89%,46.86%
Top 40%,88.10%,61.92%,86.90%,61.09%,88.10%,61.92%,77.38%,54.39%,79.17%,55.65%
Top 50%,82.86%,72.80%,79.76%,70.08%,83.10%,73.01%,74.29%,65.27%,75.71%,66.53%
Top 60%,74.60%,78.66%,74.80%,78.87%,76.98%,81.17%,66.67%,70.29%,68.25%,71.97%
Top 70%,70.58%,86.82%,70.58%,86.82%,72.45%,89.12%,65.82%,80.96%,66.33%,81.59%
Top 80%,69.94%,98.33%,69.49%,97.70%,68.15%,95.82%,64.73%,91.00%,64.88%,91.21%
Top 90%,63.10%,99.79%,63.10%,99.79%,63.23%,100.00%,62.30%,98.54%,62.43%,98.74%
Top 100%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,95.24%,16.74%,95.24%,16.74%,96.43%,16.95%,96.43%,16.95%,96.43%,16.95%,96.43%,16.95%
Top 20%,89.88%,31.59%,91.07%,32.01%,91.07%,32.01%,89.29%,31.38%,89.88%,31.59%,92.86%,32.64%
Top 30%,89.29%,47.07%,89.68%,47.28%,88.89%,46.86%,84.52%,44.56%,88.89%,46.86%,87.70%,46.23%
Top 40%,88.10%,61.92%,86.90%,61.09%,88.10%,61.92%,77.38%,54.39%,79.17%,55.65%,81.85%,57.53%
Top 50%,82.86%,72.80%,79.76%,70.08%,83.10%,73.01%,74.29%,65.27%,75.71%,66.53%,76.43%,67.15%
Top 60%,74.60%,78.66%,74.80%,78.87%,76.98%,81.17%,66.67%,70.29%,68.25%,71.97%,74.80%,78.87%
Top 70%,70.58%,86.82%,70.58%,86.82%,72.45%,89.12%,65.82%,80.96%,66.33%,81.59%,71.60%,88.08%
Top 80%,69.94%,98.33%,69.49%,97.70%,68.15%,95.82%,64.73%,91.00%,64.88%,91.21%,68.01%,95.61%
Top 90%,63.10%,99.79%,63.10%,99.79%,63.23%,100.00%,62.30%,98.54%,62.43%,98.74%,63.10%,99.79%
Top 100%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%,56.77%,100.00%
