index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,88.89%,14.29%,88.89%,14.29%,66.67%,10.71%,88.89%,14.29%,88.89%,14.29%,88.89%,14.29%
Top 20%,94.44%,30.36%,94.44%,30.36%,72.22%,23.21%,94.44%,30.36%,94.44%,30.36%,94.44%,30.36%
Top 30%,92.59%,44.64%,88.89%,42.86%,74.07%,35.71%,88.89%,42.86%,88.89%,42.86%,88.89%,42.86%
Top 40%,94.44%,60.71%,86.11%,55.36%,69.44%,44.64%,77.78%,50.00%,77.78%,50.00%,77.78%,50.00%
Top 50%,95.56%,76.79%,84.44%,67.86%,66.67%,53.57%,77.78%,62.50%,77.78%,62.50%,77.78%,62.50%
Top 60%,85.19%,82.14%,81.48%,78.57%,64.81%,62.50%,75.93%,73.21%,75.93%,73.21%,75.93%,73.21%
Top 70%,77.78%,87.50%,74.60%,83.93%,63.49%,71.43%,69.84%,78.57%,69.84%,78.57%,69.84%,78.57%
Top 80%,72.22%,92.86%,66.67%,85.71%,61.11%,78.57%,66.67%,85.71%,66.67%,85.71%,66.67%,85.71%
Top 90%,65.43%,94.64%,62.96%,91.07%,61.73%,89.29%,64.20%,92.86%,64.20%,92.86%,64.20%,92.86%
Top 100%,60.22%,100.00%,60.22%,100.00%,60.22%,100.00%,60.22%,100.00%,60.22%,100.00%,60.22%,100.00%
