index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall
Top 10%,0.00%,0.00%,6.67%,8.00%,10.00%,12.00%,0.00%,0.00%,0.00%,0.00%
Top 20%,0.00%,0.00%,6.67%,16.00%,13.33%,32.00%,1.67%,4.00%,1.67%,4.00%
Top 30%,1.11%,4.00%,10.00%,36.00%,11.11%,40.00%,3.33%,12.00%,3.33%,12.00%
Top 40%,1.67%,8.00%,9.17%,44.00%,10.00%,48.00%,3.33%,16.00%,3.33%,16.00%
Top 50%,3.33%,20.00%,9.33%,56.00%,10.00%,60.00%,4.67%,28.00%,4.67%,28.00%
Top 60%,3.89%,28.00%,7.78%,56.00%,8.89%,64.00%,6.11%,44.00%,6.11%,44.00%
Top 70%,5.71%,48.00%,7.62%,64.00%,9.05%,76.00%,7.14%,60.00%,6.67%,56.00%
Top 80%,6.67%,64.00%,7.08%,68.00%,7.92%,76.00%,7.08%,68.00%,7.08%,68.00%
Top 90%,7.04%,76.00%,6.30%,68.00%,7.04%,76.00%,7.41%,80.00%,7.78%,84.00%
Top 100%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,0.00%,0.00%,6.67%,8.00%,10.00%,12.00%,0.00%,0.00%,0.00%,0.00%,3.33%,4.00%
Top 20%,0.00%,0.00%,6.67%,16.00%,13.33%,32.00%,1.67%,4.00%,1.67%,4.00%,1.67%,4.00%
Top 30%,1.11%,4.00%,10.00%,36.00%,11.11%,40.00%,3.33%,12.00%,3.33%,12.00%,3.33%,12.00%
Top 40%,1.67%,8.00%,9.17%,44.00%,10.00%,48.00%,3.33%,16.00%,3.33%,16.00%,2.50%,12.00%
Top 50%,3.33%,20.00%,9.33%,56.00%,10.00%,60.00%,4.67%,28.00%,4.67%,28.00%,4.67%,28.00%
Top 60%,3.89%,28.00%,7.78%,56.00%,8.89%,64.00%,6.11%,44.00%,6.11%,44.00%,6.67%,48.00%
Top 70%,5.71%,48.00%,7.62%,64.00%,9.05%,76.00%,7.14%,60.00%,6.67%,56.00%,5.71%,48.00%
Top 80%,6.67%,64.00%,7.08%,68.00%,7.92%,76.00%,7.08%,68.00%,7.08%,68.00%,7.08%,68.00%
Top 90%,7.04%,76.00%,6.30%,68.00%,7.04%,76.00%,7.41%,80.00%,7.78%,84.00%,7.41%,80.00%
Top 100%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%,8.20%,100.00%
