index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,11.11%,83.33%,9.26%,100.00%,11.11%,83.33%,9.26%,83.33%,9.26%,100.00%,11.11%
Top 20%,100.00%,22.22%,91.67%,20.37%,100.00%,22.22%,83.33%,18.52%,83.33%,18.52%,100.00%,22.22%
Top 30%,100.00%,33.33%,94.44%,31.48%,100.00%,33.33%,88.89%,29.63%,88.89%,29.63%,100.00%,33.33%
Top 40%,100.00%,44.44%,95.83%,42.59%,95.83%,42.59%,91.67%,40.74%,91.67%,40.74%,91.67%,40.74%
Top 50%,96.67%,53.70%,96.67%,53.70%,93.33%,51.85%,90.00%,50.00%,90.00%,50.00%,90.00%,50.00%
Top 60%,94.44%,62.96%,94.44%,62.96%,94.44%,62.96%,88.89%,59.26%,88.89%,59.26%,91.67%,61.11%
Top 70%,88.10%,68.52%,90.48%,70.37%,92.86%,72.22%,85.71%,66.67%,85.71%,66.67%,88.10%,68.52%
Top 80%,85.42%,75.93%,87.50%,77.78%,89.58%,79.63%,83.33%,74.07%,83.33%,74.07%,87.50%,77.78%
Top 90%,83.33%,83.33%,87.04%,87.04%,88.89%,88.89%,85.19%,85.19%,85.19%,85.19%,87.04%,87.04%
Top 100%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%
index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,11.11%,83.33%,9.26%,100.00%,11.11%,83.33%,9.26%,83.33%,9.26%,100.00%,11.11%
Top 20%,100.00%,22.22%,91.67%,20.37%,100.00%,22.22%,83.33%,18.52%,83.33%,18.52%,100.00%,22.22%
Top 30%,100.00%,33.33%,94.44%,31.48%,100.00%,33.33%,88.89%,29.63%,88.89%,29.63%,100.00%,33.33%
Top 40%,100.00%,44.44%,95.83%,42.59%,95.83%,42.59%,91.67%,40.74%,91.67%,40.74%,91.67%,40.74%
Top 50%,96.67%,53.70%,96.67%,53.70%,93.33%,51.85%,90.00%,50.00%,90.00%,50.00%,90.00%,50.00%
Top 60%,94.44%,62.96%,94.44%,62.96%,94.44%,62.96%,88.89%,59.26%,88.89%,59.26%,91.67%,61.11%
Top 70%,88.10%,68.52%,90.48%,70.37%,92.86%,72.22%,85.71%,66.67%,85.71%,66.67%,88.10%,68.52%
Top 80%,85.42%,75.93%,87.50%,77.78%,89.58%,79.63%,83.33%,74.07%,83.33%,74.07%,87.50%,77.78%
Top 90%,83.33%,83.33%,87.04%,87.04%,88.89%,88.89%,85.19%,85.19%,85.19%,85.19%,87.04%,87.04%
Top 100%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%,78.26%,100.00%
