index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,67.72%,31.73%,68.50%,32.10%,57.48%,26.94%,66.93%,31.37%,63.78%,29.89%,55.12%,25.83%
Top 20%,53.94%,50.55%,56.30%,52.77%,50.00%,46.86%,53.94%,50.55%,53.15%,49.82%,51.57%,48.34%
Top 30%,44.36%,62.36%,46.19%,64.94%,44.36%,62.36%,45.14%,63.47%,45.41%,63.84%,43.31%,60.89%
Top 40%,38.78%,72.69%,40.35%,75.65%,40.35%,75.65%,40.75%,76.38%,40.94%,76.75%,39.76%,74.54%
Top 50%,35.43%,83.03%,36.69%,85.98%,35.28%,82.66%,36.38%,85.24%,36.38%,85.24%,34.96%,81.92%
Top 60%,31.63%,88.93%,32.68%,91.88%,32.41%,91.14%,32.81%,92.25%,32.68%,91.88%,32.15%,90.41%
Top 70%,28.68%,94.10%,28.91%,94.83%,29.25%,95.94%,29.02%,95.20%,29.02%,95.20%,29.25%,95.94%
Top 80%,25.69%,96.31%,25.89%,97.05%,26.38%,98.89%,25.89%,97.05%,25.79%,96.68%,26.28%,98.52%
Top 90%,23.27%,98.15%,23.27%,98.15%,23.53%,99.26%,23.36%,98.52%,23.27%,98.15%,23.53%,99.26%
Top 100%,21.34%,100.00%,21.34%,100.00%,21.34%,100.00%,21.34%,100.00%,21.34%,100.00%,21.34%,100.00%
