index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,9.76%,100.00%,9.76%,75.00%,7.32%,100.00%,9.76%,100.00%,9.76%,100.00%,9.76%
Top 20%,100.00%,19.51%,87.50%,17.07%,87.50%,17.07%,87.50%,17.07%,87.50%,17.07%,87.50%,17.07%
Top 30%,100.00%,29.27%,91.67%,26.83%,91.67%,26.83%,91.67%,26.83%,91.67%,26.83%,91.67%,26.83%
Top 40%,100.00%,39.02%,93.75%,36.59%,93.75%,36.59%,93.75%,36.59%,93.75%,36.59%,93.75%,36.59%
Top 50%,100.00%,48.78%,95.00%,46.34%,95.00%,46.34%,95.00%,46.34%,95.00%,46.34%,95.00%,46.34%
Top 60%,95.83%,56.10%,95.83%,56.10%,95.83%,56.10%,95.83%,56.10%,95.83%,56.10%,95.83%,56.10%
Top 70%,96.43%,65.85%,96.43%,65.85%,96.43%,65.85%,96.43%,65.85%,96.43%,65.85%,96.43%,65.85%
Top 80%,96.88%,75.61%,96.88%,75.61%,96.88%,75.61%,96.88%,75.61%,96.88%,75.61%,96.88%,75.61%
Top 90%,94.44%,82.93%,97.22%,85.37%,97.22%,85.37%,97.22%,85.37%,97.22%,85.37%,97.22%,85.37%
Top 100%,95.35%,100.00%,95.35%,100.00%,95.35%,100.00%,95.35%,100.00%,95.35%,100.00%,95.35%,100.00%
