index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,96.15%,13.44%,92.31%,12.90%,96.15%,13.44%,80.77%,11.29%,80.77%,11.29%,96.15%,13.44%
Top 20%,94.23%,26.34%,88.46%,24.73%,94.23%,26.34%,78.85%,22.04%,78.85%,22.04%,90.38%,25.27%
Top 30%,91.03%,38.17%,88.46%,37.10%,92.31%,38.71%,74.36%,31.18%,74.36%,31.18%,89.74%,37.63%
Top 40%,87.50%,48.92%,85.58%,47.85%,94.23%,52.69%,75.96%,42.47%,75.96%,42.47%,83.65%,46.77%
Top 50%,83.85%,58.60%,84.62%,59.14%,93.08%,65.05%,76.15%,53.23%,76.15%,53.23%,76.92%,53.76%
Top 60%,80.77%,67.74%,83.97%,70.43%,92.31%,77.42%,75.00%,62.90%,74.36%,62.37%,71.79%,60.22%
Top 70%,77.47%,75.81%,80.77%,79.03%,92.31%,90.32%,74.73%,73.12%,74.18%,72.58%,69.78%,68.28%
Top 80%,73.56%,82.26%,78.37%,87.63%,87.50%,97.85%,73.56%,82.26%,72.60%,81.18%,69.71%,77.96%
Top 90%,71.37%,89.78%,74.36%,93.55%,78.63%,98.92%,70.94%,89.25%,70.09%,88.17%,69.23%,87.10%
Top 100%,69.40%,100.00%,69.40%,100.00%,69.40%,100.00%,69.40%,100.00%,69.40%,100.00%,69.40%,100.00%
