index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,8.33%,100.00%,8.33%,100.00%,8.33%,100.00%,8.33%,100.00%,8.33%,100.00%,8.33%
Top 20%,100.00%,16.67%,100.00%,16.67%,100.00%,16.67%,100.00%,16.67%,100.00%,16.67%,100.00%,16.67%
Top 30%,100.00%,25.00%,100.00%,25.00%,100.00%,25.00%,100.00%,25.00%,100.00%,25.00%,100.00%,25.00%
Top 40%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%,100.00%,33.33%
Top 50%,100.00%,41.67%,100.00%,41.67%,100.00%,41.67%,90.00%,37.50%,90.00%,37.50%,100.00%,41.67%
Top 60%,91.67%,45.83%,91.67%,45.83%,100.00%,50.00%,91.67%,45.83%,91.67%,45.83%,100.00%,50.00%
Top 70%,92.86%,54.17%,92.86%,54.17%,100.00%,58.33%,92.86%,54.17%,92.86%,54.17%,100.00%,58.33%
Top 80%,93.75%,62.50%,93.75%,62.50%,100.00%,66.67%,93.75%,62.50%,93.75%,62.50%,100.00%,66.67%
Top 90%,94.44%,70.83%,94.44%,70.83%,100.00%,75.00%,94.44%,70.83%,94.44%,70.83%,100.00%,75.00%
Top 100%,96.00%,100.00%,96.00%,100.00%,96.00%,100.00%,96.00%,100.00%,96.00%,100.00%,96.00%,100.00%
