index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,14.29%,100.00%,14.29%,100.00%,14.29%,100.00%,14.29%,100.00%,14.29%,100.00%,14.29%
Top 20%,100.00%,28.57%,75.00%,21.43%,100.00%,28.57%,75.00%,21.43%,75.00%,21.43%,100.00%,28.57%
Top 30%,66.67%,28.57%,66.67%,28.57%,100.00%,42.86%,66.67%,28.57%,66.67%,28.57%,100.00%,42.86%
Top 40%,75.00%,42.86%,75.00%,42.86%,87.50%,50.00%,75.00%,42.86%,75.00%,42.86%,100.00%,57.14%
Top 50%,80.00%,57.14%,80.00%,57.14%,90.00%,64.29%,80.00%,57.14%,80.00%,57.14%,90.00%,64.29%
Top 60%,66.67%,57.14%,83.33%,71.43%,83.33%,71.43%,83.33%,71.43%,83.33%,71.43%,91.67%,78.57%
Top 70%,71.43%,71.43%,85.71%,85.71%,85.71%,85.71%,85.71%,85.71%,85.71%,85.71%,92.86%,92.86%
Top 80%,75.00%,85.71%,75.00%,85.71%,81.25%,92.86%,81.25%,92.86%,81.25%,92.86%,81.25%,92.86%
Top 90%,77.78%,100.00%,77.78%,100.00%,77.78%,100.00%,77.78%,100.00%,77.78%,100.00%,77.78%,100.00%
Top 100%,66.67%,100.00%,66.67%,100.00%,66.67%,100.00%,66.67%,100.00%,66.67%,100.00%,66.67%,100.00%
