index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,15.38%,50.00%,7.69%,100.00%,15.38%,100.00%,15.38%,100.00%,15.38%,100.00%,15.38%
Top 20%,75.00%,23.08%,75.00%,23.08%,75.00%,23.08%,75.00%,23.08%,75.00%,23.08%,75.00%,23.08%
Top 30%,66.67%,30.77%,83.33%,38.46%,83.33%,38.46%,83.33%,38.46%,83.33%,38.46%,83.33%,38.46%
Top 40%,75.00%,46.15%,75.00%,46.15%,75.00%,46.15%,87.50%,53.85%,87.50%,53.85%,87.50%,53.85%
Top 50%,70.00%,53.85%,70.00%,53.85%,80.00%,61.54%,70.00%,53.85%,70.00%,53.85%,70.00%,53.85%
Top 60%,66.67%,61.54%,75.00%,69.23%,66.67%,61.54%,75.00%,69.23%,75.00%,69.23%,66.67%,61.54%
Top 70%,71.43%,76.92%,71.43%,76.92%,71.43%,76.92%,64.29%,69.23%,64.29%,69.23%,71.43%,76.92%
Top 80%,68.75%,84.62%,62.50%,76.92%,68.75%,84.62%,68.75%,84.62%,68.75%,84.62%,62.50%,76.92%
Top 90%,66.67%,92.31%,66.67%,92.31%,66.67%,92.31%,66.67%,92.31%,66.67%,92.31%,66.67%,92.31%
Top 100%,61.90%,100.00%,61.90%,100.00%,61.90%,100.00%,61.90%,100.00%,61.90%,100.00%,61.90%,100.00%
