index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,100.00%,10.53%,100.00%,10.53%,100.00%,10.53%,100.00%,10.53%,100.00%,10.53%,100.00%,10.53%
Top 20%,100.00%,21.05%,100.00%,21.05%,100.00%,21.05%,100.00%,21.05%,100.00%,21.05%,100.00%,21.05%
Top 30%,100.00%,31.58%,100.00%,31.58%,100.00%,31.58%,100.00%,31.58%,100.00%,31.58%,100.00%,31.58%
Top 40%,100.00%,42.11%,100.00%,42.11%,100.00%,42.11%,100.00%,42.11%,100.00%,42.11%,100.00%,42.11%
Top 50%,100.00%,52.63%,100.00%,52.63%,100.00%,52.63%,100.00%,52.63%,100.00%,52.63%,100.00%,52.63%
Top 60%,100.00%,63.16%,100.00%,63.16%,100.00%,63.16%,100.00%,63.16%,100.00%,63.16%,100.00%,63.16%
Top 70%,100.00%,73.68%,97.62%,71.93%,100.00%,73.68%,97.62%,71.93%,97.62%,71.93%,97.62%,71.93%
Top 80%,95.83%,80.70%,97.92%,82.46%,100.00%,84.21%,97.92%,82.46%,95.83%,80.70%,97.92%,82.46%
Top 90%,92.59%,87.72%,92.59%,87.72%,96.30%,91.23%,96.30%,91.23%,96.30%,91.23%,94.44%,89.47%
Top 100%,89.06%,100.00%,89.06%,100.00%,89.06%,100.00%,89.06%,100.00%,89.06%,100.00%,89.06%,100.00%
