index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,92.31%,11.37%,92.31%,11.37%,100.00%,12.32%,96.15%,11.85%,96.15%,11.85%,100.00%,12.32%
Top 20%,94.23%,23.22%,94.23%,23.22%,100.00%,24.64%,92.31%,22.75%,92.31%,22.75%,100.00%,24.64%
Top 30%,94.87%,35.07%,94.87%,35.07%,100.00%,36.97%,91.03%,33.65%,92.31%,34.12%,98.72%,36.49%
Top 40%,91.35%,45.02%,94.23%,46.45%,97.12%,47.87%,90.38%,44.55%,90.38%,44.55%,96.15%,47.39%
Top 50%,92.31%,56.87%,93.85%,57.82%,96.15%,59.24%,90.00%,55.45%,90.77%,55.92%,93.08%,57.35%
Top 60%,92.31%,68.25%,92.95%,68.72%,93.59%,69.19%,91.67%,67.77%,91.67%,67.77%,92.31%,68.25%
Top 70%,91.21%,78.67%,92.31%,79.62%,91.76%,79.15%,90.66%,78.20%,90.66%,78.20%,90.11%,77.73%
Top 80%,88.46%,87.20%,89.42%,88.15%,91.35%,90.05%,85.58%,84.36%,85.58%,84.36%,85.58%,84.36%
Top 90%,87.18%,96.68%,86.75%,96.21%,88.03%,97.63%,82.05%,91.00%,82.05%,91.00%,82.48%,91.47%
Top 100%,79.92%,100.00%,79.92%,100.00%,79.92%,100.00%,79.92%,100.00%,79.92%,100.00%,79.92%,100.00%
