index,#author_precision,#author_recall,#cmt_precision,#cmt_recall,changeloc_precision,changeloc_recall,#issue_precision,#issue_recall,#issue-cmt_precision,#issue-cmt_recall,issueLoc_precision,issueLoc_recall
Top 10%,2.90%,9.52%,4.35%,14.29%,5.80%,19.05%,2.90%,9.52%,2.90%,9.52%,4.35%,14.29%
Top 20%,2.90%,19.05%,3.62%,23.81%,5.07%,33.33%,3.62%,23.81%,3.62%,23.81%,4.35%,28.57%
Top 30%,2.42%,23.81%,3.38%,33.33%,3.86%,38.10%,3.86%,38.10%,3.86%,38.10%,4.83%,47.62%
Top 40%,2.54%,33.33%,3.26%,42.86%,3.99%,52.38%,3.62%,47.62%,3.62%,47.62%,3.99%,52.38%
Top 50%,2.32%,38.10%,3.19%,52.38%,3.48%,57.14%,3.48%,57.14%,3.48%,57.14%,4.35%,71.43%
Top 60%,2.42%,47.62%,2.66%,52.38%,3.62%,71.43%,3.14%,61.90%,3.14%,61.90%,3.62%,71.43%
Top 70%,2.90%,66.67%,3.11%,71.43%,3.11%,71.43%,3.11%,71.43%,3.11%,71.43%,3.31%,76.19%
Top 80%,2.54%,66.67%,2.90%,76.19%,3.26%,85.71%,2.90%,76.19%,2.90%,76.19%,3.26%,85.71%
Top 90%,2.90%,85.71%,2.90%,85.71%,3.06%,90.48%,2.90%,85.71%,2.90%,85.71%,2.90%,85.71%
Top 100%,3.01%,100.00%,3.01%,100.00%,3.01%,100.00%,3.01%,100.00%,3.01%,100.00%,3.01%,100.00%
